route_number,day_type,Crown,Paradise,Sand,Goedverwacht,Enon,Moravia,PM Louw,Silverstream,Atlantis Cemetery,Tsitsikamma,Montreal,Charel Uys North,Arion,Atlantis Station
234,Saturdays,17:03,17:04,17:05,17:06,17:08,17:09,17:10,17:12,17:14,17:16,17:17,17:19,17:21,17:21
234,Saturdays,17:45,17:46,17:47,17:48,17:50,17:51,17:52,17:54,17:56,17:58,17:59,18:01,18:03,18:03
234,Saturdays,18:27,18:28,18:29,18:30,18:32,18:33,18:34,18:36,18:38,18:40,18:41,18:43,18:45,18:45
234,Saturdays,19:09,19:10,19:11,19:12,19:14,19:15,19:16,19:18,19:20,19:22,19:23,19:25,19:27,19:27
234,Saturdays,19:51,19:52,19:53,19:54,19:56,19:57,19:58,20:00,20:02,20:04,20:05,20:07,20:09,20:09
234,Saturdays,20:33,20:34,20:35,20:36,20:38,20:39,20:40,20:42,20:44,20:46,20:47,20:49,20:51,20:51
234,Saturdays,21:15,21:16,21:17,21:18,21:20,21:21,21:22,21:24,21:26,21:28,21:29,21:31,21:33,21:33
234,Sundays and Public Holidays,04:24,04:25,04:26,04:27,04:29,04:30,04:31,04:33,04:35,04:37,04:38,04:40,04:42,04:42
234,Sundays and Public Holidays,05:09,05:10,05:11,05:12,05:14,05:15,05:16,05:18,05:20,05:22,05:23,05:25,05:27,05:27
234,Sundays and Public Holidays,05:51,05:52,05:53,05:54,05:56,05:57,05:58,06:00,06:02,06:04,06:05,06:07,06:09,06:09
234,Sundays and Public Holidays,06:33,06:34,06:35,06:36,06:38,06:39,06:40,06:42,06:44,06:46,06:47,06:49,06:51,06:51
234,Sundays and Public Holidays,07:15,07:16,07:17,07:18,07:20,07:21,07:22,07:24,07:26,07:28,07:29,07:31,07:33,07:33
234,Sundays and Public Holidays,07:57,07:58,07:59,08:00,08:02,08:03,08:04,08:06,08:08,08:10,08:11,08:13,08:15,08:15
234,Sundays and Public Holidays,08:39,08:40,08:41,08:42,08:44,08:45,08:46,08:48,08:50,08:52,08:53,08:55,08:57,08:57
234,Sundays and Public Holidays,09:21,09:22,09:23,09:24,09:26,09:27,09:28,09:30,09:32,09:34,09:35,09:37,09:39,09:39
234,Sundays and Public Holidays,10:03,10:04,10:05,10:06,10:08,10:09,10:10,10:12,10:14,10:16,10:17,10:19,10:21,10:21
234,Sundays and Public Holidays,10:45,10:46,10:47,10:48,10:50,10:51,10:52,10:54,10:56,10:58,10:59,11:01,11:03,11:03
