route_number,day_type,Stables Turnaround,Killarney,Potsdam,Refinery,Dawn,Esso,First,Marconi,Bolt,Drill,Bosmansdam,Century Gate,Estuaries,Waterview,Waterford,Canal Walk North,Canal Walk South,Grand Canal,Century City
D08,Mondays to Fridays,18:19,18:26,18:30,18:33,18:35,18:36,18:37,18:38,18:39,18:40,18:41,18:44,18:45,18:46,18:47,18:49,18:50,18:51,18:53
D08,Saturdays,05:50,05:55,05:57,06:00,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:10,06:11,06:12,06:13,06:15,06:16,06:17,06:19
D08,Saturdays,06:50,06:55,06:57,07:00,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:10,07:11,07:12,07:13,07:15,07:16,07:17,07:19
D08,Saturdays,07:50,07:55,07:57,08:00,08:02,08:03,08:04,08:05,08:06,08:07,08:08,08:10,08:11,08:12,08:13,08:15,08:16,08:17,08:19
D08,Saturdays,08:50,08:55,08:57,09:00,09:02,09:03,09:04,09:05,09:06,09:07,09:08,09:10,09:11,09:12,09:13,09:15,09:16,09:17,09:19
D08,Saturdays,09:50,09:55,09:57,10:00,10:02,10:03,10:04,10:05,10:06,10:07,10:08,10:10,10:11,10:12,10:13,10:15,10:16,10:17,10:19
D08,Saturdays,10:50,10:55,10:57,11:00,11:02,11:03,11:04,11:05,11:06,11:07,11:08,11:10,11:11,11:12,11:13,11:15,11:16,11:17,11:19
D08,Saturdays,11:50,11:55,11:57,12:00,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:10,12:11,12:12,12:13,12:15,12:16,12:17,12:19
D08,Saturdays,12:50,12:55,12:57,13:00,13:02,13:03,13:04,13:05,13:06,13:07,13:08,13:10,13:11,13:12,13:13,13:15,13:16,13:17,13:19
D08,Saturdays,13:50,13:55,13:57,14:00,14:02,14:03,14:04,14:05,14:06,14:07,14:08,14:10,14:11,14:12,14:13,14:15,14:16,14:17,14:19
D08,Saturdays,14:50,14:55,14:57,15:00,15:02,15:03,15:04,15:05,15:06,15:07,15:08,15:10,15:11,15:12,15:13,15:15,15:16,15:17,15:19
D08,Saturdays,15:50,15:55,15:57,16:00,16:02,16:03,16:04,16:05,16:06,16:07,16:08,16:10,16:11,16:12,16:13,16:15,16:16,16:17,16:19
D08,Saturdays,16:50,16:55,16:57,17:00,17:02,17:03,17:04,17:05,17:06,17:07,17:08,17:10,17:11,17:12,17:13,17:15,17:16,17:17,17:19
D08,Saturdays,17:50,17:55,17:57,18:00,18:02,18:03,18:04,18:05,18:06,18:07,18:08,18:10,18:11,18:12,18:13,18:15,18:16,18:17,18:19
D08,Sundays and Public Holidays,05:50,05:55,05:57,06:00,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:10,06:11,06:12,06:13,06:15,06:16,06:17,06:19
D08,Sundays and Public Holidays,06:50,06:55,06:57,07:00,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:10,07:11,07:12,07:13,07:15,07:16,07:17,07:19
D08,Sundays and Public Holidays,07:50,07:55,07:57,08:00,08:02,08:03,08:04,08:05,08:06,08:07,08:08,08:10,08:11,08:12,08:13,08:15,08:16,08:17,08:19
D08,Sundays and Public Holidays,08:50,08:55,08:57,09:00,09:02,09:03,09:04,09:05,09:06,09:07,09:08,09:10,09:11,09:12,09:13,09:15,09:16,09:17,09:19
D08,Sundays and Public Holidays,09:50,09:55,09:57,10:00,10:02,10:03,10:04,10:05,10:06,10:07,10:08,10:10,10:11,10:12,10:13,10:15,10:16,10:17,10:19
D08,Sundays and Public Holidays,10:50,10:55,10:57,11:00,11:02,11:03,11:04,11:05,11:06,11:07,11:08,11:10,11:11,11:12,11:13,11:15,11:16,11:17,11:19
D08,Sundays and Public Holidays,11:50,11:55,11:57,12:00,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:10,12:11,12:12,12:13,12:15,12:16,12:17,12:19
D08,Sundays and Public Holidays,12:50,12:55,12:57,13:00,13:02,13:03,13:04,13:05,13:06,13:07,13:08,13:10,13:11,13:12,13:13,13:15,13:16,13:17,13:19
D08,Sundays and Public Holidays,13:50,13:55,13:57,14:00,14:02,14:03,14:04,14:05,14:06,14:07,14:08,14:10,14:11,14:12,14:13,14:15,14:16,14:17,14:19
D08,Sundays and Public Holidays,14:50,14:55,14:57,15:00,15:02,15:03,15:04,15:05,15:06,15:07,15:08,15:10,15:11,15:12,15:13,15:15,15:16,15:17,15:19
D08,Sundays and Public Holidays,15:50,15:55,15:57,16:00,16:02,16:03,16:04,16:05,16:06,16:07,16:08,16:10,16:11,16:12,16:13,16:15,16:16,16:17,16:19
D08,Sundays and Public Holidays,16:50,16:55,16:57,17:00,17:02,17:03,17:04,17:05,17:06,17:07,17:08,17:10,17:11,17:12,17:13,17:15,17:16,17:17,17:19
D08,Sundays and Public Holidays,17:50,17:55,17:57,18:00,18:02,18:03,18:04,18:05,18:06,18:07,18:08,18:10,18:11,18:12,18:13,18:15,18:16,18:17,18:19
