route_number,day_type,Stables Turnaround,Killarney,Potsdam,Circle East,Wood,Janssens,Grey,Table View,Sunset Beach,Racecourse,Milnerton,Woodbridge,Lagoon Beach,Zoarvlei,Vrystaat,Section,Neptune,Paarden Eiland,Woodstock,Civic Centre,Thibault Square,Stadium,Granger Bay,Waterfront
T01,Mondays to Fridays,12:28,12:32,12:35,12:39,12:41,12:43,12:44,12:47,12:53,12:55,12:57,13:00,13:03,13:07,13:09,13:11,13:13,13:14,13:18,13:24,13:28,13:33,13:35,13:39
T01,Mondays to Fridays,12:43,12:47,12:50,12:54,12:56,12:58,12:59,13:02,13:08,13:10,13:12,13:15,13:18,13:22,13:24,13:26,13:28,13:29,13:33,13:39,13:43,13:48,13:50,13:54
T01,Mondays to Fridays,12:58,13:02,13:05,13:09,13:11,13:13,13:14,13:17,13:23,13:25,13:27,13:30,13:33,13:37,13:39,13:41,13:43,13:44,13:48,13:54,13:58,14:03,14:05,14:09
T01,Mondays to Fridays,13:13,13:17,13:20,13:24,13:26,13:28,13:29,13:32,13:38,13:40,13:42,13:45,13:48,13:52,13:54,13:56,13:58,13:59,14:03,14:09,14:13,14:18,14:20,14:24
T01,Mondays to Fridays,13:28,13:32,13:35,13:39,13:41,13:43,13:44,13:47,13:53,13:55,13:57,14:00,14:03,14:07,14:09,14:11,14:13,14:14,14:18,14:24,14:28,14:33,14:35,14:39
T01,Mondays to Fridays,13:43,13:47,13:50,13:54,13:56,13:58,13:59,14:02,14:08,14:10,14:12,14:15,14:18,14:22,14:24,14:26,14:28,14:29,14:33,14:39,14:43,14:48,14:50,14:54
T01,Mondays to Fridays,13:58,14:02,14:05,14:09,14:11,14:13,14:14,14:17,14:23,14:25,14:27,14:30,14:33,14:37,14:39,14:41,14:43,14:44,14:48,14:54,14:58,15:03,15:05,15:09
T01,Mondays to Fridays,14:13,14:17,14:20,14:24,14:26,14:28,14:29,14:32,14:38,14:40,14:42,14:45,14:48,14:52,14:54,14:56,14:58,14:59,15:03,15:09,15:13,15:18,15:20,15:24
T01,Mondays to Fridays,14:28,14:32,14:35,14:39,14:41,14:43,14:44,14:47,14:53,14:55,14:57,15:00,15:03,15:07,15:09,15:11,15:13,15:14,15:18,15:24,15:28,15:33,15:35,15:39
T01,Mondays to Fridays,14:35,14:39,14:42,14:46,14:48,14:50,14:51,14:54,15:00,15:02,15:04,15:07,15:10,15:14,15:16,15:18,15:20,15:21,15:25,15:31,15:35,15:40,15:42,15:46
T01,Mondays to Fridays,14:43,14:47,14:50,14:54,14:56,14:58,14:59,15:02,15:08,15:10,15:12,15:15,15:18,15:22,15:24,15:26,15:28,15:29,15:33,15:39,15:43,15:48,15:50,15:54
T01,Mondays to Fridays,14:50,14:54,14:57,15:01,15:03,15:05,15:06,15:09,15:15,15:17,15:19,15:22,15:25,15:29,15:31,15:33,15:35,15:36,15:40,15:46,15:50,15:55,15:57,16:01
T01,Mondays to Fridays,14:58,15:02,15:05,15:09,15:11,15:13,15:14,15:17,15:23,15:25,15:27,15:30,15:33,15:37,15:39,15:41,15:43,15:44,15:48,15:54,15:58,16:03,16:05,16:09
T01,Mondays to Fridays,15:05,15:09,15:12,15:16,15:18,15:20,15:21,15:24,15:30,15:32,15:34,15:37,15:40,15:44,15:46,15:48,15:50,15:51,15:55,16:01,16:05,16:10,16:12,16:16
T01,Mondays to Fridays,15:13,15:17,15:20,15:24,15:26,15:28,15:29,15:32,15:38,15:40,15:42,15:45,15:48,15:52,15:54,15:56,15:58,15:59,16:03,16:09,16:13,16:18,16:20,16:24
T01,Mondays to Fridays,15:20,15:24,15:27,15:31,15:33,15:35,15:36,15:39,15:45,15:47,15:49,15:52,15:55,15:59,16:01,16:03,16:05,16:06,16:10,16:16,16:20,16:25,16:27,16:31
T01,Mondays to Fridays,15:28,15:32,15:35,15:39,15:41,15:43,15:44,15:47,15:53,15:55,15:57,16:00,16:03,16:07,16:09,16:11,16:13,16:14,16:18,16:24,16:28,16:33,16:35,16:39
T01,Mondays to Fridays,15:35,15:39,15:42,15:46,15:48,15:50,15:51,15:54,16:00,16:02,16:04,16:07,16:10,16:14,16:16,16:18,16:20,16:21,16:25,16:31,16:35,16:40,16:42,16:46
T01,Mondays to Fridays,15:42,15:46,15:49,15:53,15:55,15:57,15:58,16:01,16:07,16:09,16:11,16:14,16:17,16:21,16:23,16:25,16:27,16:28,16:32,16:38,,,,
T01,Mondays to Fridays,15:50,15:54,15:57,16:01,16:03,16:05,16:06,16:09,16:15,16:17,16:19,16:22,16:25,16:29,16:31,16:33,16:35,16:36,16:40,16:46,16:50,16:55,16:57,17:01
T01,Mondays to Fridays,15:57,16:01,16:04,16:08,16:10,16:12,16:13,16:16,16:22,16:24,16:26,16:29,16:32,16:36,16:38,16:40,16:42,16:43,16:47,16:53,16:57,17:02,17:04,17:08
T01,Mondays to Fridays,16:05,16:09,16:12,16:16,16:18,16:20,16:21,16:24,16:30,16:32,16:34,16:37,16:40,16:44,16:46,16:48,16:50,16:51,16:55,17:01,17:05,17:10,17:12,17:16
T01,Mondays to Fridays,16:13,16:17,16:20,16:24,16:26,16:28,16:29,16:32,16:38,16:40,16:42,16:45,16:48,16:52,16:54,16:56,16:58,16:59,17:03,17:09,17:13,17:18,17:20,17:24
T01,Mondays to Fridays,16:20,16:24,16:27,16:31,16:33,16:35,16:36,16:39,16:45,16:47,16:49,16:52,16:55,16:59,17:01,17:03,17:05,17:06,17:10,17:16,17:20,17:25,17:27,17:31
T01,Mondays to Fridays,16:28,16:32,16:35,16:39,16:41,16:43,16:44,16:47,16:53,16:55,16:57,17:00,17:03,17:07,17:09,17:11,17:13,17:14,17:18,17:24,17:28,17:33,17:35,17:39
T01,Mondays to Fridays,16:35,16:39,16:42,16:46,16:48,16:50,16:51,16:54,17:00,17:02,17:04,17:07,17:10,17:14,17:16,17:18,17:20,17:21,17:25,17:31,17:35,17:40,17:42,17:46
T01,Mondays to Fridays,16:43,16:47,16:50,16:54,16:56,16:58,16:59,17:02,17:08,17:10,17:12,17:15,17:18,17:22,17:24,17:26,17:28,17:29,17:33,17:39,17:43,17:48,17:50,17:54
T01,Mondays to Fridays,16:50,16:54,16:57,17:01,17:03,17:05,17:06,17:09,17:15,17:17,17:19,17:22,17:25,17:29,17:31,17:33,17:35,17:36,17:40,17:46,17:50,17:55,17:57,18:01
T01,Mondays to Fridays,16:58,17:02,17:05,17:09,17:11,17:13,17:14,17:17,17:23,17:25,17:27,17:30,17:33,17:37,17:39,17:41,17:43,17:44,17:48,17:54,17:58,18:03,18:05,18:09
T01,Mondays to Fridays,17:05,17:09,17:12,17:16,17:18,17:20,17:21,17:24,17:30,17:32,17:34,17:37,17:40,17:44,17:46,17:48,17:50,17:51,17:55,18:01,18:05,18:10,18:12,18:16
T01,Mondays to Fridays,17:09,17:13,17:16,17:20,17:22,17:24,17:25,17:28,17:34,17:36,17:38,17:41,17:44,17:48,17:50,17:52,17:54,17:55,17:59,18:05,,,,
T01,Mondays to Fridays,17:13,17:17,17:20,17:24,17:26,17:28,17:29,17:32,17:38,17:40,17:42,17:45,17:48,17:52,17:54,17:56,17:58,17:59,18:03,18:09,18:13,18:18,18:20,18:24
T01,Mondays to Fridays,17:20,17:24,17:27,17:31,17:33,17:35,17:36,17:39,17:45,17:47,17:49,17:52,17:55,17:59,18:01,18:03,18:05,18:06,18:10,18:16,18:20,18:25,18:27,18:31
T01,Mondays to Fridays,17:24,17:28,17:31,17:35,17:37,17:39,17:40,17:43,17:49,17:51,17:53,17:56,17:59,18:03,18:05,18:07,18:09,18:10,18:14,18:20,,,,
T01,Mondays to Fridays,17:28,17:32,17:35,17:39,17:41,17:43,17:44,17:47,17:53,17:55,17:57,18:00,18:03,18:07,18:09,18:11,18:13,18:14,18:18,18:24,18:28,18:33,18:35,18:39
T01,Mondays to Fridays,17:36,17:40,17:43,17:47,17:49,17:51,17:52,17:55,18:01,18:03,18:05,18:08,18:11,18:15,18:17,18:19,18:21,18:22,18:26,18:32,18:36,18:41,18:43,18:47
T01,Mondays to Fridays,17:43,17:47,17:50,17:54,17:56,17:58,17:59,18:02,18:08,18:10,18:12,18:15,18:18,18:22,18:24,18:26,18:28,18:29,18:33,18:39,18:43,18:48,18:50,18:54
T01,Mondays to Fridays,17:47,17:51,17:54,17:58,18:00,18:02,18:03,18:06,18:12,18:14,18:16,18:19,18:22,18:26,18:28,18:30,18:32,18:33,18:37,18:43,,,,
T01,Mondays to Fridays,17:50,17:54,17:57,18:01,18:03,18:05,18:06,18:09,18:15,18:17,18:19,18:22,18:25,18:29,18:31,18:33,18:35,18:36,18:40,18:46,18:50,18:55,18:57,19:01
T01,Mondays to Fridays,17:54,17:58,18:01,18:05,18:07,18:09,18:10,18:13,18:19,18:21,18:23,18:26,18:29,18:33,18:35,18:37,18:39,18:40,18:44,18:50,,,,
T01,Mondays to Fridays,17:58,18:02,18:05,18:09,18:11,18:13,18:14,18:17,18:23,18:25,18:27,18:30,18:33,18:37,18:39,18:41,18:43,18:44,18:48,18:54,18:58,19:03,19:05,19:09
T01,Mondays to Fridays,18:02,18:06,18:09,18:13,18:15,18:17,18:18,18:21,18:27,18:29,18:31,18:34,18:37,18:41,18:43,18:45,18:47,18:48,18:52,18:58,,,,
T01,Mondays to Fridays,18:06,18:10,18:13,18:17,18:19,18:21,18:22,18:25,18:31,18:33,18:35,18:38,18:41,18:45,18:47,18:49,18:51,18:52,18:56,19:02,19:06,19:11,19:13,19:17
T01,Mondays to Fridays,18:13,18:17,18:20,18:24,18:26,18:28,18:29,18:32,18:38,18:40,18:42,18:45,18:48,18:52,18:54,18:56,18:58,18:59,19:03,19:09,19:13,19:18,19:20,19:24
T01,Mondays to Fridays,18:20,18:24,18:27,18:31,18:33,18:35,18:36,18:39,18:45,18:47,18:49,18:52,18:55,18:59,19:01,19:03,19:05,19:06,19:10,19:16,,,,
T01,Mondays to Fridays,18:28,18:32,18:35,18:39,18:41,18:43,18:44,18:47,18:53,18:55,18:57,19:00,19:03,19:07,19:09,19:11,19:13,19:14,19:18,19:24,19:28,19:33,19:35,19:39
T01,Mondays to Fridays,18:35,18:39,18:42,18:46,18:48,18:50,18:51,18:54,19:00,19:02,19:04,19:07,19:10,19:14,19:16,19:18,19:20,19:21,19:25,19:31,,,,
T01,Mondays to Fridays,18:43,18:47,18:50,18:54,18:56,18:58,18:59,19:02,19:08,19:10,19:12,19:15,19:18,19:22,19:24,19:26,19:28,19:29,19:33,19:39,19:43,19:48,19:50,19:54
T01,Mondays to Fridays,18:50,18:54,18:57,19:01,19:03,19:05,19:06,19:09,19:15,19:17,19:19,19:22,19:25,19:29,19:31,19:33,19:35,19:36,19:40,19:46,,,,
T01,Mondays to Fridays,18:58,19:02,19:05,19:09,19:11,19:13,19:14,19:17,19:23,19:25,19:27,19:30,19:33,19:37,19:39,19:41,19:43,19:44,19:48,19:54,19:58,20:03,20:05,20:09
T01,Mondays to Fridays,19:13,19:17,19:20,19:24,19:26,19:28,19:29,19:32,19:38,19:40,19:42,19:45,19:48,19:52,19:54,19:56,19:58,19:59,20:03,20:09,,,,
T01,Mondays to Fridays,19:28,19:32,19:35,19:39,19:41,19:43,19:44,19:47,19:53,19:55,19:57,20:00,20:03,20:07,20:09,20:11,20:13,20:14,20:18,20:24,20:28,20:33,20:35,20:39
T01,Mondays to Fridays,19:43,19:47,19:50,19:54,19:56,19:58,19:59,20:02,20:08,20:10,20:12,20:15,20:18,20:22,20:24,20:26,20:28,20:29,20:33,20:39,,,,
T01,Mondays to Fridays,19:58,20:02,20:05,20:09,20:11,20:13,20:14,20:17,20:23,20:25,20:27,20:30,20:33,20:37,20:39,20:41,20:43,20:44,20:48,20:54,20:58,21:03,21:05,21:09
T01,Mondays to Fridays,20:13,20:17,20:20,20:24,20:26,20:28,20:29,20:32,20:38,20:40,20:42,20:45,20:48,20:52,20:54,20:56,20:58,20:59,21:03,21:09,21:13,21:18,21:20,21:24
T01,Mondays to Fridays,20:28,20:32,20:35,20:39,20:41,20:43,20:44,20:47,20:53,20:55,20:57,21:00,21:03,21:07,21:09,21:11,21:13,21:14,21:18,21:24,21:28,21:33,21:35,21:39
T01,Mondays to Fridays,20:43,20:47,20:50,20:54,20:56,20:58,20:59,21:02,21:08,21:10,21:12,21:15,21:18,21:22,21:24,21:26,21:28,21:29,21:33,21:39,21:43,21:48,21:50,21:54
T01,Saturdays,05:20,05:24,05:27,05:31,05:33,05:34,05:37,05:38,05:44,05:46,05:48,05:51,05:54,05:57,05:59,06:02,06:04,06:06,06:10,06:14,06:16,06:21,06:24,06:27
T01,Saturdays,05:40,05:44,05:47,05:51,05:53,05:54,05:57,05:58,06:04,06:06,06:08,06:11,06:14,06:17,06:19,06:22,06:24,06:26,06:30,06:34,06:36,06:41,06:44,06:47
T01,Saturdays,06:00,06:04,06:07,06:11,06:13,06:14,06:17,06:18,06:24,06:26,06:28,06:31,06:34,06:37,06:39,06:42,06:44,06:46,06:50,06:54,06:56,07:01,07:04,07:07
T01,Saturdays,06:20,06:24,06:27,06:31,06:33,06:34,06:37,06:38,06:44,06:46,06:48,06:51,06:54,06:57,06:59,07:02,07:04,07:06,07:10,07:14,07:16,07:21,07:24,07:27
T01,Saturdays,06:40,06:44,06:47,06:51,06:53,06:54,06:57,06:58,07:04,07:06,07:08,07:11,07:14,07:17,07:19,07:22,07:24,07:26,07:30,07:34,07:36,07:41,07:44,07:47
T01,Saturdays,07:00,07:04,07:07,07:11,07:13,07:14,07:17,07:18,07:24,07:26,07:28,07:31,07:34,07:37,07:39,07:42,07:44,07:46,07:50,07:54,07:56,08:01,08:04,08:07
T01,Saturdays,07:20,07:24,07:27,07:31,07:33,07:34,07:37,07:38,07:44,07:46,07:48,07:51,07:54,07:57,07:59,08:02,08:04,08:06,08:10,08:14,08:16,08:21,08:24,08:27
T01,Saturdays,07:40,07:44,07:47,07:51,07:53,07:54,07:57,07:58,08:04,08:06,08:08,08:11,08:14,08:17,08:19,08:22,08:24,08:26,08:30,08:34,08:36,08:41,08:44,08:47
T01,Saturdays,08:00,08:04,08:07,08:11,08:13,08:14,08:17,08:18,08:24,08:26,08:28,08:31,08:34,08:37,08:39,08:42,08:44,08:46,08:50,08:54,08:56,09:01,09:04,09:07
T01,Saturdays,08:20,08:24,08:27,08:31,08:33,08:34,08:37,08:38,08:44,08:46,08:48,08:51,08:54,08:57,08:59,09:02,09:04,09:06,09:10,09:14,09:16,09:21,09:24,09:27
T01,Saturdays,08:40,08:44,08:47,08:51,08:53,08:54,08:57,08:58,09:04,09:06,09:08,09:11,09:14,09:17,09:19,09:22,09:24,09:26,09:30,09:34,09:36,09:41,09:44,09:47
T01,Saturdays,09:00,09:04,09:07,09:11,09:13,09:14,09:17,09:18,09:24,09:26,09:28,09:31,09:34,09:37,09:39,09:42,09:44,09:46,09:50,09:54,09:56,10:01,10:04,10:07
T01,Saturdays,09:20,09:24,09:27,09:31,09:33,09:34,09:37,09:38,09:44,09:46,09:48,09:51,09:54,09:57,09:59,10:02,10:04,10:06,10:10,10:14,10:16,10:21,10:24,10:27
T01,Saturdays,09:40,09:44,09:47,09:51,09:53,09:54,09:57,09:58,10:04,10:06,10:08,10:11,10:14,10:17,10:19,10:22,10:24,10:26,10:30,10:34,10:36,10:41,10:44,10:47
T01,Saturdays,10:00,10:04,10:07,10:11,10:13,10:14,10:17,10:18,10:24,10:26,10:28,10:31,10:34,10:37,10:39,10:42,10:44,10:46,10:50,10:54,10:56,11:01,11:04,11:07
T01,Saturdays,10:20,10:24,10:27,10:31,10:33,10:34,10:37,10:38,10:44,10:46,10:48,10:51,10:54,10:57,10:59,11:02,11:04,11:06,11:10,11:14,11:16,11:21,11:24,11:27
T01,Saturdays,10:40,10:44,10:47,10:51,10:53,10:54,10:57,10:58,11:04,11:06,11:08,11:11,11:14,11:17,11:19,11:22,11:24,11:26,11:30,11:34,11:36,11:41,11:44,11:47
T01,Saturdays,11:00,11:04,11:07,11:11,11:13,11:14,11:17,11:18,11:24,11:26,11:28,11:31,11:34,11:37,11:39,11:42,11:44,11:46,11:50,11:54,11:56,12:01,12:04,12:07
T01,Saturdays,11:20,11:24,11:27,11:31,11:33,11:34,11:37,11:38,11:44,11:46,11:48,11:51,11:54,11:57,11:59,12:02,12:04,12:06,12:10,12:14,12:16,12:21,12:24,12:27
T01,Saturdays,11:40,11:44,11:47,11:51,11:53,11:54,11:57,11:58,12:04,12:06,12:08,12:11,12:14,12:17,12:19,12:22,12:24,12:26,12:30,12:34,12:36,12:41,12:44,12:47
T01,Saturdays,12:00,12:04,12:07,12:11,12:13,12:14,12:17,12:18,12:24,12:26,12:28,12:31,12:34,12:37,12:39,12:42,12:44,12:46,12:50,12:54,12:56,13:01,13:04,13:07
T01,Saturdays,12:20,12:24,12:27,12:31,12:33,12:34,12:37,12:38,12:44,12:46,12:48,12:51,12:54,12:57,12:59,13:02,13:04,13:06,13:10,13:14,13:16,13:21,13:24,13:27
T01,Saturdays,12:40,12:44,12:47,12:51,12:53,12:54,12:57,12:58,13:04,13:06,13:08,13:11,13:14,13:17,13:19,13:22,13:24,13:26,13:30,13:34,13:36,13:41,13:44,13:47
T01,Saturdays,13:00,13:04,13:07,13:11,13:13,13:14,13:17,13:18,13:24,13:26,13:28,13:31,13:34,13:37,13:39,13:42,13:44,13:46,13:50,13:54,13:56,14:01,14:04,14:07
T01,Saturdays,13:20,13:24,13:27,13:31,13:33,13:34,13:37,13:38,13:44,13:46,13:48,13:51,13:54,13:57,13:59,14:02,14:04,14:06,14:10,14:14,14:16,14:21,14:24,14:27
T01,Saturdays,13:40,13:44,13:47,13:51,13:53,13:54,13:57,13:58,14:04,14:06,14:08,14:11,14:14,14:17,14:19,14:22,14:24,14:26,14:30,14:34,14:36,14:41,14:44,14:47
T01,Saturdays,14:00,14:04,14:07,14:11,14:13,14:14,14:17,14:18,14:24,14:26,14:28,14:31,14:34,14:37,14:39,14:42,14:44,14:46,14:50,14:54,14:56,15:01,15:04,15:07
T01,Saturdays,14:20,14:24,14:27,14:31,14:33,14:34,14:37,14:38,14:44,14:46,14:48,14:51,14:54,14:57,14:59,15:02,15:04,15:06,15:10,15:14,15:16,15:21,15:24,15:27
