route_number,day_type,Atlantis Station,Arion,Charel Uys North,Montreal,Tsitsikamma,Atlantis Cemetery,Silverstream,PM Louw,Moravia,Enon,Goedverwacht,Paradise,Crown
234,Sundays and Public Holidays,06:15,06:16,06:18,06:20,06:21,06:23,06:25,06:26,06:27,06:28,06:30,06:31,06:33
234,Sundays and Public Holidays,06:57,06:58,07:00,07:02,07:03,07:05,07:07,07:08,07:09,07:10,07:12,07:13,07:15
234,Sundays and Public Holidays,07:39,07:40,07:42,07:44,07:45,07:47,07:49,07:50,07:51,07:52,07:54,07:55,07:57
234,Sundays and Public Holidays,08:21,08:22,08:24,08:26,08:27,08:29,08:31,08:32,08:33,08:34,08:36,08:37,08:39
234,Sundays and Public Holidays,09:03,09:04,09:06,09:08,09:09,09:11,09:13,09:14,09:15,09:16,09:18,09:19,09:21
234,Sundays and Public Holidays,09:45,09:46,09:48,09:50,09:51,09:53,09:55,09:56,09:57,09:58,10:00,10:01,10:03
234,Sundays and Public Holidays,10:27,10:28,10:30,10:32,10:33,10:35,10:37,10:38,10:39,10:40,10:42,10:43,10:45
234,Sundays and Public Holidays,11:09,11:10,11:12,11:14,11:15,11:17,11:19,11:20,11:21,11:22,11:24,11:25,11:27
234,Sundays and Public Holidays,11:51,11:52,11:54,11:56,11:57,11:59,12:01,12:02,12:03,12:04,12:06,12:07,12:09
234,Sundays and Public Holidays,12:33,12:34,12:36,12:38,12:39,12:41,12:43,12:44,12:45,12:46,12:48,12:49,12:51
234,Sundays and Public Holidays,13:15,13:16,13:18,13:20,13:21,13:23,13:25,13:26,13:27,13:28,13:30,13:31,13:33
234,Sundays and Public Holidays,13:57,13:58,14:00,14:02,14:03,14:05,14:07,14:08,14:09,14:10,14:12,14:13,14:15
234,Sundays and Public Holidays,14:39,14:40,14:42,14:44,14:45,14:47,14:49,14:50,14:51,14:52,14:54,14:55,14:57
234,Sundays and Public Holidays,15:21,15:22,15:24,15:26,15:27,15:29,15:31,15:32,15:33,15:34,15:36,15:37,15:39
234,Sundays and Public Holidays,16:03,16:04,16:06,16:08,16:09,16:11,16:13,16:14,16:15,16:16,16:18,16:19,16:21
234,Sundays and Public Holidays,16:45,16:46,16:48,16:50,16:51,16:53,16:55,16:56,16:57,16:58,17:00,17:01,17:03
234,Sundays and Public Holidays,17:27,17:28,17:30,17:32,17:33,17:35,17:37,17:38,17:39,17:40,17:42,17:43,17:45
234,Sundays and Public Holidays,18:09,18:10,18:12,18:14,18:15,18:17,18:19,18:20,18:21,18:22,18:24,18:25,18:27
234,Sundays and Public Holidays,18:51,18:52,18:54,18:56,18:57,18:59,19:01,19:02,19:03,19:04,19:06,19:07,19:09
234,Sundays and Public Holidays,19:33,19:34,19:36,19:38,19:39,19:41,19:43,19:44,19:45,19:46,19:48,19:49,19:51
234,Sundays and Public Holidays,20:15,20:16,20:18,20:20,20:21,20:23,20:25,20:26,20:27,20:28,20:30,20:31,20:33
234,Sundays and Public Holidays,20:57,20:58,21:00,21:02,21:03,21:05,21:07,21:08,21:09,21:10,21:12,21:13,21:15
