day_type,MAKHAZA,J BLOCK,MAKHAYA,VILLAGE 3,HARARE,ELITHA PARK,SITE C,OTTERY HYPERMARKET,PLUMSTEAD,BAMBOESVLEI RD,WYNBERG
MondaysToFridays,,,,,06:35,,07:00,,,,08:10
MondaysToFridays,07:30,,,07:55,,,08:00,,,,08:35
MondaysToFridays,07:20,,,07:45,,,07:50,,,,08:45
MondaysToFridays,06:50,,,07:15,,,07:20,,,,08:20
MondaysToFridays,,,,,06:55,07:05,07:15,,,,08:00
MondaysToFridays,,,,,07:20,,07:45,,,,08:45
MondaysToFridays,,,,,06:15,,06:45,via,,,07:50
MondaysToFridays,07:15,,,07:40,,,07:45,via,,,09:15
MondaysToFridays,07:00,,,07:25,,,07:30,via,,,08:20
MondaysToFridays,,07:10,,07:20,,,07:25,,,,08:15
Mondays_to_Thursdays,16:30,,,16:55,,,17:00,,,,18:10
Mondays_to_Thursdays,15:45,,,16:10,,,16:15,,,,17:25
Mondays_to_Thursdays,16:55,,,17:20,,,17:25,,,,18:20
Mondays_to_Thursdays,,,,,15:00,,15:25,,,,16:15
Mondays_to_Thursdays,,,,,14:00,,14:25,,,,15:15
Mondays_to_Thursdays,,,,,14:30,,14:55,,,,15:50
Mondays_to_Thursdays,,,,,16:20,,16:45,,,,18:00
Mondays_to_Thursdays,14:00,,,14:25,,,14:30,,,,15:15
Mondays_to_Thursdays,,,,,13:30,,13:55,,,,14:40
Mondays_to_Thursdays,15:15,,,15:40,,,15:45,,,,16:30
Mondays_to_Thursdays,12:30,,,12:55,,,13:00,,,,13:55
Mondays_to_Thursdays,05:50,,,,,,06:00,,,,07:40
Mondays_to_Thursdays,06:00,,,06:25,,,06:30,via,,,07:20
Mondays_to_Thursdays,06:15,,,06:40,,,06:45,via,,,08:10
Mondays_to_Thursdays,06:15,,,,,,via,,,,08:00
Mondays_to_Thursdays,06:40,,,07:05,,,07:10,,,,08:20
Mondays_to_Thursdays,,,,,,,08:00,via,,,09:10
Mondays_to_Thursdays,08:15,,,08:40,,,08:45,,,,09:30
Mondays_to_Thursdays,08:40,,,09:05,,,09:10,,,,10:00
Mondays_to_Thursdays,,,,,05:30,,05:55,,,via,07:00
Mondays_to_Thursdays,10:30,,,10:55,,,11:00,,,,12:00
Mondays_to_Thursdays,10:00,,,10:25,,,10:30,,,,11:15
Mondays_to_Thursdays,,,,,12:20,,12:45,,,,13:45
Mondays_to_Thursdays,12:00,,,12:25,,,12:30,,,,13:15
Mondays_to_Thursdays,,,,,12:00,,12:25,,,,13:00
Mondays_to_Thursdays,13:20,,,13:45,,,13:50,,,,14:40
Mondays_to_Thursdays,11:30,,,11:55,,,12:00,,,,13:15
Mondays_to_Thursdays,,,,,11:00,,11:25,,,,12:20
Mondays_to_Thursdays,11:00,,,11:25,,,11:30,,,,12:30
Mondays_to_Thursdays,,,,,11:30,,11:55,,,,12:45
PublicHolidays,06:00,,,06:30,,,06:35,,,,07:00
PublicHolidays,,,,,06:30,,06:55,,,,07:30
PublicHolidays,07:00,,,07:25,,,07:30,,,,08:00
