day_type,RONDEBOSCH,CLAREMONT,GATTI'S FACTORY,LANSDOWNE,SITE C,HARARE,VILLAGE 3,ENKANINI,MAKHAZA
Mondays_to_Thursdays,16:40,17:00,,,17:35,,17:40,,18:30
Mondays_to_Thursdays,,16:00,,,16:35,17:25,,,
Mondays_to_Thursdays,,15:45,,,16:20,,16:25,,17:20
Mondays_to_Thursdays,15:40,16:00,,,16:35,,16:40,,17:30
Mondays_to_Thursdays,16:00,16:20,,,17:00,17:40,,,
PublicHolidays,,07:50,,,08:25,,08:30,,08:55
PublicHolidays,,12:20,,,12:55,13:20,,,
PublicHolidays,,08:50,,,09:25,,09:30,,09:50
PublicHolidays,,09:50,,,10:25,,10:30,,10:50
PublicHolidays,,10:20,,,10:55,11:20,,,
PublicHolidays,,10:50,,,11:25,,11:30,,11:50
PublicHolidays,,11:20,,,11:55,12:20,,,
PublicHolidays,,12:50,,,13:25,,13:30,,14:50
PublicHolidays,,15:50,,,16:25,,16:30,,17:25
PublicHolidays,,14:20,,,14:55,15:30,,,
PublicHolidays,,14:50,,,15:25,,15:30,,15:50
PublicHolidays,,15:20,,,15:55,16:20,,,
PublicHolidays,,16:40,,,17:15,17:55,,,
PublicHolidays,,16:50,,,17:25,,17:30,,17:50
PublicHolidays,,17:20,,,17:55,18:20,,,
PublicHolidays,,18:55,,,19:30,20:05,,,
PublicHolidays,,07:20,,,07:55,08:20,,,
PublicHolidays,,13:20,,,13:55,14:20,,,
PublicHolidays,,06:50,,,07:25,,07:30,,07:50
PublicHolidays,,20:20,,,20:55,21:20,,,
PublicHolidays,,19:50,,,20:25,,20:30,,20:50
Saturdays,,13:45,,,14:20,15:00,,,
Saturdays,,12:45,,,13:20,14:00,,,
Saturdays,,12:30,,,13:05,,13:10,,13:45
Saturdays,,12:15,,,12:50,13:30,,,
Saturdays,,12:00,,,12:35,,12:40,,13:15
Saturdays,,11:45,,,12:20,13:30,,,
Saturdays,,11:30,,,12:05,,12:10,,12:45
Saturdays,,10:45,,,11:20,12:00,,,
Saturdays,,10:30,,,11:05,,11:10,,11:45
Saturdays,,10:00,,,10:35,,10:40,,11:15
Saturdays,,09:45,,,10:20,11:00,,,
Saturdays,,09:30,,,10:05,,10:10,,10:45
Saturdays,,09:00,,,09:35,,09:40,,10:20
Saturdays,,08:45,,,09:20,10:00,,,
Saturdays,,08:00,,,08:35,,08:40,,09:15
Saturdays,,07:15,,,07:50,08:45,,,
Saturdays,,06:45,,,07:20,08:00,,,
Saturdays,,06:30,,,07:05,,07:10,,08:15
Saturdays,,13:00,,,13:35,,13:40,,14:05
Saturdays,,13:30,,,14:05,,14:10,,15:15
Saturdays,,06:15,,,06:50,07:30,,,
Saturdays,,16:15,,,16:50,17:50,,,
Saturdays,,17:45,,,18:20,19:00,,,
Saturdays,,17:30,,,18:05,,18:10,,18:40
Saturdays,,17:15,,,17:50,18:30,,,
Saturdays,,17:00,,,17:35,,17:40,,18:15
Saturdays,,16:45,,,17:20,18:00,,,
Saturdays,,16:30,,,17:05,,17:10,,17:45
Saturdays,,19:30,,,20:05,,20:10,,20:45
Saturdays,,19:15,,,19:50,20:20,,,
Saturdays,,16:00,,,16:35,,16:40,,17:15
Saturdays,,15:45,,,16:20,17:00,,,
Saturdays,,15:30,,,16:05,,16:10,,16:45
Saturdays,,15:15,,,15:50,16:30,,,
Saturdays,,15:00,,,15:35,,15:40,,16:15
Saturdays,,14:45,,,15:20,16:30,,,
Saturdays,,14:30,,,15:05,,15:10,,15:50
Saturdays,,14:15,,,14:50,15:30,,,
Saturdays,,14:00,,,14:35,,14:40,,15:15
Saturdays,,18:15,,,18:50,,18:55,,19:45
Saturdays,,18:15,,,18:50,19:10,,,
Sundays,,06:45,,,07:20,08:15,,,
Sundays,,18:15,,,18:50,,18:55,,19:45
Sundays,,17:45,,,18:20,19:15,,,
Sundays,,17:15,,,17:50,,17:55,,19:30
Sundays,,07:15,,,07:50,,07:55,,08:15
Sundays,,07:45,,,08:20,09:15,,,
Sundays,,08:15,,,08:50,,08:55,,09:45
Sundays,,08:45,,,09:20,10:15,,,
Sundays,,09:15,,,09:50,,09:55,,10:45
Sundays,,09:45,,,10:20,11:15,,,
Sundays,,10:15,,,10:50,,10:55,,11:45
Sundays,,10:45,,,11:20,12:15,,,
Sundays,,11:15,,,11:50,,11:55,,12:45
Sundays,,11:45,,,12:20,13:15,,,
Sundays,,12:45,,,13:20,14:00,,,
Sundays,,13:15,,,13:50,,13:55,,14:45
Sundays,,13:45,,,14:20,15:15,,,
Sundays,,14:15,,,14:50,,14:55,,15:45
Sundays,,14:45,,,15:20,16:15,,,
Sundays,,15:15,,,15:50,,15:55,,16:45
Sundays,,15:45,,,16:20,17:45,,,
Sundays,,16:15,,,16:50,,16:55,,17:45
Sundays,,16:45,,,17:20,18:00,,,
Sundays,,06:15,,,06:50,,06:55,,07:45
Sundays,,12:15,,,12:50,,12:55,,13:45
