day_type,CAPE TOWN,,,,,,,,,,BELLVILLE
Mondays_to_Thursdays,10:45,,,,,,,,,,11:45
Mondays_to_Thursdays,14:50,,,,,,,,,,16:05
Mondays_to_Thursdays,15:00,,,,,,,,,,17:00
Mondays_to_Thursdays,10:15,,,,,,,,,,11:30
Mondays_to_Thursdays,15:20,,,,,,,,,,16:30
Mondays_to_Thursdays,14:30,,,,,,,,,,15:40
Mondays_to_Thursdays,15:40,,,,,,,,,,17:00
PublicHolidays,11:30,,,,,,,,,,12:30
PublicHolidays,11:00,,,,,,,,,,11:50
PublicHolidays,10:30,,,,,,,,,,11:30
PublicHolidays,10:00,,,,,,,,,,11:00
PublicHolidays,8:30,,,,,,,,,,9:30
PublicHolidays,9:00,,,,,,,,,,10:00
PublicHolidays,8:00,,,,,,,,,,9:00
PublicHolidays,12:00,,,,,,,,,,13:00
PublicHolidays,9:30,,,,,,,,,,10:30
PublicHolidays,12:30,,,,,,,,,,13:30
PublicHolidays,17:00,,,,,,,,,,18:00
PublicHolidays,13:30,,,,,,,,,,14:30
PublicHolidays,14:00,,,,,,,,,,15:00
PublicHolidays,14:30,,,,,,,,,,15:30
PublicHolidays,15:00,,,,,,,,,,16:00
PublicHolidays,15:30,,,,,,,,,,16:20
PublicHolidays,16:00,,,,,,,,,,16:50
PublicHolidays,16:30,,,,,,,,,,17:20
PublicHolidays,17:30,,,,,,,,,,18:30
PublicHolidays,7:30,,,,,,,,,,8:30
PublicHolidays,13:00,,,,,,,,,,14:00
PublicHolidays,7:00,,,,,,,,,,8:00
PublicHolidays,18:30,,,,,,,,,,19:15
PublicHolidays,18:00,,,,,,,,,,19:00
Saturdays,13:00,,,,,,,,,,14:00
Saturdays,12:30,,,,,,,,,,13:30
Saturdays,12:15,,,,,,,,,,13:30
Saturdays,12:00,,,,,,,,,,13:00
Saturdays,11:30,,,,,,,,,,12:30
Saturdays,11:00,,,,,,,,,,12:00
Saturdays,10:45,,,,,,,,,,11:45
Saturdays,10:30,,,,,,,,,,11:30
Saturdays,10:00,,,,,,,,,,11:30
Saturdays,9:30,,,,,,,,,,10:30
Saturdays,9:20,,,,,,,,,,
Saturdays,9:00,,,,,,,,,,10:00
Saturdays,8:45,,,,,,,,,,9:45
Saturdays,8:30,,,,,,,,,,9:30
Saturdays,8:20,,,,,,,,,,9:00
Saturdays,8:00,,,,,,,,,,9:00
Saturdays,8:00,,,,,,,,,,
Saturdays,7:30,,,,,,,,,,8:30
Saturdays,7:15,,,,,,,,,,8:25
Saturdays,6:45,,,,,,,,,,7:45
Saturdays,6:30,,,,,,,,,,7:30
Saturdays,12:45,,,,,,,,,,14:00
Saturdays,12:50,,,,,,,,,,
Saturdays,7:00,,,,,,,,,,8:00
Saturdays,16:00,,,,,,,,,,17:00
Saturdays,13:15,,,,,,,,,,14:15
Saturdays,13:30,,,,,,,,,,14:30
Saturdays,14:00,,,,,,,,,,15:00
Saturdays,14:30,,,,,,,,,,16:00
Saturdays,15:00,,,,,,,,,,16:00
Saturdays,15:15,,,,,,,,,,16:15
Saturdays,15:30,,,,,,,,,,16:30
Saturdays,16:30,,,,,,,,,,17:30
Saturdays,17:00,,,,,,,,,,18:00
Saturdays,17:30,,,,,,,,,,18:30
Saturdays,17:40,,,,,,,,,,18:30
Saturdays,18:00,,,,,,,,,,19:00
Sundays,6:30,,,,,,,,,,7:30
Sundays,12:00,,,,,,,,,,13:00
Sundays,7:00,,,,,,,,,,8:00
Sundays,7:30,,,,,,,,,,8:30
Sundays,8:00,,,,,,,,,,9:00
Sundays,8:30,,,,,,,,,,9:30
Sundays,12:30,,,,,,,,,,13:30
Sundays,13:00,,,,,,,,,,14:00
Sundays,13:30,,,,,,,,,,14:30
Sundays,14:00,,,,,,,,,,15:00
Sundays,11:00,,,,,,,,,,12:00
Sundays,15:00,,,,,,,,,,16:00
Sundays,15:30,,,,,,,,,,17:00
Sundays,16:00,,,,,,,,,,17:00
Sundays,16:30,,,,,,,,,,17:30
Sundays,17:00,,,,,,,,,,18:00
Sundays,18:00,,,,,,,,,,19:00
Sundays,10:30,,,,,,,,,,11:30
Sundays,10:00,,,,,,,,,,11:00
Sundays,9:30,,,,,,,,,,10:30
Sundays,9:00,,,,,,,,,,10:00
Sundays,11:30,,,,,,,,,,13:00
Sundays,14:30,,,,,,,,,,15:30
