day_type,MAKHAZA,ENKANINI,VILLAGE 3,HARARE,SITE C,KENILWORTH CENTRE,CLAREMONT,WYNDOVER,RONDEBOSCH
Mondays_to_Thursdays,,,16:15,,16:45,,17:30,,
Mondays_to_Thursdays,,,,16:05,16:30,,17:15,,
Mondays_to_Thursdays,15:00,,15:25,,15:30,,16:20,,
Mondays_to_Thursdays,15:45,,16:10,,16:15,,16:55,,
Mondays_to_Thursdays,,,,15:45,16:10,,17:20,,
Mondays_to_Thursdays,13:30,,13:55,,14:00,,14:45,,
Mondays_to_Thursdays,15:15,,15:40,,15:45,,17:00,,
Mondays_to_Thursdays,16:50,,17:15,,17:20,,18:15,,
Mondays_to_Thursdays,04:45,,05:10,,05:15,,05:55,,
Mondays_to_Thursdays,09:00,,09:25,,09:30,,10:30,,
Mondays_to_Thursdays,12:45,,13:10,,13:15,,15:00,,
Mondays_to_Thursdays,,,,13:15,13:40,,14:30,,
Mondays_to_Thursdays,05:40,,06:15,,06:20,,07:05,,07:40
Mondays_to_Thursdays,05:40,,06:05,,06:10,,08:20,,
Mondays_to_Thursdays,,,,,05:50,,07:00,,
Mondays_to_Thursdays,,06:00,,,06:30,,07:30,,
Mondays_to_Thursdays,06:00,,06:25,,06:30,,07:40,,
Mondays_to_Thursdays,,,06:20,,via,,08:00,,
Mondays_to_Thursdays,,,,06:40,07:05,,07:55,,08:20
Mondays_to_Thursdays,06:50,,07:15,,07:20,,08:15,,
Mondays_to_Thursdays,,,,04:55,05:20,,06:00,,
Mondays_to_Thursdays,,,,07:20,07:40,,08:30,via,08:55
Mondays_to_Thursdays,,,,07:00,via,,08:10,,
Mondays_to_Thursdays,,,,11:30,11:55,,13:00,,
Mondays_to_Thursdays,,,,11:00,11:25,,12:00,,
Mondays_to_Thursdays,09:45,,10:10,,10:15,,11:00,,
Mondays_to_Thursdays,,,,12:00,12:25,,13:50,,
Mondays_to_Thursdays,07:45,,08:05,,08:15,via,09:00,,09:35
Mondays_to_Thursdays,,,,07:30,via,,09:00,,
Mondays_to_Thursdays,,,,09:05,09:30,,10:20,,
PublicHolidays,,,,06:20,06:45,,07:20,,
PublicHolidays,09:50,,10:15,,10:20,,10:50,,
PublicHolidays,06:50,,07:15,,07:20,,08:20,,
PublicHolidays,07:50,,08:15,,08:20,,08:50,,
PublicHolidays,,,,08:20,08:45,,09:20,,
PublicHolidays,08:50,,09:15,,09:20,,09:50,,
PublicHolidays,,,,09:20,09:45,,10:20,,
PublicHolidays,,,,10:20,10:45,,11:20,,
PublicHolidays,,,,14:20,14:45,,15:20,,
PublicHolidays,11:50,,12:15,,12:20,,12:50,,
PublicHolidays,,,,12:20,12:45,,13:20,,
PublicHolidays,13:50,,14:15,,14:20,,14:50,,
PublicHolidays,14:50,,15:15,,15:20,,15:50,,
PublicHolidays,,,,15:30,15:55,,16:40,,
