day_type,MONWABISI,MAKHAZA,HARARE,MAKHAYA,ENKANINI,VILLAGE 3,SITE C,DRIFTSANDS,N2 FREEWAY,JAKES GERWEL DRV,MONTAGUE GARDENS,KILLARNEY,MARINE DRV,BLOUBERGSTRAND,BLAAUWBERG RIDGE,MELKBOS,BLAAUWBERG
MondaysToFridays,,06:35,,,,06:55,,,via,via,via,,via,,,08:35,
MondaysToFridays,,,04:50,,,,05:15,via,via,via,via,06:15,via,,07:00,,
MondaysToFridays,,,06:30,,,,via,via,via,via,via,,via,,,08:45,
MondaysToFridays,,,06:30,,,,06:45,,via,via,via,07:35,,,08:50,,
MondaysToFridays,,06:20,,,,,,,via,via,via,07:40,via,,08:40,,
MondaysToFridays,,,06:15,,,,06:35,,,,via,07:30,via,,08:40,,
MondaysToFridays,,06:30,,,,06:45,07:00,,,,via,07:50,via,,08:50,,
MondaysToFridays,,06:40,,,,06:55,07:10,,,,via,08:00,via,,09:00,,
MondaysToFridays,,08:00,,,,08:15,08:30,,,,via,via,via,,09:55,,
MondaysToFridays,,,07:00,,,,07:20,,,,via,08:15,via,,08:40,,
MondaysToFridays,,07:00,,,,07:25,07:30,,via,via,via,08:20,via,,08:45,,
MondaysToFridays,,,08:00,,,,08:20,,,,via,09:15,via,,10:20,,
MondaysToFridays,,09:00,,,,09:20,via,,,,,10:40,via,,11:30,,
MondaysToFridays,,,,,,09:30,via,,,,via,10:45,,,11:30,,
MondaysToFridays,,10:00,,,,10:20,via,,,,,11:40,via,,12:15,,
MondaysToFridays,,,10:00,,,,via,,,via,via,11:20,,,,,
MondaysToFridays,,,,,,10:30,via,,,,via,11:45,,,12:45,,
MondaysToFridays,,11:30,,,,11:55,12:00,,via,via,via,12:50,via,,13:20,,
MondaysToFridays,,13:45,,,,14:10,14:15,,via,via,via,15:05,via,,15:40,,
MondaysToFridays,,14:30,,,,14:55,15:00,,via,via,via,15:50,via,,16:20,,
MondaysToFridays,,06:50,,,,07:10,,,via,via,via,08:10,via,,08:30,,
MondaysToFridays,,06:15,,,,06:35,,,via,via,via,,via,,,08:25,
MondaysToFridays,,,09:00,,,,via,,,via,via,10:15,,,11:20,,
MondaysToFridays,,05:20,,,,05:40,,,via,via,via,06:40,,,07:00,,
MondaysToFridays,,05:15,,,,05:35,,,via,via,via,06:35,,,07:20,,
MondaysToFridays,,,,,05:25,,,,via,via,via,06:45,,,07:25,,
MondaysToFridays,,,05:25,,,,05:40,,via,via,via,06:30,,,07:55,,
MondaysToFridays,,05:30,,,,05:45,,,via,via,via,,via,,,07:40,
MondaysToFridays,,05:10,,,,05:30,,,via,via,via,06:30,,,06:50,,
MondaysToFridays,,,,,,05:30,05:40,via,via,via,,06:40,,,07:00,,
MondaysToFridays,,05:00,,,,05:20,,,via,via,via,06:20,via,,07:00,,
MondaysToFridays,,,05:40,via,,,,,,,via,06:50,via,,07:30,,
MondaysToFridays,,05:15,,,,05:30,,,via,via,via,,via,,,07:30,
MondaysToFridays,05:40,,,,,,,,via,via,via,via,,,07:30,,
MondaysToFridays,,05:00,,,,05:20,,,via,via,via,06:10,,,07:05,,
MondaysToFridays,,05:00,,,,,via,,,,via,06:30,,,,,
MondaysToFridays,,,05:15,,,,05:30,,via,via,via,06:20,,,07:20,,
MondaysToFridays,,,,,,05:40,05:55,,via,via,via,07:00,,,,,
MondaysToFridays,,05:45,,,,06:05,,,via,via,via,07:05,,,08:15,,
MondaysToFridays,,,,,06:15,,via,,,,via,07:55,,,08:30,,
MondaysToFridays,,06:00,,,,06:15,,,via,via,via,,via,,,08:40,
MondaysToFridays,,06:00,,,,,,,via,via,via,07:20,via,,08:20,,
