day_type,MAKHAZA,J BLOCK,ENKANINI,HARARE,MAKHAYA,VILLAGE 3,SITE C,NYANGA TERM,MANDALAY,BELLVILLE,TYGER VALLEY CENTRE,KENRIDGE,DURBANV.MUNICIPALITY,DURBANVILLE,VREDEKLOOF,KUILS RIVER TERM,TAFELSIG LOST CITY
MondaysToFridays,,,,06:15,,,,,,07:25,,,,08:00,,,
MondaysToFridays,,,,,,,06:20,,06:00,07:10,,,,07:35,,,
MondaysToFridays,07:00,,,,,,,,,08:00,08:15,,,08:50,,,
MondaysToFridays,,,,06:30,,,,,,07:40,,,,08:10,,,
MondaysToFridays,,,,,,,06:50,,06:30,07:40,,,,08:10,,,
MondaysToFridays,,06:30,,,,via,,,,07:30,via,,,08:15,,,
MondaysToFridays,06:30,,,,,,,,,07:30,07:45,,,08:10,,,
MondaysToFridays,06:40,,,,,,,,,07:40,07:55,,,08:30,,,
MondaysToFridays,,,,05:55,,,,,,,,,,07:45,,,
MondaysToFridays,06:45,,,,,via,,,,07:15,,08:15,,,,,
MondaysToFridays,,06:45,,,,06:55,via,,,07:45,08:00,,,08:20,,,
MondaysToFridays,06:50,,,,,,,,,07:50,08:05,,,08:20,,,
MondaysToFridays,,,,,06:00,06:20,06:30,,,07:00,07:15,,,08:00,,,
MondaysToFridays,06:50,,,,,07:10,07:20,,,07:50,08:05,,,08:40,,,
MondaysToFridays,,,,07:00,,,,,,08:10,,,,08:50,,,
MondaysToFridays,05:50,,,,,,,,,,,,via,07:05,,,
MondaysToFridays,,,06:10,,,,,,,07:40,,,,08:10,,,
Mondays_to_Thursdays,,,,14:00,,,via,,,15:30,,,,16:15,,,
Mondays_to_Thursdays,,,,15:00,,,via,,,16:30,,,,17:10,,,
Mondays_to_Thursdays,14:30,,,,,14:50,15:00,,,15:30,15:45,,,16:10,,,
Mondays_to_Thursdays,13:30,,,,,13:45,13:55,14:25,,14:40,,,,15:30,,,
Mondays_to_Thursdays,12:30,,,,,12:45,12:55,13:25,,13:40,,,,14:10,,,
Mondays_to_Thursdays,,,,14:15,,14:00,14:35,14:50,,15:20,,,,16:10,,,
Mondays_to_Thursdays,,,,13:00,,,via,,,14:30,,,,15:00,,,
Mondays_to_Thursdays,04:40,,,,,05:00,05:10,,,05:40,05:55,,,06:40,,,
Mondays_to_Thursdays,09:40,,,,,09:55,10:05,10:35,,10:50,,,,11:25,,,
Mondays_to_Thursdays,,,,11:00,,,via,,,12:30,,,,12:45,,,
Mondays_to_Thursdays,,,,,,,05:50,,,07:00,,,,08:50,,,
Mondays_to_Thursdays,,,,06:00,,,06:20,,,07:30,,,,08:00,,,
Mondays_to_Thursdays,06:00,,,,,,,,,,,,via,07:30,,,
Mondays_to_Thursdays,,,,06:10,,,,,,via,,08:15,,,,,
Mondays_to_Thursdays,,,,06:45,,,07:05,,,08:15,,,,08:45,,,
Mondays_to_Thursdays,,,,06:10,,,via,,,,,,,07:45,,,
Mondays_to_Thursdays,07:20,,,,,07:35,07:55,,,08:30,08:50,,,,,,
Mondays_to_Thursdays,09:00,,,,,09:20,09:30,,,10:00,10:15,,,10:30,,,
Mondays_to_Thursdays,,,,09:00,,,via,,,10:30,,,,10:45,,,
Mondays_to_Thursdays,10:30,,,,,10:45,10:55,11:25,,11:40,,,,12:30,,,
Mondays_to_Thursdays,,,,07:10,,,,,,08:20,,,,08:50,,,
Mondays_to_Thursdays,,,,12:00,,,via,,,13:30,,,,14:00,,,
PublicHolidays,05:00,,,,,05:15,05:25,05:55,,06:10,,,,06:30,,,
PublicHolidays,,,,08:00,,,via,08:30,,09:00,,,,09:30,,,
PublicHolidays,07:30,,,,,,07:50,07:55,,08:25,09:20,,,,,,
PublicHolidays,,,,07:00,,,07:20,07:25,,07:55,08:10,,,,,,
PublicHolidays,07:00,,,,,07:20,07:30,,,08:00,08:15,,,08:50,,,
PublicHolidays,,,,06:00,,,06:20,06:25,,06:55,07:10,,,,,,
PublicHolidays,06:00,,,,,,06:20,06:25,,06:55,07:10,,,,,,
PublicHolidays,,,,18:30,,,18:50,18:55,,19:25,20:30,,,,,,
PublicHolidays,09:00,,,,,09:15,09:25,09:55,,10:10,,,,10:30,,,
Saturdays,,,,07:00,,,via,07:30,,08:00,,,,08:50,,,
Saturdays,05:45,,,,,,06:05,,,06:55,07:10,,,07:50,,,
Saturdays,,,,06:00,,,via,06:30,,07:00,,,,07:40,,,
Saturdays,,,,06:15,,,06:35,,,07:10,07:30,,,,,,
