ID,NAME,xcoord,ycoord,address
136,Malgas,18.4997120006022,-33.5708520000839,"Magnolia Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
137,Jacana,18.5013830003366,-33.5701629999945,"Curlew Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
138,Patrys,18.5030559994912,-33.5708809999415,"Curlew Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
139,Swawel,18.5065599997263,-33.5687750004924,"Swift Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
140,Tortelduif,18.5074989992865,-33.565076999956,"Swift Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
141,Robinvale,18.5041820001018,-33.5659579994431,"Fiskaal Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
142,Curlew,18.4999959991988,-33.5658460008009,"Fiskaal Street, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
165,Insiswa,18.5046110006656,-33.5512799998464,"Jonkershoek Road, Saxonsea, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
187,Dahlia,18.489433000224,-33.5743419995723,"Charel Uys Drive, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
188,Grosvenor,18.4905269999943,-33.5724959997814,"Charel Uys Drive, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
189,Charel Uys,18.4924149992296,-33.5698050003829,"Charel Uys Drive, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
195,Magnolia,18.4985380004053,-33.5714740003521,"Reygersdal Avenue, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
196,Starling,18.5011320009205,-33.5738510001228,"Reygersdal Avenue, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
198,Kerria Primary,18.4986480000893,-33.5770069999021,"Usave Protea Park, 83, Kerria Avenue, Protea Park, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
200,Begonia,18.4976689998508,-33.5806490008362,"Acacia Crescent, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
201,Aloe,18.5018099996838,-33.5804649995951,"Acacia Crescent, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
202,Acacia,18.5030339994721,-33.5795270006419,"Acacia Crescent, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
203,Azalea,18.5028519990497,-33.5758159994738,"Acacia Crescent, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
214,Cealian,18.5018470006163,-33.5595450000922,"Castlehill Circle, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
223,Charel Uys South,18.486192000983,-33.5833559996784,"Charel Uys Drive, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7437, South Africa"
224,Gerwyn Owen,18.4813839998846,-33.5884020000624,"Gerwyn Owen, Charel Uys Drive, Atlantis Industrial, Cape Town Ward 32, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
225,Duynefontein,18.4562660006991,-33.6903770006158,"West Coast Road, Duynefontein, Cape Town Ward 23, City of Cape Town, Western Cape, South Africa"
226,Wanderlust,18.4560859990264,-33.7008790005923,"West Coast Road, Cape Town Ward 23, Melkbosstrand, City of Cape Town, Western Cape, South Africa"
227,Blaauwe Berg,18.4556569998072,-33.7255610001023,"West Coast Road, Cape Town Ward 23, Melkbosstrand, City of Cape Town, Western Cape, South Africa"
228,Melkbosstrand,18.4423399996427,-33.730857999922,"Melkbosstrand, Otto du Plessis Drive, Cape Town Ward 23, Melkbosstrand, City of Cape Town, Western Cape, South Africa"
229,Table View,18.4888339991628,-33.8247679996143,"Table View, Blaauwberg Road, Flamingo Vlei, Cape Town Ward 113, City of Cape Town, Western Cape, 7439, South Africa"
236,Omuramba,18.5124849994102,-33.8682210005325,"Omuramba, Racecourse Road, Marconi Beam, Milnerton, City of Cape Town, Western Cape, 7447, South Africa"
237,Royal Ascot,18.5028199996686,-33.8630120000401,"Racecourse Road, Royal Ascot, Milnerton, City of Cape Town, Western Cape, 7447, South Africa"
238,Racecourse,18.5003609996097,-33.8613909997272,"Racecourse, Otto du Plessis Drive, Royal Ascot, Milnerton, City of Cape Town, Western Cape, 7447, South Africa"
239,Sunset Beach,18.4963030002782,-33.8532740001111,"Otto du Plessis Drive, Sunset Beach, Milnerton, City of Cape Town, Western Cape, 8005, South Africa"
240,Porterfield,18.4885540000921,-33.8150589998875,"Porterfield, Otto du Plessis Drive, Cape Town Ward 107, City of Cape Town, Western Cape, 7439, South Africa"
241,Quebec,18.3837330006121,-33.9526039998737,"23, Geneva Drive, Camps Bay, Cape Town Ward 54, Cape Town, City of Cape Town, Western Cape, 8005, South Africa"
242,Sandown,18.4842690001081,-33.8069110003287,"Otto du Plessis Drive, Cape Town Ward 107, City of Cape Town, Western Cape, 7433, South Africa"
243,Driftwood,18.4554299997052,-33.7414060003898,"West Coast Road, Cape Town Ward 23, City of Cape Town, Western Cape, South Africa"
244,Birkenhead,18.4554600001642,-33.7358970003948,"West Coast Road, Cape Town Ward 23, City of Cape Town, Western Cape, South Africa"
245,Brittlestar,18.4529180000535,-33.7345779996487,"Birkenhead Drive, Cape Town Ward 23, City of Cape Town, Western Cape, South Africa"
246,Atlantic Beach,18.4473369999113,-33.7322300003074,"Birkenhead Drive, Atlantic Beach Golf Estate, Cape Town Ward 23, City of Cape Town, Western Cape, South Africa"
263,Ravensteyn,18.3849119995519,-33.9571750006426,"Camps Bay Drive, Camps Bay, Cape Town Ward 54, Cape Town, City of Cape Town, Western Cape, 8005, South Africa"
264,Camps Bay,18.3788370002289,-33.9500120003367,"Tiger's Milk - Camps Bay, 35, Victoria Road, Camps Bay, Cape Town Ward 54, Cape Town, City of Cape Town, Western Cape, 8005, South Africa"
267,Popham,18.4843600006461,-33.8235169998394,"Blaauwberg Road, Flamingo Vlei, Cape Town Ward 107, City of Cape Town, Western Cape, 7439, South Africa"
270,Lord Caledon,18.4743780005412,-33.5109940005259,"54, Main Road, Mamre, Cape Town Ward 29, City of Cape Town, Western Cape, 7347, South Africa"
272,Denne East,18.4788420002111,-33.5100649990207,"22, Frans Street, Mamre, Cape Town Ward 29, City of Cape Town, Western Cape, 7347, South Africa"
301,Kuyasa,18.6926340001169,-34.0555760004407,"Ntlazane Road, Kuyasa, Cape Town Ward 97, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa"
351,Oscar Mpetha,18.6838430000732,-34.0563190000788,"Ntlazane Road, Harare, Cape Town Ward 98, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa"
