ID,NAME,xcoord,ycoord
358,Sigwele,18.6518289993356,-34.0227010007495
359,Aliam,18.6534570000987,-34.0183439996345
360,Jeff Masemola,18.6566190002576,-34.0157730001992
361,Civic Centre,18.4297220007067,-33.9207180002612
372,Oscar Mpethu,18.6840239994287,-34.0563200004336
374,Adderley,18.4249320005171,-33.9205990000783
375,Riebeeck,18.4208299999154,-33.9182909992134
376,Alfred,18.4182180002972,-33.9152949996746
377,Gallows Hill,18.41610500041,-33.9119829995538
378,Upper Portswood,18.4130879999117,-33.9092099997766
379,Wigtown,18.4069919997801,-33.9075720002066
380,Hill,18.4033770004586,-33.9078160003909
381,Ellerslie,18.3982969996721,-33.9081660004678
382,Camberwell,18.395823999871,-33.909212000656
383,Sea Point High,18.3940839998056,-33.9106879998296
384,Firmount,18.3919019992448,-33.9132229998792
