stop_name,lat,lon
PHILIPPI,-34.0053057,18.5703832
PHOENIX VILLAGE & JOE SLOVO,,
PINELANDS,-33.9316667,18.5127778
PINEPLACE,,
PLANTATION RD,-34.0095196,18.4980274
PLATTEKLOOF,-33.8775,18.5855556
PLUMSTEAD,-34.02,18.4772222
POLLSMOOR,-34.0695103,18.4380838
PROTEA HEIGHTS,-33.889452,18.699808
RACECOURSE,-33.8614931,18.5002975
RATANGA JUNCTION,,
RAVENSMEAD,-33.9211111,18.6063889
REATREAT,,
RED CROSS HOSPITAL,-33.9542467,18.4879348
RETREAT STATION,-34.0598813,18.4629081
REYGERSDAL,-33.5666046,18.4940201
RICHWOOD,-33.8330556,18.5436111
RIVERTON STREET,-34.0924738,18.8335672
ROCKLANDS,-34.064,18.609
ROOSENDAL,-33.9597222,18.6513889
RUSTHOF,-34.1312794,18.847639
RUYTERWACHT,-33.9197661,18.5522515
SALDANHA,-32.9977778,17.9455556
SALT RIVER,-33.9317008,18.4610056
SAMORA MACHEL,-34.0207209,18.5791075
SANDDRIFT,-28.4103899,16.7764883
SANDOWN,-26.0919444,28.0658333
SANDRIF,-33.8154618,18.6766961
SANDVLEI,-34.0588889,18.7330556
SANLAM CENTRE PAROW,,
SAREPTA,-33.9327778,18.6666667
SAXON WORLD,,
SAXONWOLD,-26.1583333,28.0394444
SCOTTSDENE,-33.8627778,18.725
SCOTTSVILLE,-29.6162796,30.3969363
SEA FORTH,,
SEA POINT,-33.9172222,18.3922222
SEA WINDS,,
SETTLERS WAY,-33.9462989,18.4664552
SILVERSANDS,-33.9797222,18.6780556
SILVERTOWN,-33.9630556,18.5294444
SIMONS TOWN,-34.1868747,18.4254258
SIR LOWRYS PASS,,
SOMERSET HOSPITAL,-33.9051098,18.4163086
SOMERSET WEST,-34.0822195,18.8489342
SOUTHFIELD,-34.0347222,18.4833333
SPINE RD MITCHELLS PLAIN,-34.0562028,18.629756
STEENBERG,-34.0747222,18.4708333
STELLENBOSCH,-33.934444,18.869167
STEYNSRUS,-27.951389,27.563056
STRAND NORTH,,
STRANDFONTEIN,-31.755556,18.227222
STRATFORD,-29.800927,30.8666248
SUBURBAN BLISS,,
SUMMER GREENS,-33.8786111,18.5277778
SUMMERGREENS,,
SUN VALLEY,-25.5213889,28.0669444
SURBURBAN BLISS,,
TABLE VIEW,-33.8236111,18.4902778
TABLEVIEW,-33.8259074,18.4878631
TAFELSIG,-34.0615897,18.6380188
TAMBO VILLAGE,-33.0124105,27.874477
TEMPERANCE TOWN,-34.1530488,18.8830496
THE HAGUE,-33.9583333,18.6416667
TOKAI,-34.0608333,18.4416667
TOWN CENTRE,-34.0478847,18.6205696
TUSCANY GLEN,-33.9997222,18.7
TYGERBERG,-33.8538143,18.5886298
TYGERVALLEY CENTRE,,
TYGERVALLEY SHOPPING CENTRE,,
UITSIG,-29.1619444,26.1994444
UNIBELL,-33.9369892,18.6284645
UPPER MOUNTAIN STREET,,
V & A WATERFRONT,,
VAGUARD DR,,
VANDER STEL STATION,,
VANGATE MALL,-33.9616163,18.5381331
VASCO,-33.9047222,18.5613889
VICTORIA HOSPITAL,-32.7749659,26.8468016
VICTORIA PARK,-33.6547222,19.4438889
VICTORIA RD,-34.0308659,18.4810256
VISSERSHOK FARM,-33.7810724,18.5564629
VOORBRUG,-33.9730556,18.6486111
VOORTREKKER RD,-25.8405677,25.6441803
VOORTREKKER ROAD,-33.9264302,18.4656022
VREDEHOEK,-33.9405556,18.4230556
VREDENBURG,-32.906738,17.990037
VREDENDAL,-31.679444,18.492222
VRYGROND,-34.0839266,18.4876098
WALLACEDENE,-33.85,18.7333333
WALMER ESTATE,-33.9360896,18.4451639
WALMER RD,-34.0313997,18.4920439
WELGEMOED,-33.8730392,18.6139619
WESBANK,-33.9690855,18.6575119
