ID,ORGN,DSTN
1178,MONTAGUE GARDENS,KOEBERG STATION
1179,MELKBOSSTRAND,KOEBERG STATION
1180,KOBERG STATION,MONTAGUE GARDENS
1181,BOTHASIG,DU NOON
1182,MAITLAND STATION,DU NOON
1183,TABLEVIEW BAYSIDE CENTRE,KOEBERG STATION
1184,TABLEVIEW BAYSIDE CENTRE,KEOBERG STATION
1185,TABLEVIEW BAYSIDE CENTRE,GOODWOOD STATION
1186,MONTAGUE GARDENS,GOODWOOD STATION
1187,KILLARNEY,KHAYELITSHA (VIA MAITLAND & GOODWOOD)
1188,MONTAGUE GARDENS,DU NOON
1189,JOE SLOVO PARK,DU NOON
1190,GOODWOOD,RATANGA JUNCTION
1191,GOODWOOD,RATANGA JUNCTION (VIA SUMMER GREENS & MONTAGUE GARDENS)
1192,MAITLAND,YSTERPLAAT
1193,PARKLANDS,YSTERPLAAT
1194,MONTAGUE GARDENS,YSTERPLAAT
1195,METRO INDUSTRY (PAARDEN EILAND),YSTERPLAAT
1196,KILLARNEY,YSTERPLAAT
1197,CAPE TOWN,DU NOON
1198,SUMMER GREENS,DU NOON
1199,PARKLANDS,DU NOON
1200,KILLARNEY,GUGULETU
1201,DU NOON,BELLVILLE
1202,MONTAGUE GARDENS,CAPE TOWN STATION (VIA SANDRIFT)
1203,CAPE TOWN (STATION DECK),MILNERTON
1204,CAPE TOWN STATION,DU NOON
1205,SUMMERGREENS,CAPE TOWN STATION
1206,CAMBRIDGE,CAPE TOWN STATION
1207,TABLEVIEW,YSTERPLAAT
1208,MONTAGUE GARDENS,YSTERPLAAT
1209,SANDRIFT,YSTERPLAAT
1210,MILNERTON,YSTERPLAAT
1211,CAMBRIDGE,YSTERPLAAT
1212,MONTAGUE GARDENS,YSTERPLAAT (VIA SANDRIFT)
1213,CAPE TOWN,YSTERPLAAT
1214,DU NOON,MAITLAND
1215,KILLARNEY,MAITLAND
1216,MELKBOSSTRAND,CAPE TOWN
1217,MILNERTON,CAPE TOWN
1218,SUMMER GREENS,MAITLAND
1219,SUMMER GREENS,MAITLAND
1220,PARKLANDS,MAITLAND
1221,DU NOON,MAITLAND
1222,MILNERTON RIDGE,MAITLAND
1223,PARKLANDS,MAITLAND
1224,YSTERPLAAT,SUMMER GREENS
1225,SUMMER GREENS,YSTERPLAAT
1226,KOEBERG STATION,MILNERTON
1227,MILNERTON,KOEBERG STATION
1228,YSTERPLAAT,TABLEVIEW
1229,TABLEVIEW,YSTERPLAAT
1230,YSTERPLAAT,METRO
1231,METRO,YSTERPLAAT
1232,TABLEVIEW,YSTERPLAAT
1233,KOEBERG STATION,PARKLANDS
1234,PARKLANDS,KOEBERG STATION
1235,KOEBERG STATION,PARKLANDS
1236,PARKLANDS,KOEBERG STATION
1237,KOEBERG STATION,PARKLANDS
1238,PARKLANDS,KOEBERG STATION
1239,KOEBERG STATION,PARKLANDS
1240,PARKLANDS,KOEBERG STATION
1241,KOEBERG STATION,PARKLANDS
1242,PARKLANDS,KOEBERG STATION
1243,KOEBERG STATION,PARKLANDS
1244,ATLANTIS,CAPE TOWN
1245,PELLA,CAPE TOWN
1246,NYANGA,KILLARNEY
1247,MAITLAND,KOEBERG POWER STATION/MELLKBOS
1248,PELLA,CAPE TOWN
1249,PELLA,MONTAGUE GARDENS
1250,KOEBERG STATION,CAPE TOWN (VIA MELKBOS STRAND)
1251,KOEBERG STATION,MELKBOSSTRAND
1252,KOEBERG,ATLANTIS (VIA TABLE VIEW)
1253,MAMRE,KILLARNEY
1254,YSTERPLAAT,KOEBERG POWER STATION
1255,ATLANTIS,KILLARNEY
1256,KILLARNEY,KOEBERG POWER STATION
1257,TABLE VIEW,MELKBOS STRAND
1258,TABLE VIEW,MELKBOSSTRAND
1259,KILLARNEY,MELKBOSSTRAND
1260,KILLARNEY,MELKBOSSTRAND
1261,KOEBERG RAILWAY STATION,MELKBOSSTRAND
1262,DU NOON,TABLE VIEW - MELKBOSSTRAND
1263,DU NOON,TABLE VIEW - MELKBOSSTRAND
1264,SAMORA MACHEL,MELKBOSSTRAND - KILLARNEY
1265,GUGULETU,KILLARNEY (VIA MELKBOSSTRAND)
1266,GUGULETU,KILLARNEY
1267,SURBURBAN BLISS,KILLARNEY
1268,CAPE TOWN (STATION DECK),KOEBERG POWER STATION
1269,CAPE TOWN (STATION DECK),TABLE VIEW - MELKBOSSTRAND
1270,KHAYELITSHA SITE C,MELKBOS
1271,YSTERPLAAT RAILWAY STATION,KOEBERG POWER STATION
1272,PHILIPPI,KILLARNEY (VIA MELKBOSSTRAND)
1273,YSTERPLAAT,CAPE TOWN (VIA MELKBOSSTRAND)
1274,MFULENI,"KILLARNEY (VIA PLATTEKLOOF, BLAAUWBERG, MELKBOSSTRAND, POTSDAM)"
1275,MFULENI,"KILLARNEY (VIA PLATTEKLOOF, BLAAUWBERG, MELKBOSSTRAND, POTSDAM)"
1276,MAITLAND STATION,3RD STEEN BIG BAY (VIA PAARDEN EILAND)
1277,KILLARNEY,NYANGA
1278,KILLARNEY,KHAYELITSHA (VIA MELKBOSSTRAND)
1279,KOEBERG POWER STATION,MAITLAND
1280,CAPE TOWN,PELLA
1281,MONTAGUE GARDENS,PELLA
1282,MELKBOSSTRAND,KOEBERG STATION (VIA TABLEVIEW)
1283,KILLARNEY,MAMRE
1284,KILLARNEY,WESFLEUR ATLANTIS
1285,KOEBERG POWER STATION,KILLARNEY
1286,MELKBOSSTRAND,TABLEVIEW
1287,MELKBOSSTRAND,TABLEVIEW
1288,MELKBOSSTRAND,KILLARNEY (VIA SANDOWN)
1289,MELKBOSSTRAND,KILLARNEY
1290,MELKBOSSTRAND,DU NOON ( VIA TABLEVIEW)
1291,KILLARNEY,SAMORA MACHEL (VIA MELKBOSSTRAND)
1292,KILLARNEY,GUGULETU (VIA MELKBOSSTRAND)
1293,CAPE TOWN (STATION DECK),MELKBOSSTRAND
1294,MELKBOSSTRAND,CAPE TOWN STATION (VIA TABLEVIEW)
1295,KHAYELITSHA SITE C,BLAAUWBERG
1296,BLAAUWBERG,KHAYELITSHA SITE C
1297,KOEBERG POWER STATION,YSTERPLAAT
1298,KILLARNEY,PHILIPPI
1299,YSTERPLAAT,TABLE VIEW
1300,PAARDEN EILAND,BLAAUWBERG
1301,BLAAUWBERG,PAARDEN EILAND
1302,YSTERPLAAT,TABLE VIEW
1303,MAITLAND,BLOUBERG STRAND
1304,BLOUBERGSTRAND,KOEBERG RAILWAY STATION
1305,KOEBERG STATION,BLOUBERGSTRAND
1306,YSTERPLAAT RAILWAY STATION,TABLEVIEW
1307,YSTERPLAAT,TABLEVIEW
1308,ATLANTIS,MONTAGUE GARDENS
1309,ATLANTIS,CAPE TOWN
1310,ATLANTIS,CAPE TOWN (VIA PAARDEN EILAND)
1311,MAMRE,CAPE TOWN
1312,ATLANTIS,MONTAGUE GARDENS
1313,ATLANTIS,CAPE TOWN (STATION DECK)
1314,ATLANTIS,CAPE TOWN (VIA PAARDEN EILAND)
1315,ATLANTIS(WESFLEUR),CAPE TOWN
1316,ATLANTIS(WESFLEUR),BELLVILLE
1317,TABLE VIEW,ATLANTIS
1318,MAMRE,MONTAGUE GARDENS
1319,WESFLEUR,KILLARNEY
1320,TABLE VIEW,ATLANTIS
1321,ATLANTIS(WESFLEUR),CENTURY CITY(RATANGA)
1322,CAPE TOWN,ATLANTIS
1323,CAPE TOWN,PELLA
1324,ATLANTIS,KOEBERG STATION (VIA TABLEVIEW)
1325,MONTAGUE GARDENS,WESFLEUR ATLANTIS
1326,FRANKDALE,KOEBERG STATION
1327,CAPE TOWN,WESFLEUR ATLANTIS
1328,CAPE TOWN,WESFLEUR ATLANTIS (VIA PAARDEN EILAND)
1329,CAPE TOWN,MAMRE
1330,MONTAGUE GARDENS,SAXONSEA ATLANTIS (VIA TABLEVIEW)
1331,CAPE TOWN,SAXONSEA ATLANTIS
1332,CAPE TOWN,SAXONSEA ATLANTIS (VIA PAARDEN EILAND)
1333,CAPE TOWN,WESFLEUR ATLANTIS
1334,ATLANTIS,TABLEVIEW
1335,MONTAGUE GARDENS,MAMRE
1336,CAPE TOWN,VREDENBURG
1337,CAPE TOWN,LAMBERTSBAAI
1338,VREDENBURG,CAPE TOWN
1339,LAMBERTSBAAI,CAPE TOWN
1340,KILLARNEY,WESFLEUR ATLANTIS
1341,ATLANTIS,TABLEVIEW
1342,LAMBERTSBAAI,CAPE TOWN
1343,CAPE TOWN,LAMBERTSBAAI
1344,LAMBERTSBAAI,CAPE TOWN
1345,CAPE TOWN,LAMBERTSBAAI
1346,SALDANHA,CAPE TOWN
1347,CAPE TOWN,SALDANHA
1348,CENTURY CITY,WESFLEUR ATLANTIS
1349,FRANKDALE,CAPE TOWN STATION
1350,KOEBERG POWER STATION,CAPE TOWN STATION
1351,FRANKDALE,YSTERPLAAT
1352,KOEBERG STATION,DU NOON
1353,DU NOON,KOEBERG STATION
1354,KOEBERG STATION,"TABLEVIEW (VIA N1, N7 & PLATTEKLOOF)"
1355,TABLEVIEW,"KOEBERG STATION (VIA PLATTEKLOOF, N7 & N1)"
1356,KOEBERG STATION,GOODWOOD
1357,GOODWOOD,KOEBERG STATION
1358,KOEBERG STATION,GOODWOOD
1359,GOODWOOD,KOEBERG STATION
1360,KOEBERG STATION,MILNERTON
1361,MILNERTON,KOEBERG STATION
1362,KOEBERG STATION,MILNERTON
1363,MILNERTON,KOEBERG STATION
1364,STEENBERG,WESTLAKE - BLUE ROUTE
1365,KHAYELITSHA,KILLARNEY
1366, , 
1367, , 
1368, , 
1369, , 
1370, , 
1371, , 
1372, , 
1373, , 
1374, , 
1375, , 
1376, , 
1377, , 
1378, , 
1379, , 
1380, , 
1381, , 
1382, , 
1383, , 
1384,SURBURBAN BLISS,TYGERBERG STATION
1385,WESBANK,TYGERBERG
1386,WESBANK,TYGERBERG STATION
1387,WESBANK,ELSIES RIVER
1388,WESBANK,CAPE TOWN STATION
1389,SHOPRITE KUILSRIVER,ZEVENWACHT MALL
1390,PHILIPPI,MITCHELL'S PLAIN
1391,PHILIPPI,MITCHELL'S PLAIN
1392,NYANGA,MITCHELL'S PLAIN
1393,NYANGA,MITCHELL'S PLAIN
1394,GUGULETHU,MUTUAL
1395,GUGULETHU,BELLVILLE
1396,GUGULETHU,BELLVILLE
1397,NYANGA,PHILIPPI
1398,SAMORA MACHEL,NYANGA JUNCTION
1399,BELLVILLE,LOWER CROSS ROADS
1400,NYANGA,MITCHELL'S PLAIN
1401,NYANGA,MITCHELL'S PLAIN
1402,NYANGA,MITCHELL'S PLAIN
1403,NYANGA,MITCHELL'S PLAIN
1404,NYANGA,MITCHELL'S PLAIN
1405,NYANGA,MITCHELL'S PLAIN
1406,NYANGA,NYANGA JUNCTION
1407,NYANGA,MITCHELL'S PLAIN
1408,NYANGA,MITCHELL'S PLAIN
1409,MELTON ROSE,ZEVENWACHT MALL
1410,NYANGA,MITCHELL'S PLAIN
1411,NYANGA,MITCHELL'S PLAIN
1412,NYANGA,MITCHELL'S PLAIN
1413,WALLACEDENE,BRACKENFELL
1414,KOEBERG STATION,MONTAGUE GARDENS
1415,MITCHELL'S PLAIN,MITCHELL'S PLAIN
1416,WESTLAKE,WYNBERG (CONSTANTIA)
1417,NYANGA,CENTURY CITY (VIA BOSMANSDAM ROAD)
1418,NYANGA,CENTURY CITY (VIA N1 - SABLE ROAD)
1419,NYANGA,KILLARNEY
1420,PHILIPPI STATION,KILLARNEY
1421,MELTON ROSE,BELLVILLE
1422,VRYGROND,FISH HOEK
1423,VRYGROND,KHAYELITSHA
1424,VRYGROND,MUIZENBERG
1425,TYGERBERG STATION,SURBURBAN BLISS
1426,PHILIPPI,LANGA
1427,LANGA,PHILIPPI
1428,ELSIES RIVER,WESBANK
1429,CAPE TOWN,WESBANK
1430,ZEVENWACHT MALL,SHOPRITE KUILSRIVER
1431,MITCHELL'S PLAIN,PHILIPPI
1432,MITCHELL'S PLAIN,NYANGA (VIA SAMORA MACHEL)
1433,MUTUAL,GUGULETHU
1434,PHILIPPI,NYANGA
1435,NYANGA JUNCTION,SAMORA MACHEL
1436,MITCHELL'S PLAIN,NYANGA
1437,MITCHELL'S PLAIN,NYANGA
1438,ZEVENWACHT MALL,MELTON ROSE
1439,BRACKENFELL,WALLACEDENE
1440,WYNBERG (CONSTANTIA),WESTLAKE
1441,CENTURY CITY (VIA BOSMANSDAM ROAD),NYANGA
1442,CENTURY CITY (VIA N1 - SABLE ROAD),NYANGA
1443,KILLARNEY,NYANGA
1444,KILLARNEY,PHILIPPI STATION
1445,BELLVILLE,MELTON ROSE
1446,FISH HOEK,VRYGROND
1447,MUIZENBERG,VRYGROND
1448,MFULENI,ATHLONE
1449,MFULENI,MOWBRAY
1450,MFULENI,CLAREMONT(VIA WYNBERG)
1451,MFULENI,WYNBERG
1452,MFULENI RANK,EXTENSION 3
1453,MFULENI,LANGA/EPPING
1454,MFULENI,KHAYELITSHA
1455,MFULENI,CAPE TOWN (STATION DECK)
1456,MFULENI,MITCHELLS PLAIN
1457,MFULENI,CAPE TOWN
1458,MFULENI,"CLAREMONT (LANSDOWNE RD, JAN SMUTS DR & TURFHALL RD)"
1459,MFULENI,MELKBOSSTRAND - KILLARNEY
1460,MFULENI,KILLARNEY (VIA MELKBOSSTRAND)
1461,MFULENI,WYNBERG
1462,KILLARNEY,MFULENI (VIA MELKBOSSTRAND & MONTAGUE GARDENS)
1463,KILLARNEY,MFULENI (VIA MELKBOSSTRAND & PLATTEKLOOF)
1464, , 
1465,MFULENI,FISH HOEK
1466,MFULENI,FISH HOEK
