ID,ORGN,DSTN
298,LOTUS RIVER,WYNBERG
299,LOTUS RIVER,WYNBERG
300,NORTHPINE,WALLACEDENE
301,NORTHPINE,BELLVILLE
302,NORTHPINE,DURBANVILLE
303,NORTHPINE,BLOEKOMBOS
304,BONTEHEUWEL,CAPE TOWN
305,DE NOVA,WALLACEDENE
306,CAPE TOWN,ORANJEZICHT
307,LOTUS RIVER,HANOVER PARK
308,KRAAIFONTEIN,KHAYELITSHA
309,ATLANTIS(WESFLEUR),WITSAND
310,ATLANTIS(WESFLEUR),BELLVILLE
311,MAMRE,BELLVILLE
312,ATLANTIS(WESFLEUR),BELLVILLE
313,CAPE TOWN,ORANJEZICHT
314,EERSTERIVIER,DEVON PARK
315,EERSTERIVIER,DEVON PARK
316,MAITLAND,MITCHELLS PLAIN
317,MAITLAND,FACTRETON
318,MAITLAND,MONTAGUE GARDENS
319,MAITLAND,KILLARNEY
320,STEENBERG,RETREAT
321,STEENBERG,GRASSY PARK
322,WYNBERG,HOUT BAY
323,OTTERY,WYNBERG
324,OTTERY,LOTUS RIVER
325,LOTUS RIVER,PLUMSTEAD
326,LOTUS RIVER,RETREAT
327,ELSIES RIVER,PAROW
328,BLACKHEATH,EERSTERIVIER
329,NETREG,ELSIES RIVER
330,NETREG,ELSIES RIVER
331,LOTUS RIVER,PLUMSTEAD
332,LOTUS RIVER,TOKAI
333,LOTUS RIVER,MUIZENBERG
334,LOTUS RIVER,MITCHELLS PLAIN
335,EERSTE RIVER,EERSTE RIVER
336,KENSINGTON,BOTHASIG
337,KENSINGTON,BELLVILLE
338,PELLA,"FABRIEKS AREA,ATLANTIS"
339,PELLA,"FABRIEKS AREA,ATLANTIS"
340,ATHLONE,BRIDGETOWN
341,ATHLONE,BRIDGETOWN
342,ATHLONE,CAPE TOWN
343,ATHLONE,CAPE TOWN
344,ATHLONE,HANOVER PARK
345,ATHLONE,HEIDEVELD
346,ATHLONE,BONTEHEUWEL
347,ATHLONE,MANENBERG
348,STEENBERG,LAVENDER HILL
349,STEENBERG,SEA WINDS
350,STEENBERG,MONTAGUE GARDENS
351,EERSTE RIVER,BLUE DOWNS
352,ELECTRIC CITY,EERSTE RIVER
353,EERSTE RIVER,STRATFORD
354,MOWBRAY,LANGA
355,KENSINGTON,MONTAGUE GARDENS
356,EERSTE RIVER,BELLVILLE
357,"LONDON VILLAGE,MITCHELLS PLAIN",TOWN CENTRE(MITCHELLS PLAIN)
358,GUGULETU,WYNBERG
359,KUILSRIVER,BELLVILLE
360,"EINDHOVEN,DELFT",MITCHELLS PLAIN
361,NYANGA,TYGERBERG STATION
362,NYANGA,PAROW
363,NYANGA,ELSIES RIVER
364,BISHOP LAVIS,ELSIES RIVER
365,BELLVILLE,BLOEKOMBOS
366,BELLVILLE,BLOEKOMBOS
367,LWANDLE,SOMERSET WEST RAILWAY STATION
368,MFULENI,KHAYELITSHA
369,MFULENI,BELLVILLE
370,KHAYELITSHA,MFULENI
371,SILVERSANDS,KUILSRIVER
372,TOWN CENTRE(MITCHELLS PLAIN),NORTHWOOD
373,KHAYELITSHA,NYANGA
374,MAITLAND,CAPE TOWN
375,MAITLAND,KILLARNEY GARDENS
