ROUTECODE,ROUTENAME,STOP_TYPE,STOP_DES,CLASSIFICA,X,Y
AMC7,TYGERBERG HOSP to BISHOP LAVIS,LAST,On Bishop Lavis Drive after Mars,Stop,18.5933517869005,-33.9459625556589
AOA6,BOTHASIG to CITY,FIRST,On Vryburger Avenue 2nd after Oranje,Stop,18.5348184969264,-33.8644820223544
AOA6,BOTHASIG to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOA8,EDGEMEAD to CITY,FIRST,On Edgemead Drive after Bosmansdam,Stop,18.5360847967508,-33.8741242484727
AOA8,EDGEMEAD to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOB2,SALT RIVER MARKET to BOTHASIG,FIRST,On Voortrekker Road 1st after Bromwell,Stop,18.4608354356461,-33.9277746112421
AOB2,SALT RIVER MARKET to BOTHASIG,LAST,On Vryburger Avenue 1st after Link,Stop,18.533376173355,-33.8693719290666
AOB3,CITY GOLDEN ACRE D LANE to EDGEMEAD,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOB3,CITY GOLDEN ACRE D LANE to EDGEMEAD,LAST,On Louis Thibault Drive 1st after Letchworth,Stop,18.5479801715895,-33.8708778355914
AOB4,EDGEMEAD to CITY,FIRST,Bothasig,Station,18.5479263233939,-33.8708415761037
AOB4,EDGEMEAD to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOB6,CENTURY CITY to CITY,FIRST,Century City,Station,18.5064457582624,-33.8915169340585
AOB6,CENTURY CITY to CITY,LAST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOB7,CITY GOLDEN ACRE D LANE to EDGEMEAD,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOB7,CITY GOLDEN ACRE D LANE to EDGEMEAD,LAST,On Louis Thibault Drive 2nd after Reston,Stop,18.5478508122335,-33.870814252892
AOB9,CITY GOLDEN ACRE D LANE to CENTURY CITY,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOB9,CITY GOLDEN ACRE D LANE to CENTURY CITY,LAST,Century City,Station,18.5064457582624,-33.8915169340585
AOC1,CITY GOLDEN ACRE D LANE to EDGEMEAD,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOC1,CITY GOLDEN ACRE D LANE to EDGEMEAD,LAST,On Louis Thibault Drive 1st after Letchworth,Stop,18.5479801715895,-33.8708778355914
AOC3,CITY GOLDEN ACRE D LANE to BOTHASIG,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOC3,CITY GOLDEN ACRE D LANE to BOTHASIG,LAST,On Louis Thibault Drive 2nd after Reston,Stop,18.5478508122335,-33.870814252892
AOD8,CITY GOLDEN ACRE D LANE to BOTHASIG,FIRST,Golden Acre,Station,18.4248896815304,-33.9240870180641
AOD8,CITY GOLDEN ACRE D LANE to BOTHASIG,LAST,On Vryburger Avenue after Almond,Stop,18.5396713167356,-33.862381622851
AOE0,CITY GOLDEN ACRE D LANE to EDGEMEAD,FIRST,On Station Road after Signal,Stop,18.5255532875284,-33.8768518745377
AOE0,CITY GOLDEN ACRE D LANE to EDGEMEAD,LAST,On Louis Thibault Drive 1st after Letchworth,Stop,18.5479801715895,-33.8708778355914
APA1,BELLVILLE A LANE to PHILIPPI EAST SAP,FIRST,Bellville,Station,18.6298174453258,-33.9058781585298
APA1,BELLVILLE A LANE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APA2,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APA2,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,LAST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
APA3,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,FIRST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
APA3,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,LAST,On Sheffield Road 4th after Stock,Stop,18.6162305058127,-34.0061678586806
APA4,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,FIRST,On Ntloyiya Road after Ngqwangi,Stop,18.6129674201471,-34.0119904835886
APA4,PHILIPPI EAST SAP to BLAAUWBERG RIDGE,LAST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
APA5,BLAAUWBERG RIDGE to PHILIPPI EAST SAP,FIRST,On Otto du Plessis Drive 1st after Beach Estate,Stop,18.4580646493365,-33.7895478750064
