trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER,LYNEDOCH,VLOTTENBURG,STELLENBOSCH,DU TOIT,KOELENHOF,MULDERSVLEI
3403,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S2,07:52,07:55,07:59,08:01,08:04,08:07,08:09,08:12,08:14,08:16,08:19,08:22,08:24,08:29,08:35,08:40,08:44,08:49,08:56,09:00,09:06,09:09,09:15,09:21
3406,SATURDAYS,inbound,S2,08:57,08:52,08:49,08:46,08:44,08:41,08:39,08:36,08:34,08:32,08:30,08:27,08:25,08:21,08:05,08:00,07:56,07:52,07:46,07:42,07:37,07:33,07:28,07:23
3411,MONDAYS TO FRIDAYS,outbound,S2,08:13,08:16,08:20,08:22,08:25,08:28,08:30,08:33,08:35,08:37,08:40,08:43,08:45,08:50,08:56,09:01,09:05,09:09,09:15,09:19,09:25,09:28,09:34,09:40
3402,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S2,09:32,09:27,09:24,09:21,09:19,09:16,09:14,09:11,09:09,09:07,09:05,09:02,09:00,08:56,08:48,08:43,08:39,08:35,08:29,08:25,08:20,08:16,08:11,08:06
3412,MONDAYS TO FRIDAYS,inbound,S2,09:36,09:31,09:28,09:25,09:23,09:20,09:18,09:15,09:13,09:11,09:09,09:06,09:04,09:00,08:52,08:47,08:43,08:39,08:33,08:29,08:24,08:20,08:15,08:10
3408,SATURDAYS,inbound,S2,09:36,09:31,09:28,09:25,09:23,09:20,09:18,09:15,09:13,09:11,09:09,09:06,09:04,09:00,08:52,08:47,08:43,08:39,08:33,08:29,08:24,08:20,08:15,08:10
3413,SATURDAYS,outbound,S2,08:44,08:47,08:51,08:53,08:56,08:59,09:01,09:04,09:06,09:08,09:11,09:14,09:16,09:21,09:27,09:32,09:36,09:40,09:46,09:50,09:56,10:07,10:13,10:19
3405,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S2,09:20,09:23,09:27,09:29,09:32,09:35,09:37,09:40,09:42,09:44,09:47,09:50,09:52,09:57,10:03,10:08,10:12,10:16,10:22,10:26,10:32,10:35,10:41,10:47
3414,MONDAYS TO FRIDAYS,inbound,S2,10:28,10:23,10:20,10:17,10:15,10:12,10:10,10:07,10:05,10:03,10:01,09:58,09:56,09:52,09:44,09:39,09:35,09:31,09:25,09:14,09:09,09:05,09:00,08:55
3413,MONDAYS TO FRIDAYS,outbound,S2,09:30,09:33,09:37,09:39,09:42,09:45,09:47,09:50,09:52,09:54,09:57,10:00,10:02,10:07,10:13,10:18,10:22,10:26,10:32,10:36,10:42,10:45,10:51,10:57
3415,SATURDAYS,outbound,S2,09:41,09:44,09:48,09:50,09:53,09:56,09:58,10:01,10:03,10:05,10:08,10:11,10:13,10:18,10:24,10:29,10:33,10:37,10:43,10:47,10:53,11:07,11:13,11:19
3404,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S2,10:56,10:51,10:48,10:45,10:43,10:40,10:38,10:35,10:33,10:31,10:29,10:26,10:24,10:20,10:12,10:07,10:03,09:59,09:53,09:49,09:44,09:40,09:35,09:30
3412,SATURDAYS,inbound,S2,11:14,11:09,11:06,11:03,11:01,10:58,10:56,10:53,10:51,10:49,10:47,10:44,10:42,10:38,10:30,10:25,10:21,10:17,10:11,10:07,10:02,09:58,09:53,09:48
3416,MONDAYS TO FRIDAYS,inbound,S2,11:21,11:16,11:13,11:10,11:08,11:05,11:03,11:00,10:58,10:56,10:54,10:51,10:49,10:45,10:37,10:32,10:28,10:24,10:18,10:14,10:09,10:05,10:00,09:55
3417,SATURDAYS,outbound,S2,10:45,10:48,10:52,10:54,10:57,11:00,11:02,11:05,11:07,11:09,11:12,11:15,11:17,11:22,11:28,11:33,11:37,11:41,11:47,11:51,11:57,12:00,12:06,12:12
3414,SATURDAYS,inbound,S2,12:11,12:06,12:03,12:00,11:58,11:55,11:53,11:50,11:48,11:46,11:44,11:41,11:39,11:35,11:27,11:22,11:18,11:14,11:08,11:04,10:59,10:55,10:50,10:45
3406,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S2,12:23,12:18,12:15,12:12,12:10,12:07,12:05,12:02,12:00,11:58,11:56,11:53,11:51,11:47,11:39,11:34,11:30,11:26,11:20,11:16,11:11,11:07,11:02,10:57
3415,MONDAYS TO FRIDAYS,outbound,S2,11:24,11:27,11:31,11:33,11:36,11:39,11:41,11:44,11:46,11:48,11:51,11:54,11:56,12:01,12:07,12:12,12:16,12:20,12:26,12:30,12:36,12:39,12:45,12:51
3419,SATURDAYS,outbound,S2,11:41,11:44,11:48,11:50,11:53,11:56,11:58,12:01,12:03,12:05,12:08,12:11,12:13,12:18,12:24,12:29,12:33,12:37,12:43,12:47,12:53,12:56,13:02,13:08
3407,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S2,11:47,11:50,11:54,11:56,11:59,12:02,12:04,12:07,12:09,12:11,12:14,12:17,12:19,12:24,12:30,12:35,12:39,12:43,12:49,12:53,12:59,13:02,13:08,13:14
3418,MONDAYS TO FRIDAYS,inbound,S2,13:06,13:01,12:58,12:55,12:53,12:50,12:48,12:45,12:43,12:41,12:39,12:36,12:34,12:30,12:12,12:07,12:03,11:59,11:53,11:49,11:44,11:40,11:35,11:30
3416,SATURDAYS,inbound,S2,13:31,13:26,13:23,13:20,13:18,13:15,13:13,13:10,13:08,13:06,13:04,13:01,12:59,12:55,12:47,12:42,12:38,12:34,12:28,12:24,12:19,11:45,11:40,11:35
3417,MONDAYS TO FRIDAYS,outbound,S2,12:54,12:57,13:01,13:03,13:06,13:09,13:11,13:14,13:16,13:18,13:21,13:24,13:26,13:31,13:37,13:42,13:46,13:50,13:56,14:00,14:06,14:09,14:15,14:21
3418,SATURDAYS,inbound,S2,14:27,14:22,14:19,14:16,14:14,14:11,14:09,14:06,14:04,14:02,14:00,13:57,13:55,13:51,13:43,13:38,13:34,13:30,13:25,13:21,13:16,12:40,12:35,12:30
3420,MONDAYS TO FRIDAYS,inbound,S2,14:36,14:31,14:28,14:25,14:23,14:20,14:18,14:15,14:13,14:11,14:09,14:06,14:04,14:00,13:52,13:47,13:43,13:39,13:33,13:29,13:24,13:20,13:15,13:10
3421,SATURDAYS,outbound,S2,13:33,13:36,13:40,13:42,13:45,13:48,13:50,13:53,13:55,13:57,14:00,14:03,14:05,14:10,14:16,14:21,14:25,14:29,14:35,14:39,14:45,14:48,14:54,15:00
3419,MONDAYS TO FRIDAYS,outbound,S2,14:01,14:04,14:08,14:10,14:13,14:16,14:18,14:21,14:23,14:25,14:28,14:31,14:33,14:38,14:44,14:49,14:53,14:57,15:03,15:16,15:22,15:25,15:31,15:37
3420,SATURDAYS,inbound,S2,15:16,15:11,15:08,15:05,15:03,15:00,14:58,14:55,14:53,14:51,14:49,14:46,14:44,14:40,14:32,14:27,14:23,14:19,14:11,14:07,14:02,13:58,13:53,13:48
3422,MONDAYS TO FRIDAYS,inbound,S2,16:11,16:06,16:03,16:00,15:58,15:55,15:53,15:50,15:48,15:46,15:44,15:41,15:39,15:35,15:27,15:22,15:18,15:14,15:08,15:04,14:59,14:55,14:50,14:45
3421,MONDAYS TO FRIDAYS,outbound,S2,15:23,15:26,15:30,15:32,15:35,15:38,15:40,15:43,15:45,15:47,15:50,15:53,15:55,16:00,16:06,16:11,16:15,16:19,16:25,16:29,16:35,16:38,16:44,16:50
3423,SATURDAYS,outbound,S2,15:23,15:26,15:30,15:32,15:35,15:38,15:40,15:43,15:45,15:47,15:50,15:53,15:55,16:00,16:06,16:11,16:15,16:19,16:25,16:29,16:35,16:38,16:44,16:50
3411,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S2,15:35,15:38,15:42,15:44,15:47,15:50,15:52,15:55,15:57,15:59,16:02,16:05,16:07,16:12,16:18,16:23,16:27,16:31,16:37,16:41,16:47,16:50,16:56,17:02
3410,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S2,16:46,16:41,16:38,16:35,16:33,16:30,16:28,16:25,16:23,16:21,16:19,16:16,16:14,16:10,16:02,15:57,15:53,15:49,15:43,15:39,15:34,15:30,15:25,15:20
3422,SATURDAYS,inbound,S2,17:01,16:56,16:53,16:50,16:48,16:45,16:43,16:40,16:38,16:36,16:34,16:31,16:29,16:25,16:17,16:12,16:08,16:04,15:58,15:54,15:49,15:45,15:40,15:35
3425,SATURDAYS,outbound,S2,15:58,16:01,16:05,16:07,16:10,16:13,16:15,16:18,16:20,16:22,16:25,16:28,16:30,16:35,16:41,16:46,16:50,16:54,17:00,17:04,17:10,17:13,17:19,17:25
3424,MONDAYS TO FRIDAYS,inbound,S2,17:13,17:08,17:05,17:02,17:00,16:57,16:55,16:52,16:50,16:48,16:46,16:43,16:41,16:37,16:29,16:24,16:20,16:16,16:10,16:06,16:01,15:57,15:52,15:47
3423,MONDAYS TO FRIDAYS,outbound,S2,16:10,16:13,16:17,16:19,16:22,16:25,16:27,16:30,16:32,16:34,16:37,16:40,16:42,16:47,16:53,16:58,17:02,17:06,17:12,17:16,17:22,17:25,17:31,17:37
3413,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S2,17:04,17:07,17:11,17:13,17:16,17:19,17:21,17:24,17:26,17:28,17:31,17:34,17:36,17:41,17:47,17:52,17:56,18:00,18:06,18:10,18:16,18:19,18:25,18:31
3431,MONDAYS TO FRIDAYS,outbound,S2,17:30,17:33,17:37,17:39,17:42,17:45,17:47,17:50,17:52,17:54,17:57,18:00,18:02,18:07,18:13,18:18,18:22,18:30,18:36,18:40,18:46,19:05,19:11,19:17
3426,MONDAYS TO FRIDAYS,inbound,S2,18:36,18:31,18:28,18:25,18:23,18:20,18:18,18:15,18:13,18:11,18:09,18:06,18:04,18:00,17:52,17:47,17:43,17:39,17:33,17:29,17:14,17:10,17:05,17:00
3427,SATURDAYS,outbound,S2,17:35,17:38,17:42,17:44,17:47,17:50,17:52,17:55,17:57,17:59,18:02,18:05,18:07,18:12,18:18,18:23,18:27,18:31,18:37,18:41,18:47,18:50,18:56,19:02
3428,MONDAYS TO FRIDAYS,inbound,S2,19:14,19:09,19:06,19:03,19:01,18:58,18:56,18:53,18:51,18:49,18:47,18:44,18:42,18:38,18:30,18:25,18:21,18:17,18:10,18:06,18:01,17:57,17:52,17:47
3424,SATURDAYS,inbound,S2,19:26,19:21,19:18,19:15,19:13,19:10,19:08,19:05,19:03,19:01,18:59,18:56,18:54,18:50,18:42,18:37,18:33,18:29,18:23,18:19,18:14,18:10,18:05,18:00
3401,MONDAYS TO FRIDAYS,outbound,S2,,,,,,,,,,,,,,04:07,04:13,04:18,04:22,04:30,04:36,04:40,04:46,04:49,04:55,05:01
3401,SATURDAYS,outbound,S2,,,,,,,,,,,,,,04:30,04:36,04:41,04:45,04:49,04:55,04:59,05:05,05:08,05:14,05:20
3403,SATURDAYS,outbound,S2,,,,,,,,,,,,,,05:18,05:24,05:29,05:33,05:37,05:43,05:47,05:53,06:03,06:09,06:15
3401,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S2,,,,,,,,,,,,,,06:55,07:01,07:06,07:10,07:14,07:20,07:24,07:30,07:33,07:39,07:45
3408,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S2,,,,,,,,,,,,,,14:12,14:05,14:00,13:56,13:52,13:46,13:42,13:37,13:33,13:28,13:23
3409,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S2,,,,,,,,,,,,,,14:23,14:29,14:34,14:38,14:42,14:48,14:52,14:58,15:01,15:07,15:13
3412,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S2,,,,,,,,,,,,,,18:01,17:54,17:49,17:45,17:41,17:35,17:31,17:26,17:22,17:17,17:12
3425,MONDAYS TO FRIDAYS,outbound,S2,,,,,,,,,,,,,,17:35,17:41,17:46,17:50,17:54,18:00,18:04,18:17,18:20,18:26,18:32
3426,SATURDAYS,inbound,S2,,,,,,,,,,,,,,20:04,19:57,19:52,19:48,19:44,19:37,19:33,19:28,19:24,19:19,19:14
3427,MONDAYS TO FRIDAYS,outbound,S2,,,,,,,,,,,,,,,,,,19:30,19:36,19:40,19:46,19:49,19:55,20:01
3430,MONDAYS TO FRIDAYS,inbound,S2,,,,,,,,,,,,,,,,,,19:12,19:07,19:03,18:58,18:54,18:49,18:44
