trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER,FAURE,FIRGROVE,SOMERSET WEST,VAN DER STEL,STRAND
3211,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,14:40,14:43,14:47,14:49,14:52,14:55,14:57,15:00,15:02,15:04,15:07,15:10,15:12,15:17,15:23,15:28,15:32,15:36,15:41,15:47,15:53,15:56,16:01
3223,MONDAYS TO FRIDAYS,outbound,S3,15:09,15:12,15:16,15:18,15:21,15:24,15:26,15:29,15:31,15:33,15:36,15:39,15:41,15:46,15:52,15:57,16:01,16:05,16:10,16:16,16:22,16:25,16:30
3224,MONDAYS TO FRIDAYS,inbound,S3,16:45,16:40,16:37,16:34,16:32,16:29,16:27,16:24,16:22,16:20,16:18,16:15,16:13,16:09,16:01,15:56,15:52,15:47,15:42,15:28,15:23,15:19,15:14
3225,SATURDAYS,outbound,S3,15:44,15:47,15:51,15:53,15:56,15:59,16:01,16:04,16:06,16:08,16:11,16:14,16:16,16:21,16:27,16:32,16:36,16:40,16:45,16:51,16:57,17:00,17:05
3291,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,15:45,15:48,15:52,15:54,15:57,16:00,16:02,16:05,16:07,16:09,16:12,16:15,16:17,16:22,16:28,16:33,16:37,16:41,16:46,16:52,16:58,17:01,17:06
3213,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,16:10,16:13,16:17,16:19,16:22,16:25,16:27,16:30,16:32,16:34,16:37,16:40,16:42,16:47,16:53,16:58,17:02,17:06,17:11,17:17,17:23,17:26,17:31
3225,MONDAYS TO FRIDAYS,outbound,S3,16:20,16:23,16:27,16:29,16:32,16:35,16:37,16:40,16:42,16:44,16:47,16:50,16:52,16:57,17:03,17:08,17:12,17:16,17:21,17:27,17:33,17:36,17:41
3226,MONDAYS TO FRIDAYS,inbound,S3,17:27,17:22,17:19,17:16,17:14,17:11,17:09,17:06,17:04,17:02,17:00,16:57,16:55,16:51,16:43,16:38,16:34,16:29,16:24,16:11,16:06,16:02,15:57
3226,SATURDAYS,inbound,S3,17:32,17:27,17:24,17:21,17:19,17:16,17:14,17:11,17:09,17:07,17:05,17:02,17:00,16:56,16:48,16:43,16:39,16:35,16:30,16:24,16:19,16:15,16:10
3214,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,17:32,17:27,17:24,17:21,17:19,17:16,17:14,17:11,17:09,17:07,17:05,17:02,17:00,16:56,16:48,16:43,16:39,16:35,16:30,16:24,16:19,16:15,16:10
2331,MONDAYS TO FRIDAYS,outbound,S3,16:35,16:38,16:42,16:44,16:47,16:50,16:52,16:55,16:57,16:59,17:02,17:05,17:07,17:12,17:18,17:23,17:27,17:31,17:36,17:41,,,
3229,SATURDAYS,outbound,S3,16:49,16:52,16:56,16:58,17:01,17:04,17:06,17:09,17:11,17:13,17:16,17:19,17:21,17:26,17:32,17:37,17:41,17:45,17:50,17:56,18:02,18:05,18:10
3227,MONDAYS TO FRIDAYS,outbound,S3,17:15,17:18,17:22,17:24,17:27,17:30,17:32,17:35,17:37,17:39,17:42,17:45,17:47,17:52,17:58,18:03,18:07,18:11,18:16,18:28,18:34,18:37,18:42
3215,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,17:20,17:23,17:27,17:29,17:32,17:35,17:37,17:40,17:42,17:44,17:47,17:50,17:52,17:57,18:03,18:08,18:12,18:16,18:21,18:27,18:33,18:36,18:41
3229,MONDAYS TO FRIDAYS,outbound,S3,17:45,17:48,17:52,17:54,17:57,18:00,18:02,18:05,18:07,18:09,18:12,18:15,18:17,18:22,18:28,18:33,18:37,18:44,18:49,18:55,19:01,19:04,19:09
3216,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,19:02,18:57,18:54,18:51,18:49,18:46,18:44,18:41,18:39,18:37,18:35,18:32,18:30,18:26,18:18,18:13,18:09,18:05,18:00,17:54,17:49,17:45,17:40
3217,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S3,18:20,18:23,18:27,18:29,18:32,18:35,18:37,18:40,18:42,18:44,18:47,18:50,18:52,18:57,19:03,19:08,19:12,19:16,19:21,19:27,19:33,19:36,19:41
3233,MONDAYS TO FRIDAYS,outbound,S3,18:43,18:46,18:50,18:52,18:55,18:58,19:00,19:03,19:05,19:07,19:10,19:13,19:15,19:20,19:26,19:31,19:35,19:41,19:46,19:52,19:58,20:01,20:06
3292,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S3,20:11,20:05,20:02,19:59,19:57,19:54,19:52,19:49,19:47,19:45,19:43,19:40,19:38,19:34,19:26,19:21,19:17,19:13,19:08,19:02,18:57,18:53,18:48
