trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,NETREG,HEIDEVELD,NYANGA,PHILIPPI,STOCK ROAD,MANDALAY,NOLUNGILE,NONKQUBELA,KHAYELITSHA,KUYASA,CHRIS HANI
9913,MONDAYS TO FRIDAYS,outbound,S11,05:35,05:39,05:43,05:48,05:53,05:57,06:00,06:03,06:07,06:12,06:15,06:18,06:21,06:24,06:28,06:32,06:36
9406,MONDAYS TO FRIDAYS,inbound,S11,07:05,07:00,06:56,06:50,06:46,06:43,06:39,06:35,06:31,06:26,06:23,06:21,06:16,06:13,06:10,,
9916,SUNDAYS AND PUBLIC HOLIDAYS,inbound,S11,07:04,06:59,06:55,06:49,06:45,06:42,06:38,06:35,06:32,06:27,06:24,06:22,06:17,06:14,06:08,06:04,06:00
9922,MONDAYS TO FRIDAYS,inbound,S11,07:08,07:03,06:59,06:53,06:49,06:46,06:42,06:38,06:34,06:29,06:26,06:24,06:19,06:16,06:13,06:09,06:05
9918,SATURDAYS,inbound,S11,07:14,07:09,07:05,06:59,06:55,06:52,06:48,06:45,06:42,06:37,06:34,06:32,06:27,06:24,06:18,06:14,06:10
9924,MONDAYS TO FRIDAYS,inbound,S11,07:18,07:13,07:09,07:03,06:59,06:56,06:52,06:48,06:44,06:39,06:36,06:34,06:29,06:26,06:23,06:19,06:15
9915,MONDAYS TO FRIDAYS,outbound,S11,06:02,06:06,06:10,06:15,06:20,06:24,06:27,06:30,06:34,06:39,06:42,06:45,06:48,06:51,06:55,06:59,07:03
9915,MONDAYS TO FRIDAYS,outbound,S11,06:05,06:09,06:13,06:18,06:23,06:27,06:30,06:33,06:37,06:42,06:45,06:48,06:51,06:54,06:58,07:02,07:06
9913,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S11,06:05,06:09,06:13,06:18,06:23,06:27,06:30,06:33,06:37,06:42,06:45,06:48,06:51,06:54,06:58,07:02,07:06
9406,MONDAYS TO FRIDAYS,inbound,S11,07:38,07:33,07:29,07:23,07:19,07:16,07:12,07:08,07:04,06:59,06:57,06:55,06:50,06:47,06:44,,
9920,SATURDAYS,inbound,S11,07:39,07:34,07:30,07:24,07:20,07:17,07:13,07:10,07:07,07:02,06:59,06:57,06:52,06:49,06:43,06:39,06:35
