route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
MIC2,93,MERRYDALE AVE,TOWN CENTRE,
MID5;MID8,93,ROCKLANDS,TOWN CENTRE,
OOB4,93,STRANDFONTEIN VILL,TOWN CENTRE,
MXF5;MXP5,93,EPPING IND,STRANDFONTEIN VILL,
TAA8,93,BEACON VALLEY,MULTIMECH,
TAB2,93,MULTIMECH,STRANDFONTEIN VILL,
YED8,93,BEACON VALLEY,OUDE MOLEN SCH,
MXB6,93,BEACON VALLEY,MUTUAL,
MXA1;MXI9;MXO2;MXI8,93,NDABENI STN,TOWN CENTRE,
MXC9;MXJ8,93,NDABENI STN,TAFELSIG LOST CITY,
MXD1;MCA5,93,EPPING IND,TOWN CENTRE,
MXK9;MXK8,93,EPPING IND,TAFELSIG LOST CITY,
OLA1;OLA0;MGC2,93,HANOVER PARK,TOWN CENTRE,
MXB2;MXE0,93,NDABENI STN,STRANDFONTEIN VILL,
MXL0,93,MUTUAL,TAFELSIG LOST CITY,
MXE5,93,NDABENI STN,WESPOORT TERM,
KBO5;KBT1;KBG5;KBP3;KBG4;KBO7;KBD9,94,AIRPORT IND 1,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,94,BEACON VALLEY,TOWN CENTRE,
MIC8;MID0;MID2,94,TOWN CENTRE,WESTRIDGE,
MID5;MID8,94,ROCKLANDS,TOWN CENTRE,
KBP2,94,AIRPORT IND 2,TOWN CENTRE,
MID5;MID8,96,ROCKLANDS,TOWN CENTRE,
MNV4;MNR5;MNL5;MNL4;MNR4,96,THE HAGUE,TOWN CENTRE,
APD7;APD6,97,NYANGA TERM,PHILIPPI EAST SAP,
EMA4;EMA2,97,EPPING IND,NYANGA TERM,
KIA0;KIB5;KIA3,97,EPPING IND,MAKHAZA,
KIA4,97,PINELANDS,VILLAGE 3,
KIA7;KIA6;KIA1,97,EPPING IND,VILLAGE 3,
KIB3;KIB6,97,EPPING IND,HARARE,
KKI1;KKJ5;KKH4;KKI0,97,HARARE,METRO,
EMA1,97,MUTUAL,NYANGA TERM,
KIA2,97,NDABENI STN,VILLAGE 3,
AAE0,98,CAPE TOWN,SOMERSET HOSP,
MNB6;MNA3;MNE2;MNF9;MNI2;MNL3;MNM6;MNT8;MNP7;MNQ1,98,CAPE TOWN,MFULENI,
MNZ4;MNP4;MNF2,98,CAPE TOWN,MALIBU,
DXA0;DXA1,98,CAPE TOWN,MOWBRAY,
MNA7,98,ELECTRIC CITY,V&A WATERFRONT,
MNA8,98,ELECTRIC CITY,MELTON ROSE STN,
MNB4,98,CAPE TOWN,HILLCREST,
MNB5;MNE5;MNK5;MNA9;MNR8,98,ELECTRIC CITY,SOMERSET HOSP,
MNC2;MNJ1,98,BLACKHEATH,CAPE TOWN,
MND6;MNF0;MNJ5;MNL2;MNX9;MNY8;MNN9;MNC6;MNE4;MNH3;MNJ7,98,CAPE TOWN,ELECTRIC CITY,
MNH2;MNO9,98,CAPE TOWN,WESBANK,
MNI1,98,CAPE TOWN,KLEINVLEI,
MNL0;MNL8;MNL1;MNF1,98,ELECTRIC CITY,GROOTE SCHUUR HOSP,
MNR6,98,CAPE TOWN,WEMBLEY PARK,
MNW0;MNC3,98,CAPE TOWN,KUILS RIVER TERM,
MNZ3;MNA0,98,ELECTRIC CITY,MOWBRAY,
MNG8,98,CAPE TOWN,MELTON ROSE STN,
DZA6;DZA3,98,CAPE TOWN,WESBANK,
AFA8,99,BELLVILLE,SACKS CIRCLE,
BAB1,99,BELLVILLE,TYGER VALLEY CENTRE,
BGB4;BGA1;BGA3;BGA8,99,BELLVILLE,EINDHOVEN,
BGA5,99,EINDHOVEN,TYGER VALLEY CENTRE,
BGA0,99,BELLVILLE,SYMPHONY WAY,
CHC3,102,HANOVER PARK,KOEBERG RD,
ESA6;ESA5,102,HANOVER PARK,METRO,
AKA6;AKA8,103,BONTEHEUWEL,KOEBERG STN,
AKA9,103,HEIDEVELD,KOEBERG STN,
YED3,103,BONTEHEUWEL,OUDE MOLEN SCH,
YED7,103,KOEBERG STN,OUDE MOLEN SCH,
AKA0,103,BONTEHEUWEL,NDABENI STN,
APD7;APD6,104,NYANGA TERM,PHILIPPI EAST SAP,
API3,104,CENTURY CITY,PHILIPPI EAST SAP,
DAL9;DAB1;DAG2;DAG3;DAI3,104,BLAAUWBERG RIDGE,KILLARNEY,
DTA7;DTB6;DTH4;DTM2;DTB7;DTA5;DTB3;DTA6,104,KILLARNEY,NYANGA TERM,
MXF0;MXF1,104,KILLARNEY,KILLARNEY,
QTB3,104,KOEBERG STN,MELKBOS,
DTJ1;DTG7;DTL1;DTM0;DTB0;DTL0;DTL4;DTG6;DTJ2,104,BLAAUWBERG RIDGE,NYANGA TERM,
APA5;APC7;APA3;APE8,104,BLAAUWBERG RIDGE,PHILIPPI EAST SAP,
DTL9;DTL8,104,KOEBERG STN,PHILIPPI EAST SAP,
DTL3;DTK7;DTL2,104,MELKBOS,PHILIPPI EAST SAP,
APD0;APE7,104,KILLARNEY,PHILIPPI EAST SAP,
MXH3,104,KILLARNEY,PHILIPPI EAST SAP,
DTK4,104,MELKBOS,NYANGA TERM,
BAA0,105,BELLVILLE,DURBANVILLE,
DAL9;DAB1;DAG2;DAG3;DAI3,105,BLAAUWBERG RIDGE,KILLARNEY,
DZA5;DZA4,105,DURBANVILLE,KILLARNEY,
MXF0;MXF1,105,KILLARNEY,KILLARNEY GARDENS,
YER8;YEF8,105,BELLVILLE,DURBANVILLE,
PAF2;PAB4;PAY3,105,ATLANTIS,MONTAGUE GARDENS,
PAK7;PAR7;PAA5,105,ATLANTIS,KILLARNEY,
PAG8;PAB7,105,ATLANTIS,BELLVILLE,
DZA7,105,BELLVILLE,BLAAUWBERG RIDGE,
DZC5;DZA9,105,BELLVILLE,KILLARNEY,
BPA0;BPA6,106,EPPING IND,HANOVER PARK,
MXF0;MXF1,107,KILLARNEY,KILLARNEY,
DYH6;DYH7,107,EPPING IND,MAMRE (PARADISE RD),
PAE9,107,EPPING IND,SAXONSEA,
PAF2;PAB4;PAY3,107,ATLANTIS,MONTAGUE GARDENS,
DYA6,107,MAMRE (PARADISE RD),MONTAGUE GARDENS,
PAK7;PAR7;PAA5,107,ATLANTIS,KILLARNEY,
QSD4,107,CHATSWORTH,MONTAGUE GARDENS,
DYF4,107,KILLARNEY,MAMRE (PARADISE RD),
DAL9;DAB1;DAG2;DAG3;DAI3,108,BLAAUWBERG RIDGE,KILLARNEY,
MXF0;MXF1,108,KILLARNEY,KILLARNEY,
DTD2;DTB8,108,BLAAUWBERG RIDGE,LANGA N2 GATEWAY,
DTA1,108,BLAAUWBERG RIDGE,LANGA N2 GATEWAY,
RRB9,109,BLACKHEATH IND,SOMERSET WEST,
MNR3;MNR2;MNN2,109,BLACKHEATH IND,EINDHOVEN,
RVA2,109,EINDHOVEN,SOMERSET WEST,
KXA3;KXD2;YEC4;YEK6;YEM2,110,MAKHAZA,TOWN CENTRE,
YEK1,110,TOWN CENTRE,VILLAGE 3,
YEK3;YEK4;YEK8;YEK9;YEK7;YEK5;YEK2,110,SITE C,TOWN CENTRE,
MNE0;MNC9,112,EPPING IND,MFULENI,
BLA9;BLA4;BLA5;BLA6,112,EINDHOVEN,EPPING IND,
BLB3,112,EPPING IND,SYMPHONY WAY,
MND0,112,EPPING IND,MALIBU,
ADB0,113,BISHOP LAVIS,CAPE TOWN,
DXA0;DXA1,113,CAPE TOWN,MOWBRAY,
FWA6;FWA7,113,CAPE TOWN,MONTE VIDEO,
BQA2;BQA4;BQB0;BQB1;BQA9,113,ELSIES RIVER,MOWBRAY,
ADB3;ADB2;ADD2;ADA6;ADA5;ADD3;ADA2;ADA7,113,CAPE TOWN,ELSIES RIVER,
FHB8;FHB9,114,EPPING IND,TYGERBERG HOSP,
FUA4;FUA0;FUA1;FUA2,115,CLAREMONT,RONDEBOSCH,
CQA0;CQA1;CQA5,116,HANOVER PARK,TYGERBERG HOSP,
CQA2;CQA4;CQA6;CQA7;FHA1;FHB0;FHB1;CSC1,116,HANOVER PARK,TYGERBERG STN,
CSA3,116,BONTEHEUWEL,HANOVER PARK,
FHC0,116,BONTEHEUWEL,TYGERBERG HOSP,
FHC4,116,BISHOP LAVIS,TYGERBERG STN,
CSB4;CSB5;CSA0,116,ELSIES RIVER,HANOVER PARK,
FHA8;FHA9;AMC7;FHA3;AMC0,116,BISHOP LAVIS,TYGERBERG HOSP,
FHC2,116,BONTEHEUWEL,TYGERBERG STN,
OPL8,119,CAPE TOWN,COLORADO PARK,
OPQ8;OPD6,119,CAPE TOWN,LEAGUES,
AEB2,120,AIRPORT IND 3,CAPE TOWN,
AJA0,120,BONTEHEUWEL,MOWBRAY,
AJA3;AJA4;AJA5;AJB3;AJB6;AJC2;AJA8,120,BONTEHEUWEL,CAPE TOWN,
DXA0;DXA1,120,CAPE TOWN,MOWBRAY,
KBA1,120,AIRPORT IND 2,LANGA N2 GATEWAY,
AEB3,120,AIRPORT IND 1;AIRPORT IND 2;AIRPORT IND 3,CAPE TOWN,BONTEHEUWEL;LANGA;MOWBRAY
MHH3;MHA7;MHI5;MHH2;MHA0;MHE6,121,BAYVIEW,CLAREMONT,
APC9,122,PHILIPPI EAST SAP,VREDEKLOOF,
APD7;APD6,122,NYANGA TERM,PHILIPPI EAST SAP,
APF4,122,NYANGA TERM,VREDEKLOOF,
APG2;APG3,122,ESCOM (BRACKENFELL),NYANGA TERM,
KBA6;KBF0;KBI0;KBM4;KBM7;KBQ3;KBH2,122,MAKHAZA,VREDEKLOOF,
KBB4,122,MAKHAYA,VREDEKLOOF,
KBD4;KBM3;KBQ5,122,VILLAGE 3,VREDEKLOOF,
KBI1,122,KRAAIFONTEIN IND,MAKHAZA,
KBK4;KBK9,122,HARARE,KRAAIFONTEIN IND,
KBL2,122,MAKHAZA,SPEKENAM,
KBM6,122,ENKANINI,VREDEKLOOF,
KBN2;KBR9;KBT7;KBM9,122,HARARE,VREDEKLOOF,
KBL5,122,CAPE GATE,MAKHAZA,
APH1,122,PHILIPPI EAST SAP,SPEKENAM,
CQA0;CQA1;CQA5,123,HANOVER PARK,TYGERBERG HOSP,
CQA2;CQA4;CQA6;CQA7;FHA1;FHB0;FHB1;CSC1,123,HANOVER PARK,TYGERBERG STN,
MBA3;MBB6;MBG8;MBK6;MBM0,123,TOWN CENTRE,TYGERBERG HOSP,
MBA4;MBA5;MBA6;MBA9;MBG0;MBG4;MBH7;MBK7;MBL4,123,TOWN CENTRE,TYGERBERG STN,
MBC2,123,PAROW IND,TOWN CENTRE,
MBE0,123,TAFELSIG LOST CITY,TYGERBERG STN,
MBH2;MBH3;MBI1,123,JORDAN SHOES,TOWN CENTRE,
MBH9,123,JORDAN SHOES,TAFELSIG LOST CITY,
MIA4;MIB5;MIH4;MIH6,123,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,123,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,123,BEACON VALLEY,TOWN CENTRE,
MIC4;OMA0;OMA1,123,EASTRIDGE,TOWN CENTRE,
MID5;MID8,123,ROCKLANDS,TOWN CENTRE,
OOB4,123,STRANDFONTEIN VILL,TOWN CENTRE,
MBB4,123,STRANDFONTEIN VILL,TYGERBERG STN,
MXB7;MXC1;MXD5;MXB5,123,KOEBERG STN,TOWN CENTRE,
MXB9;MXR8,123,KOEBERG STN,TAFELSIG LOST CITY,
MXB8;OPA6,123,BEACON VALLEY,KOEBERG STN,
MBK1,123,BEACON VALLEY,TYGERBERG HOSP,
OLA1;OLA0;MGC2,123,HANOVER PARK,TOWN CENTRE,
MXB3,123,KOEBERG STN,ROCKLANDS,
MIA4;MIB5;MIH4;MIH6,124,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,124,TAFELSIG LOST CITY,TOWN CENTRE,
MIC2,124,MERRYDALE AVE,TOWN CENTRE,
MVA4,124,LENTEGEUR HOSP,TAFELSIG LOST CITY,
MVC1;MVC1,124,BLUE ROUTE CENTRE,LENTEGEUR HOSP,
FQA0,124,BLUE ROUTE CENTRE,POLLSMOOR PRISON,
FQB5,124,BLUE ROUTE CENTRE,RETREAT,
OOE6;OOF3;OOL2;OOH4;OOH5;OOH0;OOF6;OOM2;OOF2,124,BLUE ROUTE CENTRE,TOWN CENTRE,
MVB2,124,LENTEGEUR HOSP,POLLSMOOR PRISON,
OOJ3;OOB9;OOF0;OOK0;OOB8,124,RETREAT,TOWN CENTRE,
OOB4,124,STRANDFONTEIN VILL,TOWN CENTRE,
MVA9;MVA8,124,LENTEGEUR HOSP,RETREAT,
OOK8;OOM5,124,BLUE ROUTE CENTRE,TAFELSIG LOST CITY,
OOJ8,124,POLLSMOOR PRISON,TOWN CENTRE,
OOB3,124,LOTUS RIVER,STRANDFONTEIN VILL,
MXF5;MXP5,124,EPPING IND,STRANDFONTEIN VILL,
MXD1;MCA5,124,EPPING IND,TOWN CENTRE,
MXK9;MXK8,124,EPPING IND,TAFELSIG LOST CITY,
MIC8;MID0;MID2,125,TOWN CENTRE,WESTRIDGE,
MID5;MID8,125,ROCKLANDS,TOWN CENTRE,
BAA0,126,BELLVILLE,DURBANVILLE,
YER8;YEF8,126,BELLVILLE,DURBANVILLE,
LCA0;LCA1,127,MURDOCH VALLEY,SIMONSTOWN,
RVA1;RVL3,127,BRENTWOOD PARK,MURDOCH VALLEY,
RVI7;RVI6,127,KUILS RIVER TERM,MURDOCH VALLEY,
MIA4;MIB5;MIH4;MIH6,128,TAFELSIG LOST CITY,TOWN CENTRE,
MIA8;MIA9;MIB2;MIB3;MIB6;MIB7;MIB8,128,TAFELSIG LOST CITY,TOWN CENTRE,
MIC0;MIE8;MIE9;MIF2;MIF3,128,BEACON VALLEY,TOWN CENTRE,
OOB4,128,STRANDFONTEIN VILL,TOWN CENTRE,
MXG0;MXK3;MXE3,128,N1 CITY,TOWN CENTRE,
MXG3,128,N1 CITY,STRANDFONTEIN VILL,
MXK1;MXR0,128,N1 CITY,TAFELSIG LOST CITY,
MXG2,128,BEACON VALLEY,N1 CITY,
EXB4;EXC0;EXC1;EXC2,128,ELSIES RIVER,PANORAMA MEDI CLINIC,
MNS1;MNS4,129,AIRPORT IND 1,MFULENI,
MNX2,129,AIRPORT IND 1,ELECTRIC CITY,
MNX3,129,AIRPORT IND 2,ELECTRIC CITY,
MNR3;MNR2;MNN2,129,BLACKHEATH,EINDHOVEN,
MNW6,129,AIRPORT IND 3,EINDHOVEN,
MNW7,129,AIRPORT IND 2,EINDHOVEN,
MNE0;MNC9,130,EPPING IND,MFULENI,
MNB2,130,BLACKHEATH,EPPING IND,
MNU2;MNC8,130,ELECTRIC CITY,EPPING IND,
MND0,130,EPPING IND,MALIBU,
BHB0;BHA9;BHB1;BHA6;BHA7;BHA1;BHB6;BHA0;BHA4;BHB4;BHA8,131,CLAREMONT,THE HAGUE,
MEB4;MEB2;MEC3;MEC4;MEA4;MEB8,131,CLAREMONT,ELECTRIC CITY,
MEB3;MEB5;MEC0,131,CLAREMONT,MFULENI,
BHA3,131,CLAREMONT,WESBANK,
MEB6,131,CLAREMONT,SILVERSANDS,
APB7;APH3;APE2;APB6;APD8,132,PHILIPPI EAST SAP,WYNBERG,
KWD2;KWD8;KWE6;KWE9;KWD9;KWD3,132,HOUT BAY HARBOUR,WYNBERG,
APE5;APB8;APE4,132,HOUT BAY HARBOUR,PHILIPPI EAST SAP,
AFA8,133,BELLVILLE,SACKS CIRCLE,
APA7;APC5;APH9,133,DURBANVILLE,PHILIPPI EAST SAP,
APC9,133,PHILIPPI EAST SAP,VREDEKLOOF,
APD3;APE9;APF8;APD2;APC2;APE0;APC3;APD5;APA1,133,BELLVILLE,PHILIPPI EAST SAP,
APD7;APD6,133,NYANGA TERM,PHILIPPI EAST SAP,
APF2;APF3,133,BOYSTOWN,NYANGA TERM,
APF4,133,NYANGA TERM,VREDEKLOOF,
BAA0,133,BELLVILLE,DURBANVILLE,
BAB1,133,BELLVILLE,TYGER VALLEY CENTRE,
ECA0;ECA1;ECA4;ECA5;ECA6;ECA8;ECB6;ECB3,133,BELLVILLE,NYANGA TERM,
ECA3;ECD7;ECF8,133,DURBANVILLE,NYANGA TERM,
ECC1;ECF7,133,PHILIPPI EAST SAP,TYGER VALLEY CENTRE,
ECC7,133,NYANGA TERM,TYGER VALLEY CENTRE,
YER8;YEF8,133,BELLVILLE,DURBANVILLE,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,134,CAPE TOWN,KILLARNEY,
DAB2;DAB3,134,CAPE TOWN,MONTAGUE GARDENS,
DAK8;DAL0,134,CAPE TOWN,KILLARNEY,
MXF0;MXF1,134,KILLARNEY,KILLARNEY,
PAF2;PAB4;PAY3,134,ATLANTIS,MONTAGUE GARDENS,
PAK7;PAR7;PAA5,134,ATLANTIS,KILLARNEY,
QSG2;QSB0;QSA0;QSD1;QSA6;QSA4;QSA5;QSD2,134,CAPE TOWN,CHATSWORTH,
QSD4,134,CHATSWORTH,MONTAGUE GARDENS,
DAA0;DAA1;DAA8;DAA9;DAI5;DAL2;DAL6;DAC2,135,CAPE TOWN,KILLARNEY,
DAK8;DAL0,135,CAPE TOWN,KILLARNEY,
MXF0;MXF1,135,KILLARNEY,KILLARNEY,
PAE5;PAE6,135,CAPE TOWN,SAXONSEA,
PAK7;PAR7;PAA5,135,ATLANTIS,KILLARNEY,
QSG2;QSB0;QSA0;QSD1;QSA6;QSA4;QSA5;QSD2,135,CAPE TOWN,CHATSWORTH,
DZB8;DZD0;DZB7;DZB5;DZD1;DZB9,135,CAPE TOWN,MALMESBURY,
CSA3,136,BONTEHEUWEL,HANOVER PARK,
CTA0,136,EINDHOVEN,HANOVER PARK,
APB2;EGE7;KMH1;EGE6;KMH0;APC1,137,CAPE TOWN,PHILIPPI EAST SAP,
APD7;APD6,137,NYANGA TERM,PHILIPPI EAST SAP,
APD9;APJ8,137,MOWBRAY,PHILIPPI EAST SAP,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,137,CAPE TOWN,NYANGA TERM,
DXA0;DXA1,137,CAPE TOWN,MOWBRAY,
EGA2;EGA3;EGA6;EGA7;EGA9;EGC2;EGC3;EGC4;EGH7,137,MOWBRAY,NYANGA TERM,
AFA8,139,BELLVILLE,SACKS CIRCLE,
APA7;APC5;APH9,139,DURBANVILLE,PHILIPPI EAST SAP,
APD3;APE9;APF8;APD2;APC2;APE0;APC3;APD5;APA1,139,BELLVILLE,PHILIPPI EAST SAP,
APD7;APD6,139,NYANGA TERM,PHILIPPI EAST SAP,
APG2;APG3,139,ESCOM (BRACKENFELL),NYANGA TERM,
BAA0,139,BELLVILLE,DURBANVILLE,
BAA4;BAA5,139,BELLVILLE,ESCOM (BRACKENFELL),
BAB1,139,BELLVILLE,TYGER VALLEY CENTRE,
ECA0;ECA1;ECA4;ECA5;ECA6;ECA8;ECB6;ECB3,139,BELLVILLE,NYANGA TERM,
ECA3;ECD7;ECF8,139,DURBANVILLE,NYANGA TERM,
ECC1;ECF7,139,PHILIPPI EAST SAP,TYGER VALLEY CENTRE,
ECC7,139,NYANGA TERM,TYGER VALLEY CENTRE,
YER8;YEF8,139,BELLVILLE,DURBANVILLE,
DTJ1;DTG7;DTL1;DTM0;DTB0;DTL0;DTL4;DTG6;DTJ2,139,BLAAUWBERG RIDGE,NYANGA TERM,
DZA7,139,BELLVILLE,BLAAUWBERG RIDGE,
APA5;APC7;APA3;APE8,139,BLAAUWBERG RIDGE,PHILIPPI EAST SAP,
APH1,139,PHILIPPI EAST SAP,SPEKENAM,
ECC2,140,AIRPORT IND 2,NYANGA TERM,
ECC3,140,AIRPORT IND 1,NYANGA TERM,
KBB2;KBJ6;KBH0,140,AIRPORT IND 1,MAKHAZA,
KBG0;KBR3,140,AIRPORT IND 1,HARARE,
AAA6;AAA7,142,CAPE TOWN,SEA POINT,
BTB4,142,MOWBRAY,TOLLGATE STOP,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,142,CAPE TOWN,NYANGA TERM,
DXA0;DXA1,142,CAPE TOWN,MOWBRAY,
EGA2;EGA3;EGA6;EGA7;EGA9;EGC2;EGC3;EGC4;EGH7,142,MOWBRAY,NYANGA TERM,
KMA3;KME7;KMK6;KMH8;KMA2;KME6,142,MAKHAZA,MOWBRAY,
KMA4;KMA5;KME0;KMF6;KMG6;KMH4;KMI3;KMI7;KMJ3;KMJ7;KMR5;KMP6;KMV6;KMC0;KMJ2;KMI8;KMS4,142,CAPE TOWN,HARARE,
KMB4;KMF1,142,CAPE TOWN,ELITHA PARK,
KMB5;KMC3;KMD2;KME3;KMG8;KMH2;KMH3;KMH6;KMH7;KMJ9;KMO2;KMI4;KMJ8;KMJ4,142,CAPE TOWN,MAKHAZA,
KMB8;KMJ1;KML4,142,MAKHAZA,SEA POINT,
KMC5;KMC8;KMC4,142,GROOTE SCHUUR HOSP,VILLAGE 3,
KMC7;KMD1;KMN8;KMS0;KME4;KMD0;KME2,142,CAPE TOWN,VILLAGE 3,
KMC9;KMG3,142,SEA POINT,VILLAGE 3,
KMD7;KMF7;KMK5;KMM4,142,MOWBRAY,VILLAGE 3,
KME9;KMU4;KMU7;KME8,142,HARARE,MOWBRAY,
KMK0,142,MAKHAZA,SALT RIVER,
KMK2,142,HARARE,SALT RIVER,
KMR9;KMF0,142,GROOTE SCHUUR HOSP,MAKHAZA,
KXA8;KXA9,142,DRIFTSANDS,SITE C,
KMG4;KMA6;KMA7,142,CAPE TOWN,SITE C,
KMF4,142,MOWBRAY,SITE C,
KMF2,142,GROOTE SCHUUR HOSP,HARARE,
KMH9,142,HARARE,TOLLGATE STOP,
AAA6;AAA7,143,CAPE TOWN,SEA POINT,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,143,CAPE TOWN,NYANGA TERM,
DXA0;DXA1,143,CAPE TOWN,MOWBRAY,
EGA2;EGA3;EGA6;EGA7;EGA9;EGC2;EGC3;EGC4;EGH7,143,MOWBRAY,NYANGA TERM,
KMA3;KME7;KMK6;KMH8;KMA2;KME6,143,MAKHAZA,MOWBRAY,
KMA4;KMA5;KME0;KMF6;KMG6;KMH4;KMI3;KMI7;KMJ3;KMJ7;KMR5;KMP6;KMV6;KMC0;KMJ2;KMI8;KMS4,143,CAPE TOWN,HARARE,
KMB0;KMI0;KMA8,143,CAPE TOWN,J BLOCK,
KMB3;KMB7;KMB9;KMJ6;KMP9,143,CAPE TOWN,ENKANINI,
KMB5;KMC3;KMD2;KME3;KMG8;KMH2;KMH3;KMH6;KMH7;KMJ9;KMO2;KMI4;KMJ8;KMJ4,143,CAPE TOWN,MAKHAZA,
KMB8;KMJ1;KML4,143,MAKHAZA,SEA POINT,
KMC5;KMC8;KMC4,143,GROOTE SCHUUR HOSP,VILLAGE 3,
KMC7;KMD1;KMN8;KMS0;KME4;KMD0;KME2,143,CAPE TOWN,VILLAGE 3,
KMC9;KMG3,143,SEA POINT,VILLAGE 3,
KMD7;KMF7;KMK5;KMM4,143,MOWBRAY,VILLAGE 3,
KME9;KMU4;KMU7;KME8,143,HARARE,MOWBRAY,
KMG0,143,ATHLONE IND,VILLAGE 3,
KMR9;KMF0,143,GROOTE SCHUUR HOSP,MAKHAZA,
KMT6,143,CAPE TOWN,MAKHAYA,
KXA8;KXA9,143,DRIFTSANDS,SITE C,
KMC1,143,MAKHAYA,MOWBRAY,
KMG4;KMA6;KMA7,143,CAPE TOWN,SITE C,
KMF4,143,MOWBRAY,SITE C,
KMI1,143,CAPE TOWN,LUZUKO,
KMF2,143,GROOTE SCHUUR HOSP,HARARE,
MXF0;MXF1,144,KILLARNEY,KILLARNEY,
PAF2;PAB4;PAY3,144,ATLANTIS,MONTAGUE GARDENS,
PAK7;PAR7;PAA5,144,ATLANTIS,KILLARNEY,
DXA0;DXA1,145,CAPE TOWN,MOWBRAY,
MIC0;MIE8;MIE9;MIF2;MIF3,145,BEACON VALLEY,TOWN CENTRE,
MIC4;OMA0;OMA1,145,EASTRIDGE,TOWN CENTRE,
OPA1;OPB7;OPK4;OPP4;OPG4;OPP8;OPA2;OPA8;OPB0;OPB2;OPM4;OPN4;OPP9;OPW2;OPR8;OPY4;OPD8;OPA0;OPE5;OPT7;OPV3;OPZ6;OPX1;OPY3;OPA3;OPH2;OPH3;OPA5;OPB1;OPB4;OPA4;OPB5,145,CAPE TOWN,TOWN CENTRE,
OPB6;OPI6;OPX4;OPG8;OPW5;OPC8;OPF1;OPG9;OPL0,145,MOWBRAY,TOWN CENTRE,
OPM6,145,CAPE TOWN,EASTRIDGE,
OPY2;OPY0;OPJ4,145,BEACON VALLEY,CAPE TOWN,
KSA6;KSB2;KSC4;KSC5;KSI4,147,MFULENI,STRAND,
KSA7;KSL2,147,LWANDLE,MFULENI,
KSB5;RVB8,147,MFULENI,SOMERSET WEST,
KSD0,147,MFULENI,SOMERSET MALL,
KSF1,147,LWANDLE,MACASSAR,
RPA0;RPA1,147,STRAND,TEMPERANCE TOWN,
RQB4;RQA6;RQB1,147,MACASSAR,STRAND,
RRA0;RRA1;RRA3;RRB0;RRF9;RRI0,147,MACASSAR,SOMERSET WEST,
RRB9,147,BLACKHEATH,SOMERSET WEST,
RSA0;RSA1,147,LWANDLE,SOMERSET WEST,
MNR3;MNR2;MNN2,147,BLACKHEATH IND,EINDHOVEN,
RVA2,147,EINDHOVEN,SOMERSET WEST,
RPB6,147,MACASSAR,TEMPERANCE TOWN,
BIB6,148,EINDHOVEN,WYNBERG,
MNA2;MNH0;MNN3,148,MFULENI,WYNBERG,
MNS2;MNT2,148,ELECTRIC CITY,WYNBERG,
MNR3;MNR2;MNN2,148,BLACKHEATH,EINDHOVEN,
BIA9;BIB3;BIB2;BIA6,148,BELHAR,WYNBERG,
BIA1,148,ELECTRIC CITY,WYNBERG,EINDHOVEN;ROOSENDAL;VOORBRUG
BIB8;BIB1;BIA5;BIB0;BIA2;BIA3;BIA0,148,THE HAGUE,WYNBERG,
MNF4,148,MALIBU,WYNBERG,
MCA0;MCA1,149,MANDALAY,TOWN CENTRE,
LCA0;LCA1,151,MURDOCH VALLEY,SIMONSTOWN,
LCC5;LCC4,154,FISH HOEK,SEA FORTH SCH,
LBB2,155,KOMMETJIE,OCEAN VIEW,
LBE4;LBA8,155,OCEAN VIEW,SEA FORTH,
LSA6;LSA7,155,DA GAMA PARK,SEA FORTH SCH,
LSB5;LSD3;LSB8,155,OCEAN VIEW,SEA FORTH SCH,
LBA2;LBA4;LBE8;LBE9;LBA5;LBC5;LBE6,155,MURDOCH VALLEY,OCEAN VIEW,
LCD2,155,MURDOCH VALLEY,SEA FORTH,
LCD4;LCF4;LCF5,155,DA GAMA PARK,MURDOCH VALLEY,
LCG5,155,MURDOCH VALLEY,SEA FORTH SCH,
LSF9,155,KOMMETJIE,SEA FORTH,
CKB6,157,ELSIES RIVER,MONTAGUE GARDENS,
MXF0;MXF1,157,KILLARNEY,KILLARNEY GARDENS,
CKA3;CKC1,157,KILLARNEY,TYGERBERG HOSP,
CKA2,157,KILLARNEY GARDENS,TYGERBERG HOSP,
CKA0;CKC6,157,ELSIES RIVER,KILLARNEY,
MCA3;MCA2,160,CLAREMONT,MANDALAY,
