route_codes,schedule_no,endpoint_1,endpoint_2,via_locations
CAB0,40,HANOVER PARK,MANENBERG,
CHA0;CHB0;CHA1,40,HANOVER PARK,KILLARNEY,
CHC0;CHA2,40,KILLARNEY,MANENBERG,
CHC5,40,CENTURY CITY,MANENBERG,
DAL9;DAB1;DAG2;DAG3;DAI3,40,BLAAUWBERG RIDGE,KILLARNEY,
MXD4,40,HANOVER PARK,KILLARNEY,
MXF0;MXF1,40,KILLARNEY,KILLARNEY,
CHB9;CHB8,40,BLAAUWBERG RIDGE,MANENBERG,
DTD2;DTB8,40,BLAAUWBERG RIDGE,LANGA,
DTA1,40,BLAAUWBERG RIDGE,LANGA,
CHA6,40,CENTURY CITY,HANOVER PARK,
AKA6;AKA8,41,BONTEHEUWEL,KOEBERG STN,
AKA9,41,HEIDEVELD,KOEBERG STN,
CAB0,41,HANOVER PARK,MANENBERG,
CJA2,41,MAITLAND,MANENBERG SAP,
CJA3,41,MAITLAND,MANENBERG,
CJA5;CJA4,41,KOEBERG STN,MANENBERG,
CSA3,41,BONTEHEUWEL,HANOVER PARK,
APB2;EGE7;KMH1;EGE6;KMH0;APC1,43,CAPE TOWN,PHILIPPI EAST SAP,
APD7;APD6,43,NYANGA TERM,PHILIPPI EAST SAP,
APD9;APJ8,43,MOWBRAY,PHILIPPI EAST SAP,
EGA4;EGC1;EGC6;EGC8;EGA0;EGA5;EGC0;EGC7;EGC9;EGE0;EGE2;EGE4;EGE5;EGE8;EGF0;EGF2;EGH6;EGH8;EGI0;EGI3,43,CAPE TOWN,NYANGA TERM,
DXA0;DXA1,43,CAPE TOWN,MOWBRAY,
EGA2;EGA3;EGA6;EGA7;EGA9;EGC2;EGC3;EGC4;EGH7,43,MOWBRAY,NYANGA TERM,
AFA8,44,BELLVILLE,SACKS CIRCLE,
APD3;APE9;APF8;APD2;APC2;APE0;APC3;APD5;APA1,44,BELLVILLE,PHILIPPI EAST SAP,
APD7;APD6,44,NYANGA TERM,PHILIPPI EAST SAP,
ECA0;ECA1;ECA4;ECA5;ECA6;ECA8;ECB6;ECB3,44,BELLVILLE,NYANGA TERM,
ECB0;ECB2,44,BELLVILLE,GUGULETU,
FPA1;FPA5,44,BELLVILLE,KENRIDGE,
