ID,Name,Latitude,Longitude,Address
90,GORDONS BAY,-34.158505,18.8768292,"Gordons Bay Guest House, 37, Boundary Road, Mountainside Estate, Cape Town Ward 100, City of Cape Town, Western Cape, 7150, South Africa"
92,GRASSY PARK,-34.0451287,18.5032529,"Sandpiper Avenue, Cape Town Ward 65, City of Cape Town, Western Cape, 7941, South Africa"
93,GREEN POINT,-33.9042571,18.4059682,"Vlei Road, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 8005, South Africa"
95,GUGULETHU,-33.9730371,18.5742412,"Gugulethu, Cape Town Ward 40, City of Cape Town, Western Cape, 7579, South Africa"
97,HANOVER PARK,-33.9922222,18.5330556,"Lansia Walk, Cape Town Ward 47, City of Cape Town, Western Cape, 7780, South Africa"
99,HARARE,-34.0576851,18.6734917,"Phanda Crescent, Harare, Cape Town Ward 98, Khayelitsha, City of Cape Town, Western Cape, 7748, South Africa"
101,HEIDEVELD,-33.9641667,18.5488889,"Heideveld Sports Ground, Zuurberg Road, Heideveld, Cape Town, City of Cape Town, Western Cape, 7764, South Africa"
102,HELDERBERG,-34.0494444,18.8344444,"Huis Waveren, 8, Waveren Avenue, Helderberg, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa"
103,HELDERVUE,-34.06,18.8216667,"Compacta Street, Heldervue, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7110, South Africa"
104,HENGELAAR,-34.0371305,18.6206706,"Hengelaar Street, Cape Town Ward 116, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
105,HIGH LEVEL RD,-33.920394,18.3895126,"222E, High Level Road, Fresnaye, Cape Town Ward 54, Cape Town, City of Cape Town, Western Cape, 8005, South Africa"
109,HOUT BAY,-34.043093,18.355645,"Princess Street, Sea Glade, Cape Town Ward 74, Hout Bay, City of Cape Town, Western Cape, 7872, South Africa"
112,IMIZAMO YETHU,-34.0288149,18.3619151,"Mini Avenue, Imizamo Yethu, Cape Town Ward 74, Hout Bay, City of Cape Town, Western Cape, 7872, South Africa"
114,JOE SLOVO PARK,-33.8734917,18.5104468,"Freedom Way, Joe Slovo Park, Milnerton, City of Cape Town, Western Cape, 7447, South Africa"
118,KAPTEINSKLIP,-34.0667672,18.6209115,"Kapteinsklip, Yellowwood Road, Cape Town Ward 82, Mitchells Plain, City of Cape Town, Western Cape, 7456, South Africa"
120,KENILWORTH CENTRE,-33.9888593,18.4854014,"Nedbank, Doncaster Road, Wyndover, Claremont, Cape Town, City of Cape Town, Western Cape, 7708, South Africa"
121,KENSINGTON,-33.9144444,18.5069444,"Little Street, Kensington, Cape Town Ward 56, Cape Town, City of Cape Town, Western Cape, 7446, South Africa"
123,KESTREL RD,-34.0366111,18.4452089,"Kestrel Road, Cape Town Ward 73, City of Cape Town, Western Cape, 7945, South Africa"
125,KHAYELITSHA,-34.0405905,18.6674201,"Spine Road, Khaya, Cape Town Ward 92, Khayelitsha, City of Cape Town, Western Cape, 7784, South Africa"
126,KILLARNEY,-33.824432,18.5307243,"Killarney, Potsdam Road, Cape Town Ward 113, City of Cape Town, Western Cape, 7441, South Africa"
127,KLEINVLEI,-33.9858333,18.7144444,"Keerom Street, Kleinvlei, Cape Town Ward 14, Eersterivier, City of Cape Town, Western Cape, 7129, South Africa"
128,KLIP RD,-34.0443209,18.4894684,"Klip Road, Cape Town Ward 66, City of Cape Town, Western Cape, 7941, South Africa"
129,KLIPHEUWEL,-33.717949,18.707962,"Mulberry Road, Klipheuwel, Cape Town Ward 105, City of Cape Town, Western Cape, 7303, South Africa"
130,KLOOF RD,-33.9419896,18.3942145,"Kloof Road, Cape Town Ward 77, Cape Town, City of Cape Town, Western Cape, 8040, South Africa"
135,KOMMETJIE,-34.1398647,18.3269939,"Kommetjie Road, Kommetjie, Cape Town Ward 61, City of Cape Town, Western Cape, 7976, South Africa"
136,KRAAIFONTEIN,-33.8477778,18.7161111,"Holland Street, Peerless Park, Cape Town Ward 111, Kraaifontein, City of Cape Town, Western Cape, 7569, South Africa"
137,KRAMAT,-34.0350651,18.7521251,"Old Main Road, Croydon, Cape Town Ward 109, City of Cape Town, Western Cape, 7131, South Africa"
138,KROMBOOM,-33.9860415,18.4902901,"Doncaster Road, Access Park, Claremont, Cape Town, City of Cape Town, Western Cape, 7708, South Africa"
142,LANGA,-33.9455556,18.53,"Langa Secondary School, 72, King Langalibalele Drive, Langa, Cape Town Ward 51, Cape Town, City of Cape Town, Western Cape, 7455, South Africa"
143,LANSDOWNE,-33.9963409,18.5068931,"Almar Road, Cape Town Ward 60, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
144,LAVENDER HILL,-34.0736111,18.4833333,"Erasmus Close, Cape Town Ward 68, City of Cape Town, Western Cape, 7945, South Africa"
146,LENTEGEUR STATION,-34.0342958,18.6113098,"Lentegeur, Firethorn Road, Lentegeur, Cape Town Ward 76, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
147,LIME RD,-34.0292312,18.4916293,"Lime Road, Cape Town Ward 66, City of Cape Town, Western Cape, 7941, South Africa"
151,LOTUS RIVER,-34.0430556,18.5213889,"Zeekoevlei Secondary School, 7th Avenue, Cape Town Ward 67, City of Cape Town, Western Cape, 7941, South Africa"
153,LOURENSFORD,-34.0651735,18.8976673,"Lourensford MTB Hub Entrance, Nuwedorp, Cape Town Ward 84, City of Cape Town, Western Cape, 7135, South Africa"
154,LOWER CROSSROADS,-34.0113591,18.6094355,"Lower Crossroads Road, Klipfontein, Cape Town Ward 35, City of Cape Town, Western Cape, 7789, South Africa"
155,LOXTON ROAD,-33.8831355,18.4956956,"Loxton Road, Woodbridge Island, Milnerton, City of Cape Town, Western Cape, 2251, South Africa"
156,LWANDLE,-34.1222222,18.8688889,"Broadlands Road, Helderberg Industrial Park, Cape Town Ward 100, City of Cape Town, Western Cape, 7143, South Africa"
158,MAIN RD,-34.0715196,18.4577562,"Main Road, Square Hill, Cape Town Ward 71, City of Cape Town, Western Cape, 7945, South Africa"
159,MAITLAND,-33.9225,18.4930556,"Long Street, Cape Town Ward 56, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
160,MAKHAZA,-34.0497915,18.7101875,"Makhaza, Cekeca Road, Umrhabulo Triangle (Makhaza), Cape Town Ward 96, City of Cape Town, Western Cape, 7784, South Africa"
161,MALIBU,-33.9952778,18.6922222,"Tahoe Close, Malibu Village, Cape Town Ward 17, Blue Downs, City of Cape Town, Western Cape, 7103, South Africa"
163,MAMRE,-33.512985,18.47542,"Central Butcheries Mamre, 20, Lord Somerset Street, Mamre, Cape Town Ward 29, City of Cape Town, Western Cape, 7347, South Africa"
164,MANDALAY,-34.0148578,18.6261607,"Auber Avenue, Mandalay, Cape Town Ward 116, City of Cape Town, Western Cape, 7785, South Africa"
165,MANENBERG,-33.9897222,18.5544444,"Renoster Walk, Manenberg, Cape Town Ward 45, City of Cape Town, Western Cape, 7766, South Africa"
166,MASIPHUMELELE,-34.129372,18.375791,"Myeza Road, Faerie Knowe, Cape Town Ward 69, Masiphumelele, City of Cape Town, Western Cape, 7979, South Africa"
167,MATROOSFONTEIN,-33.9405556,18.5777778,"Fountain Road, Epping Forest, Cape Town Ward 28, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
169,MELKBOSSTRAND,-33.722222,18.445833,"Commaille Road, Cape Town Ward 23, Melkbosstrand, City of Cape Town, Western Cape, South Africa"
170,MELTON ROSE,-33.9895557,18.720553,"Melton Rose, Melton Road, Palm Park, Cape Town Ward 17, Eersterivier, City of Cape Town, Western Cape, 7129, South Africa"
172,METRO,-33.8957279,18.4826617,"Milner Street, Metro, Cape Town Ward 55, Milnerton, City of Cape Town, Western Cape, 7425, South Africa"
173,MFULENI,-33.9922786,18.6769907,"Fundiswa Close, Mfuleni, Cape Town Ward 108, Blue Downs, City of Cape Town, Western Cape, 7100, South Africa"
174,MILNERTON,-33.8794444,18.4963889,"Quest Road, Woodbridge Island, Milnerton, City of Cape Town, Western Cape, 2251, South Africa"
176,MODDERDAM ROAD,-33.9595408,18.558634,"Robert Sobukwe Road, Cape Town Ward 31, City of Cape Town, Western Cape, 7764, South Africa"
179,MONTE VISTA,-33.8797222,18.555,"MOUNTAIN VIEW ACADEMY - MONTE VISTA, Barrow Street, Milnerton, City of Cape Town, Western Cape, 7459, South Africa"
181,MORNINGSTAR,-33.7221501,18.5140865,"Mamre Road, Cape Town Ward 104, City of Cape Town, Western Cape, South Africa"
182,MOWBRAY,-33.9483333,18.4741667,"Peacock Glass, 32, Saint Peter's Road, Mowbray, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
183,MUIZENBERG,-34.0978389,18.4845708,"Barbados Way, Marina Da Gama, Cape Town Ward 64, City of Cape Town, Western Cape, 7945, South Africa"
185,MUSICA MACASSAR,-34.0624119,18.7664592,"Musica Avenue, New Scheme, Cape Town Ward 109, City of Cape Town, Western Cape, 7134, South Africa"
186,MUTUAL,-33.9222631,18.5130827,"Mutual, Mutual Way, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
187,N1 CITY,-33.8921342,18.5597664,"Pick n Pay Clothing, Louwtjie Rothman Street, Goodwood, Parow, City of Cape Town, Western Cape, 7459, South Africa"
188,NETREG,-33.9527518,18.5638983,"Netreg, Ranunculus Street, Kalksteenfontein, Cape Town Ward 30, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
189,NEW LENTEGEUR,-34.0266738,18.6089347,"Highlands Drive, Lentegeur, Cape Town Ward 76, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
190,NEWFIELDS,-33.9851694,18.5332419,"Dirk Adams Road, Cape Town Ward 46, Cape Town, City of Cape Town, Western Cape, 7766, South Africa"
191,NOMZAMO,-34.1149201,18.8611267,"Nomzamo, Cape Town Ward 85, Strand, City of Cape Town, Western Cape, 7143, South Africa"
192,NOORDHOEK,-34.102778,18.38,"Rosalyn Road, San Michele, Cape Town Ward 69, Noordhoek, City of Cape Town, Western Cape, 7985, South Africa"
193,NORTHPINE,-33.8694444,18.7147222,"Hazel Crescent, Northpine, Cape Town Ward 7, Kraaifontein, City of Cape Town, Western Cape, 7561, South Africa"
194,NORTHWOOD,-33.8289914,18.6798447,"Carnac Circle, Northwood, Cape Town Ward 112, City of Cape Town, Western Cape, 7569, South Africa"
196,NYANGA,-33.9869444,18.5847222,"Ntlangano Crescent, Nyanga, Cape Town Ward 39, City of Cape Town, Western Cape, 7579, South Africa"
197,OCEAN VIEW,-34.1458812,18.352985,"Rigel Road, Ocean View, Cape Town Ward 61, City of Cape Town, Western Cape, 7976, South Africa"
198,ORANJEZICHT,-33.9438889,18.415,"Grosvenor Avenue, Cape Town Ward 77, Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
199,OTTERY,-34.0131526,18.5091531,"Applemist Road, Cape Town Ward 63, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
200,PAARDEN EILAND,-33.9140465,18.4711933,"Carlisle Street, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 7295, South Africa"
202,PARKLANDS,-33.8127817,18.4996855,"Humewood Drive, Cape Town Ward 107, City of Cape Town, Western Cape, 7441, South Africa"
203,PARKWOOD,-34.0333338,18.4955569,"Hoosain Parker Street, Cape Town Ward 66, City of Cape Town, Western Cape, 7941, South Africa"
204,PAROW RAILWAY STATION,-33.909588,18.5862413,"Parow, Cloete Road, Cape Town Ward 26, Parow, City of Cape Town, Western Cape, 7501, South Africa"
208,PENTECH,-33.9347528,18.6460296,"Pentech, Armstrong Road, Cape Town Ward 12, City of Cape Town, Western Cape, 7532, South Africa"
209,PHILIPPI,-34.0053057,18.5703832,"Philippi, Cape Town Ward 80, City of Cape Town, Western Cape, 7579, South Africa"
211,PINELANDS,-33.9316667,18.5127778,"9, Inverness Avenue, Pinelands, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
213,PLANTATION RD,-34.0095196,18.4980274,"Plantation Road, Wetton, Cape Town, City of Cape Town, Western Cape, 7780, South Africa"
214,PLATTEKLOOF,-33.8775,18.5855556,"Amandelboom Street, Cape Town Ward 1, Parow, City of Cape Town, Western Cape, 7500, South Africa"
215,PLUMSTEAD,-34.02,18.4772222,"Stella Road, Plumstead, Cape Town Ward 63, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
216,POLLSMOOR,-34.0695103,18.4380838,"Pollsmoor Prison, Steenberg Road, Dennedal, Tokai, City of Cape Town, Western Cape, 7945, South Africa"
217,PROTEA HEIGHTS,-33.889452,18.699808,"Protea Heights Academy, Alomzicht Close, Cape Town Ward 8, City of Cape Town, Western Cape, 7560, South Africa"
218,RACECOURSE,-33.8614931,18.5002975,"Racecourse, Otto du Plessis Drive, Royal Ascot, Milnerton, City of Cape Town, Western Cape, 7447, South Africa"
220,RAVENSMEAD,-33.9211111,18.6063889,"Dalton Road, Cape Town Ward 10, Elsiesriver, City of Cape Town, Western Cape, 7505, South Africa"
222,RED CROSS HOSPITAL,-33.9542467,18.4879348,"Red Cross War Memorial Children's Hospital, Klipfontein Road, Park Estate, Cape Town Ward 58, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
223,RETREAT STATION,-34.0598813,18.4629081,"Retreat, Retreat East Rank, Square Hill, Cape Town Ward 72, City of Cape Town, Western Cape, 7945, South Africa"
224,REYGERSDAL,-33.5666046,18.4940201,"Reygersdal, Reygersdal Avenue, Wesfleur, Cape Town Ward 29, Atlantis, City of Cape Town, Western Cape, 7349, South Africa"
225,RICHWOOD,-33.8330556,18.5436111,"Fernwood Close, Cape Town Ward 1, City of Cape Town, Western Cape, 7238, South Africa"
226,RIVERTON STREET,-34.0924738,18.8335672,"Riverton Street, Victoria Park, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7139, South Africa"
227,ROCKLANDS,-34.064,18.609,"Park Avenue, Rocklands, Cape Town Ward 81, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
228,ROOSENDAL,-33.9597222,18.6513889,"Roostou Crescent, Roosendal, Cape Town Ward 13, City of Cape Town, Western Cape, 7581, South Africa"
229,RUSTHOF,-34.1312794,18.847639,"3rd Street, Rusthof, Cape Town Ward 86, Strand, City of Cape Town, Western Cape, 7140, South Africa"
230,RUYTERWACHT,-33.9197661,18.5522515,"Malmesbury Street, Cape Town Ward 30, City of Cape Town, Western Cape, 7535, South Africa"
232,SALT RIVER,-33.9317008,18.4610056,"67, Burns Road, Salt River, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
233,SAMORA MACHEL,-34.0207209,18.5791075,"Samora Machel, Cape Town Ward 33, City of Cape Town, Western Cape, 7750, South Africa"
237,SANDVLEI,-34.0588889,18.7330556,"Sandvlei Road, Sandvlei, Cape Town Ward 109, City of Cape Town, Western Cape, 7131, South Africa"
239,SAREPTA,-33.9327778,18.6666667,"Daffodil Street, Sarepta, Cape Town Ward 11, Kuilsrivier, City of Cape Town, Western Cape, 7580, South Africa"
242,SCOTTSDENE,-33.8627778,18.725,"Buiten Crescent, Scottsdene, Cape Town Ward 7, Kraaifontein, City of Cape Town, Western Cape, 7561, South Africa"
245,SEA POINT,-33.9172222,18.3922222,"Glen Lodge, 214, High Level Road, Cape Town Ward 54, Cape Town, City of Cape Town, Western Cape, 8005, South Africa"
247,SETTLERS WAY,-33.9462989,18.4664552,"Settlers Way, Mowbray, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
248,SILVERSANDS,-33.9797222,18.6780556,"Anise Street, Silversands, Cape Town Ward 108, Blue Downs, City of Cape Town, Western Cape, 7100, South Africa"
249,SILVERTOWN,-33.9630556,18.5294444,"Colwyn Road, Cape Town Ward 49, Cape Town, City of Cape Town, Western Cape, 7764, South Africa"
250,SIMONS TOWN,-34.1868747,18.4254258,"Simons Town Station Kiosk, Station Road, Dido Valley, Cape Town Ward 61, Simon's Town, City of Cape Town, Western Cape, 7995, South Africa"
252,SOMERSET HOSPITAL,-33.9051098,18.4163086,"New Somerset Hospital, Portswood Road, Waterfront, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
253,SOMERSET WEST,-34.0822195,18.8489342,"Main Road, Somerset West Central, Cape Town Ward 84, Somerset West, City of Cape Town, Western Cape, 7136, South Africa"
254,SOUTHFIELD,-34.0347222,18.4833333,"Van Sande Street, Cape Town Ward 72, City of Cape Town, Western Cape, 7800, South Africa"
255,SPINE RD MITCHELLS PLAIN,-34.0562028,18.629756,"Spine Road, Tafelsig, Cape Town Ward 82, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
256,STEENBERG,-34.0747222,18.4708333,"Wagner Way, Cape Town Ward 68, City of Cape Town, Western Cape, 7945, South Africa"
257,STELLENBOSCH,-33.934444,18.869167,"Stellenbosch University, Cluver Road, Universiteits-Oord, Stellenbosch Ward 7, Stellenbosch, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7599, South Africa"
263,SUMMER GREENS,-33.8786111,18.5277778,"Shepherds Green, Summer Greens, Cape Town Ward 4, Milnerton, City of Cape Town, Western Cape, 7441, South Africa"
267,TABLE VIEW,-33.8236111,18.4902778,"Raats Drive, Flamingo Vlei, Cape Town Ward 107, City of Cape Town, Western Cape, 7439, South Africa"
269,TAFELSIG,-34.0615897,18.6380188,"A.Z. Berman Drive, Tafelsig, Cape Town Ward 82, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
271,TEMPERANCE TOWN,-34.1530488,18.8830496,"Temperance Town Primêre Skool, Saturn Crescent, Temperance Town, Cape Town Ward 100, City of Cape Town, Western Cape, 7150, South Africa"
272,THE HAGUE,-33.9583333,18.6416667,"Jetstar Crescent, The Hague, Cape Town Ward 13, City of Cape Town, Western Cape, 7581, South Africa"
273,TOKAI,-34.0608333,18.4416667,"14, Lismore Avenue, Dennedal, Cape Town Ward 71, City of Cape Town, Western Cape, 7945, South Africa"
274,TOWN CENTRE,-34.0478847,18.6205696,"Town Centre, 3rd Avenue, Eastridge, Cape Town Ward 79, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa"
275,TUSCANY GLEN,-33.9997222,18.7,"Valerie Close, Tuscany Glen, Cape Town Ward 17, Blue Downs, City of Cape Town, Western Cape, 7103, South Africa"
276,TYGERBERG,-33.8538143,18.5886298,"Kruitvat Avenue, Kanonberg Lifestyle Estate, Cape Town Ward 70, Bellville, City of Cape Town, Western Cape, 7500, South Africa"
280,UNIBELL,-33.9369892,18.6284645,"Unibell, University Avenue, Cape Town Ward 9, Bellville, City of Cape Town, Western Cape, 7493, South Africa"
282,V & A WATERFRONT,-33.9034878,18.4206275,"Victoria Wharf Shopping Centre, Haul Road, Foreshore, Cape Town Ward 115, Cape Town, City of Cape Town, Western Cape, 8001, South Africa"
285,VANGATE MALL,-33.9616163,18.5381331,"Vangate Mall, Jakes Gerwel Drive, Bridgetown, City of Cape Town, Western Cape, 7764, South Africa"
286,VASCO,-33.9047222,18.5613889,"Paarl Street, Vasco, Goodwood, Parow, City of Cape Town, Western Cape, 7940, South Africa"
