schedule_number,direction,destination_1,destination_2,destination_3,destination_4
82,02,CLAREMONT,MERRYDALE,TOWN CENTRE,
83,01,TOWN CENTRE,HANOVER PARK,KENILWORTH CENTRE,
83,02,KENILWORTH CENTRE,HANOVER PARK,TOWN CENTRE,
84,01,TOWN CENTRE,ATHLONE IND,BELGRAVIA IND,
85,01,TOWN CENTRE,BELLVILLE,DURBANVILLE,
85,02,DURBANVILLE,BELLVILLE,TOWN CENTRE,
86,01,TOWN CENTRE,MUIZENBERG,SIMONSTOWN,
86,02,SIMONSTOWN,MUIZENBERG,TOWN CENTRE,
87,01,TOWN CENTRE,DIEP RIVER,PLUMSTEAD,
87,02,PLUMSTEAD,DIEP RIVER,TOWN CENTRE,
89,01,TOWN CENTRE,STRANDFONTEIN,WYNBERG,
89,02,WYNBERG,STRANDFONTEIN,TOWN CENTRE,
90,01,TOWN CENTRE,LENTEGEUR HOSP,,
91,01,TOWN CENTRE,KILLARNEY,,
91,02,KILLARNEY,TOWN CENTRE,,
92,01,TOWN CENTRE,MAITLAND,KOEBERG STN,
92,02,KOEBERG STN,MAITLAND,TOWN CENTRE,
93,01,TOWN CENTRE,EPPING,MUTUAL,NDABENI
93,02,NDABENI,MUTUAL,EPPING,TOWN CENTRE
94,01,TOWN CENTRE,AIRPORT IND,,
94,02,AIRPORT IND,TOWN CENTRE,,
96,01,TOWN CENTRE,DELFT,,
96,02,DELFT,TOWN CENTRE,,
97,01,KHAYELITSHA,NYANGA,EPPING,METRO
97,02,METRO,EPPING,NYANGA,KHAYELITSHA
98,01,BLUEDOWNS,MOWBRAY,CAPE TOWN,
98,02,CAPE TOWN,MOWBRAY,BLUEDOWNS,
99,01,DELFT,BELLVILLE,DURBANVILLE,
99,02,DURBANVILLE,BELLVILLE,DELFT,
100,02,KOEBERG STN,KHAYELITSHA,,
102,01,HANOVER PARK,METRO,,
102,02,METRO,HANOVER PARK,,
103,01,HEIDEVELD,BONTEHEUWEL,MUTUAL,MAITLAND
103,02,MAITLAND,MUTUAL,BONTEHEUWEL,HEIDEVELD
104,01,PHILIPPI,NYANGA,KILLARNEY,
104,02,KILLARNEY,NYANGA,PHILIPPI,
105,01,ATLANTIS,KILLARNEY,DURBANVILLE,BELLVILLE
105,02,BELLVILLE,DURBANVILLE,KILLARNEY,ATLANTIS
105A,01,MAMRE,ATLANTIS,KILLARNEY,BELLVILLE
105A,02,BELLVILLE,KILLARNEY,ATLANTIS,MAMRE
106,01,HANOVER PARK,EPPING IND,,
106,02,EPPING IND,HANOVER PARK,,
107,01,MAMRE,ATLANTIS,EPPING IND,
107,02,EPPING IND,ATLANTIS,MAMRE,
108,01,LANGA,KILLARNEY,,
108,02,KILLARNEY,LANGA,,
109,01,DELFT,BLUEDOWNS,,
109,02,BLUEDOWNS,DELFT,,
110,01,TOWN CENTRE,STELLENBOSCH,,
110,02,STELLENBOSCH,TOWN CENTRE,,
112,01,DELFT,EPPING IND,,
112,02,EPPING IND,DELFT,,
113,01,ELSIES RIVER,MOWBRAY,CAPE TOWN,
113,02,CAPE TOWN,MOWBRAY,ELSIES RIVER,
114,01,TYGERBERG HOSP,ELSIES RIVER,EPPING IND,
114,02,EPPING IND,ELSIES RIVER,TYGERBERG HOSP,
115,01,CLAREMONT,RONDEBOSCH,,
115,02,RONDEBOSCH,CLAREMONT,,
116,01,HANOVER PARK,TYGERBERG,,
116,02,TYGERBERG,HANOVER PARK,,
119,01,LEAGUES,COLORADO PARK,CAPE TOWN,
120,01,CAPE TOWN,MOWBRAY,AIRPORT IND,
120,02,AIRPORT IND,MOWBRAY,CAPE TOWN,
121,01,STRANDFONTEIN,CLAREMONT,,
121,02,CLAREMONT,STRANDFONTEIN,,
122,01,KHAYELITSHA,KRAAIFONTEIN,,
122,02,KRAAIFONTEIN,KHAYELITSHA,,
123,01,TOWN CENTRE,TYGERBERG,,
123,02,TYGERBERG,TOWN CENTRE,,
124,01,TOWN CENTRE,RETREAT,,
124,02,RETREAT,TOWN CENTRE,,
125,01,ROCKLANDS,TOWN CENTRE,,
126,01,lANGA,BISHOP LAVIS,BELLVILLE,DURBANVILLE
126,02,DURBANVILLE,BELLVILLE,BISHOP LAVIS,LANGA
127,01,BLUEDOWNS,SIMONSTOWN,,
127,02,SIMONSTOWN,BLUEDOWNS,,
128,01,TOWN CENTRE,N1 CITY,,
128,02,N1 CITY,TOWN CENTRE,,
129,01,BLUEDOWNS,DELFT,AIRPORT IND,
129,02,AIRPORT IND,DELFT,BLUEDOWNS,
130,01,BLUEDOWNS,EPPING IND,,
130,02,EPPING IND,BLUEDOWNS,,
131,01,BLUEDOWNS,CLAREMONT,,
131,02,CLAREMONT,BLUEDOWNS,,
132,01,PHILIPPI EAST SAP,WYNBERG,HOUT BAY,
132,02,HOUT BAY,WYNBERG,PHILIPPI EAST SAP,
133,01,PHILIPPI EAST SAP,BELLVILLE,DURBANVILLE,
133,02,DURBANVILLE,BELLVILLE,PHILIPPI EAST SAP,
134,01,CHATSWORTH,DASSENBERG,KILLARNEY,CAPE TOWN
134,02,CAPE TOWN,KILLARNEY,DASSENBERG,CHATSWORTH
135,01,MALMESBURY,KILLARNEY,CAPE TOWN,
135,02,CAPE TOWN,KILLARNEY,MALMESBURY,
136,01,HANOVER PARK,DELFT,,
136,02,DELFT,HANOVER PARK,,
137,01,PHILIPPI EAST SAP,MOWBRAY,CAPE TOWN,
137,02,CAPE TOWN,MOWBRAY,PHILIPPI EAST SAP,
139,01,NYANGA,ESCOM,TYGER VALLEY,DURBANVILLE
139,02,DURBANVILLE,TYGER VALLEY,ESCOM,NYANGA
140,01,KHAYELITSHA,NYANGA,AIRPORT IND,
140,02,AIRPORT IND,NYANGA,KHAYELITSHA,
142,01,HARARE,MOWBRAY,CAPE TOWN,
142,02,CAPE TOWN,MOWBRAY,HARARE,
143,01,MAKHAZA,MOWBRAY,CAPE TOWN,
143,02,CAPE TOWN,MOWBRAY,MAKHAZA,
144,02,CAMBRIDGE,MONTAGUE GDNS,KILLARNEY,ATLANTIS
145,01,TOWN CENTRE,AZ BERMAN DR,FREEWAY,CAPE TOWN
147,01,DELFT,BLUEDOWNS,SOMERSET WEST,STRAND
