LONGITUD_1,Latitude,StationNAm,OID_,Rank,Name,LATITUDE_1,PLACENAM_3,Station__1,StationOwn,Total,StationID,RegionID,OBJECTID,ENTITY_1,SubRegion,StationI_1,REMARKS_1,Station,STATIONCAT,Longitude,PLACENAM_2,Address
18.48782161,-33.924711999891045,MAITLAND,166,43,MAITLAND,-33.92471171,MAITLAND,MLD,PRASA STATION,3598894.9,MLD,WC,33,PRASA,Western Cape,MLD, ,MAITLAND,Core,18.487821999126957,MAITLAND,"Maitland, De Villiers Street, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7295, South Africa"
18.62442081,-34.01892799955571,MANDALAY,156,157,MANDALAY,-34.01892765,MANDALAY,MCF,PRASA STATION,3538393,MCF,WC,34,PRASA,Western Cape,MCF, ,MANDALAY,Intermediate,18.624420999658057,MANDALAY,"Mandalay, Montclair Drive, Montclair, Cape Town Ward 76, City of Cape Town, Western Cape, 7785, South Africa"
18.54893468,-33.8916470000161,MONTE VISTA,169,301,MONTE VISTA,-33.8916465,MONTE VISTA,MNV,TRANSNET STATION BUT USED ONLY BY METRORAIL,3193371.8,MNV,WC,35,PRASA,Western Cape,MNV, ,MONTE VISTA,Small,18.5489350005423,MONTE VISTA,"Monte Vista, N1, Goodwood, City of Cape Town, Western Cape, 7459, South Africa"
18.47388544,-33.94673299949035,MOWBRAY,175,192,MOWBRAY,-33.94673256,MOWBRAY,MWY,PRASA STATION,3084827.3,MWY,WC,36,PRASA,Western Cape,MWY, ,MOWBRAY,Small,18.4738849996212,MOWBRAY,"Mowbray, Station Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7700, South Africa"
18.46791614,-34.109570999895396,MUIZENBERG,177,229,MUIZENBERG,-34.1095707,MUIZENBERG,MZR,PRASA STATION,3035696.4,MZR,WC,37,PRASA,Western Cape,MZR, ,MUIZENBERG,Small,18.467915999381756,MUIZENBERG,"Muizenberg, Main Road, Cape Town Ward 64, City of Cape Town, Western Cape, 7945, South Africa"
18.51369579,-33.92174899964702,MUTUAL,172,65,MUTUAL,-33.92174893,MUTUAL,MTX,PRASA STATION,3024018.9,MTX,WC,38,PRASA,Western Cape,MTX, ,MUTUAL,Intermediate,18.51369600076749,MUTUAL,"Mutual Way, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
18.49541985,-33.928237999556615,NDABENI,181,259,NDABENI,-33.92823811,NDABENI,NBI,PRASA STATION,2897538,NBI,WC,39,PRASA,Western Cape,NBI, ,NDABENI,Small,18.495420000647236,NDABENI,"Inyoni Street, Ndabeni, Cape Town Ward 53, Cape Town, City of Cape Town, Western Cape, 7405, South Africa"
18.56357087,-33.95274900065543,NETREG,188,122,NETREG,-33.95274872,NETREG,NTG,PRASA STATION,2890640.4,NTG,WC,40,PRASA,Western Cape,NTG, ,NETREG,Intermediate,18.563570999851034,NETREG,"Netreg, Ranunculus Street, Kalksteenfontein, Cape Town Ward 31, Elsiesriver, City of Cape Town, Western Cape, 7490, South Africa"
18.64892413,-34.01693900003876,NOLUNGILE,186,30,NOLUNGILE,-34.0169394,NOLUNGILE,NOL,PRASA STATION,2820431.1,NOL,WC,42,PRASA,Western Cape,NOL, ,NOLUNGILE,Core,18.648924000104074,NOLUNGILE,"Nolungile, Japhta K. Masemola Road, Cape Town Ward 90, Khayelitsha, City of Cape Town, Western Cape, 7783, South Africa"
18.66307785,-34.026782999682666,NONKQUBELA,187,26,NONKQUBELA,-34.02678348,NONKQUBELA,NNK,PRASA STATION,2801746.4,NNK,WC,43,PRASA,Western Cape,NNK, ,NONKQUBELA,Supercore,18.66307800012687,NONKQUBELA,"Nonkqubela, Aliam Drive, Victoria Mxenge (Site B), Cape Town Ward 91, Khayelitsha, City of Cape Town, Western Cape, 7783, South Africa"
18.55991351,-33.99311100033465,NYANGA,179,19,NYANGA,-33.99311059,NYANGA,NAG,PRASA STATION,2767959.2,NAG,WC,44,PRASA,Western Cape,NAG, ,NYANGA,Core,18.55991399986097,NYANGA,"Nyanga, Duinefontein Road, Cape Town Ward 42, City of Cape Town, Western Cape, 7579, South Africa"
18.47140533,-33.9378820000705,OBSERVATORY,196,175,OBSERVATORY,-33.93788161,OBSERVATORY,OVY,PRASA STATION,2654363.6,OVY,WC,45,PRASA,Western Cape,OVY, ,OBSERVATORY,Small,18.471405000081592,OBSERVATORY,"Observatory, Florence Avenue, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7925, South Africa"
18.60707339,-33.89994099932178,OOSTERZEE,192,310,OOSTERZEE,-33.89994077,OOSTERZEE,OOZ,TRANSNET STATION BUT USED ONLY BY METRORAIL,2534811.9,OOZ,WC,46,PRASA,Western Cape,OOZ, ,OOSTERZEE,Small,18.60707300027308,OOSTERZEE,"Oosterzee, Oxford Crescent, Bremerhof, Cape Town Ward 10, Parow, City of Cape Town, Western Cape, 7499, South Africa"
18.49521113,-34.01346199947585,OTTERY,195,161,OTTERY,-34.01346232,OTTERY,OTY,PRASA STATION,2474814.4,OTY,WC,47,PRASA,Western Cape,OTY, ,OTTERY,Small,18.495210999989276,OTTERY,"Ottery, Panton Road, Fairways, Ottery, Cape Town, City of Cape Town, Western Cape, 7800, South Africa"
