route_number,day_type,Melkbosstrand,Hol Bay,La Paloma,Waters Edge,Marine,Big Bay,De Mist,Kleinbaai,Bokkombaai,Perlemoen,Shell,Seal,Marine Circle,Popham,Table View
214C,Mondays to Fridays,12:01,12:04,12:08,12:09,12:10,12:11,12:13,12:14,12:15,12:16,12:17,12:18,12:20,12:21,12:23
214C,Mondays to Fridays,12:29,12:32,12:36,12:37,12:38,12:39,12:41,12:42,12:43,12:44,12:45,12:46,12:48,12:49,12:51
214C,Mondays to Fridays,12:57,13:00,13:04,13:05,13:06,13:07,13:09,13:10,13:11,13:12,13:13,13:14,13:16,13:17,13:19
214C,Mondays to Fridays,13:25,13:28,13:32,13:33,13:34,13:35,13:37,13:38,13:39,13:40,13:41,13:42,13:44,13:45,13:47
214C,Mondays to Fridays,13:53,13:56,14:00,14:01,14:02,14:03,14:05,14:06,14:07,14:08,14:09,14:10,14:12,14:13,14:15
214C,Mondays to Fridays,14:21,14:24,14:28,14:29,14:30,14:31,14:33,14:34,14:35,14:36,14:37,14:38,14:40,14:41,14:43
214C,Mondays to Fridays,14:49,14:52,14:56,14:57,14:58,14:59,15:01,15:02,15:03,15:04,15:05,15:06,15:08,15:09,15:11
214C,Mondays to Fridays,15:17,15:20,15:24,15:25,15:26,15:27,15:29,15:30,15:31,15:32,15:33,15:34,15:36,15:37,15:39
214C,Mondays to Fridays,15:31,15:34,15:38,15:39,15:40,15:41,15:43,15:44,15:45,15:46,15:47,15:48,15:50,15:51,15:53
214C,Mondays to Fridays,15:45,15:48,15:52,15:53,15:54,15:55,15:57,15:58,15:59,16:00,16:01,16:02,16:04,16:05,16:07
214C,Mondays to Fridays,15:59,16:02,16:06,16:07,16:08,16:09,16:11,16:12,16:13,16:14,16:15,16:16,16:18,16:19,16:21
214C,Mondays to Fridays,16:13,16:16,16:20,16:21,16:22,16:23,16:25,16:26,16:27,16:28,16:29,16:30,16:32,16:33,16:35
214C,Mondays to Fridays,16:41,16:44,16:48,16:49,16:50,16:51,16:53,16:54,16:55,16:56,16:57,16:58,17:00,17:01,17:03
214C,Mondays to Fridays,17:09,17:12,17:16,17:17,17:18,17:19,17:21,17:22,17:23,17:24,17:25,17:26,17:28,17:29,17:31
214C,Mondays to Fridays,17:37,17:40,17:44,17:45,17:46,17:47,17:49,17:50,17:51,17:52,17:53,17:54,17:56,17:57,17:59
214C,Mondays to Fridays,18:05,18:08,18:12,18:13,18:14,18:15,18:17,18:18,18:19,18:20,18:21,18:22,18:24,18:25,18:27
214C,Mondays to Fridays,18:33,18:36,18:40,18:41,18:42,18:43,18:45,18:46,18:47,18:48,18:49,18:50,18:52,18:53,18:55
214C,Mondays to Fridays,19:01,19:04,19:08,19:09,19:10,19:11,19:13,19:14,19:15,19:16,19:17,19:18,19:20,19:21,19:23
214C,Mondays to Fridays,19:29,19:32,19:36,19:37,19:38,19:39,19:41,19:42,19:43,19:44,19:45,19:46,19:48,19:49,19:51
