route_number,day_type,Civic Centre,Woodstock,Paarden Eiland,Neptune,Section,Vrystaat,Zoarvlei,Lagoon Beach,Woodbridge,Milnerton,Racecourse,Sunset Beach,Table View,Porterfield,Sandown,Birkenhead,Melkbosch,Duynefontein,Koeberg Power Station,Atlantis Station
T02,Saturdays,10:45,10:49,10:52,10:53,10:54,10:56,10:58,11:02,11:05,11:09,11:11,11:13,11:19,11:34,11:35,11:46,11:48,11:51,11:52,12:05
T02,Saturdays,,,,,,,,,,,,,10:57,11:06,11:07,11:18,11:20,11:23,11:24,11:37
T02,Saturdays,,,,,,,,,,,,,11:32,11:41,11:42,11:53,11:55,11:58,11:59,12:12
T02,Saturdays,,,,,,,,,,,,,11:39,11:48,11:49,12:00,12:02,12:05,12:06,12:19
T02,Saturdays,,,,,,,,,,,,,11:53,12:02,12:03,12:14,12:16,12:19,12:20,12:33
T02,Saturdays,12:05,12:09,12:12,12:13,12:14,12:16,12:18,12:22,12:25,12:29,12:31,12:33,12:39,12:48,12:59,13:10,13:12,13:15,13:16,13:29
T02,Saturdays,,,,,,,,,,,,,12:21,12:30,12:31,12:42,12:44,12:47,12:48,13:01
T02,Saturdays,,,,,,,,,,,,,12:35,12:44,12:45,12:56,12:58,13:01,13:02,13:15
T02,Saturdays,,,,,,,,,,,,,12:56,13:05,13:06,13:17,13:19,13:22,13:23,13:36
T02,Saturdays,13:05,13:09,13:12,13:13,13:14,13:16,13:18,13:22,13:25,13:29,13:31,13:33,13:39,13:54,13:55,14:06,14:08,14:11,14:12,14:25
T02,Saturdays,,,,,,,,,,,,,13:17,13:26,13:27,13:38,13:40,13:43,13:44,13:57
T02,Saturdays,,,,,,,,,,,,,13:52,14:01,14:02,14:13,14:15,14:18,14:19,14:32
T02,Saturdays,,,,,,,,,,,,,13:59,14:08,14:09,14:20,14:22,14:25,14:26,14:39
T02,Saturdays,14:05,14:09,14:12,14:13,14:14,14:16,14:18,14:22,14:25,14:29,14:31,14:33,14:39,14:50,14:51,15:02,15:04,15:07,15:08,15:21
T02,Saturdays,,,,,,,,,,,,,14:13,14:22,14:23,14:34,14:36,14:39,14:40,14:53
T02,Saturdays,14:25,14:29,14:32,14:33,14:34,14:36,14:38,14:42,14:45,14:49,14:51,14:53,14:59,15:08,15:19,15:30,15:32,15:35,15:36,15:49
T02,Saturdays,,,,,,,,,,,,,14:48,14:57,14:58,15:09,15:11,15:14,15:15,15:28
T02,Saturdays,,,,,,,,,,,,,15:23,15:32,15:33,15:44,15:46,15:49,15:50,16:03
T02,Saturdays,15:25,15:29,15:32,15:33,15:34,15:36,15:38,15:42,15:45,15:49,15:51,15:53,15:59,16:14,16:15,16:26,16:28,16:31,16:32,16:45
T02,Saturdays,,,,,,,,,,,,,15:37,15:46,15:47,15:58,16:00,16:03,16:04,16:17
T02,Saturdays,,,,,,,,,,,,,16:19,16:28,16:29,16:40,16:42,16:45,16:46,16:59
T02,Saturdays,16:25,16:29,16:32,16:33,16:34,16:36,16:38,16:42,16:45,16:49,16:51,16:53,16:59,17:10,17:11,17:22,17:24,17:27,17:28,17:41
T02,Saturdays,,,,,,,,,,,,,16:33,16:42,16:43,16:54,16:56,16:59,17:00,17:13
T02,Saturdays,16:45,16:49,16:52,16:53,16:54,16:56,16:58,17:02,17:05,17:09,17:11,17:13,17:19,17:28,17:39,17:50,17:52,17:55,17:56,18:09
T02,Saturdays,17:45,17:49,17:52,17:53,17:54,17:56,17:58,18:02,18:05,18:09,18:11,18:13,18:19,18:34,18:35,18:46,18:48,18:51,18:52,19:05
T02,Saturdays,18:45,18:49,18:52,18:53,18:54,18:56,18:58,19:02,19:05,19:09,19:11,19:13,19:19,19:29,19:30,19:41,19:43,19:46,19:47,20:00
