route_number,day_type,Civic Centre,Adderley,Groote Kerk,Dorp,Upper Long,Lower Kloof,Ludwigs Garden,Belle Ombre,St Michaels,Cotswold,Higgo,Kloof Nek,Comrie,Atholl,Woodford,Quebec,Camps Bay
107,Mondays to Fridays,09:39,09:43,09:47,09:50,09:51,09:54,09:56,09:58,10:00,10:01,10:03,10:04,10:07,10:08,10:09,10:10,10:14
107,Mondays to Fridays,09:57,10:01,10:05,10:08,10:09,10:12,10:14,10:16,10:18,10:19,10:21,10:22,10:25,10:26,10:27,10:28,10:32
107,Mondays to Fridays,10:15,10:19,10:23,10:26,10:27,10:30,10:32,10:34,10:36,10:37,10:39,10:40,10:43,10:44,10:45,10:46,10:50
107,Mondays to Fridays,10:33,10:37,10:41,10:44,10:45,10:48,10:50,10:52,10:54,10:55,10:57,10:58,11:01,11:02,11:03,11:04,11:08
107,Mondays to Fridays,10:42,10:46,10:50,10:53,10:54,10:57,10:59,11:01,11:03,11:04,11:06,11:07,11:10,11:11,11:12,11:13,11:17
107,Mondays to Fridays,11:00,11:04,11:08,11:11,11:12,11:15,11:17,11:19,11:21,11:22,11:24,11:25,11:28,11:29,11:30,11:31,11:35
107,Mondays to Fridays,11:18,11:22,11:26,11:29,11:30,11:33,11:35,11:37,11:39,11:40,11:42,11:43,11:46,11:47,11:48,11:49,11:53
107,Mondays to Fridays,11:36,11:40,11:44,11:47,11:48,11:51,11:53,11:55,11:57,11:58,12:00,12:01,12:04,12:05,12:06,12:07,12:11
107,Mondays to Fridays,11:54,11:58,12:02,12:05,12:06,12:09,12:11,12:13,12:15,12:16,12:18,12:19,12:22,12:23,12:24,12:25,12:29
107,Mondays to Fridays,12:03,12:07,12:11,12:14,12:15,12:18,12:20,12:22,12:24,12:25,12:27,12:28,12:31,12:32,12:33,12:34,12:38
107,Mondays to Fridays,12:21,12:25,12:29,12:32,12:33,12:36,12:38,12:40,12:42,12:43,12:45,12:46,12:49,12:50,12:51,12:52,12:56
107,Mondays to Fridays,12:39,12:43,12:47,12:50,12:51,12:54,12:56,12:58,13:00,13:01,13:03,13:04,13:07,13:08,13:09,13:10,13:14
107,Mondays to Fridays,12:57,13:01,13:05,13:08,13:09,13:12,13:14,13:16,13:18,13:19,13:21,13:22,13:25,13:26,13:27,13:28,13:32
107,Mondays to Fridays,13:15,13:19,13:23,13:26,13:27,13:30,13:32,13:34,13:36,13:37,13:39,13:40,13:43,13:44,13:45,13:46,13:50
107,Mondays to Fridays,13:24,13:28,13:32,13:35,13:36,13:39,13:41,13:43,13:45,13:46,13:48,13:49,13:52,13:53,13:54,13:55,13:59
107,Mondays to Fridays,13:42,13:46,13:50,13:53,13:54,13:57,13:59,14:01,14:03,14:04,14:06,14:07,14:10,14:11,14:12,14:13,14:17
107,Mondays to Fridays,14:00,14:04,14:08,14:11,14:12,14:15,14:17,14:19,14:21,14:22,14:24,14:25,14:28,14:29,14:30,14:31,14:35
107,Mondays to Fridays,14:18,14:22,14:26,14:29,14:30,14:33,14:35,14:37,14:39,14:40,14:42,14:43,14:46,14:47,14:48,14:49,14:53
107,Mondays to Fridays,14:27,14:31,14:35,14:38,14:39,14:42,14:44,14:46,14:48,14:49,14:51,14:52,14:55,14:56,14:57,14:58,15:02
107,Mondays to Fridays,14:36,14:40,14:44,14:47,14:48,14:51,14:53,14:55,14:57,14:58,15:00,15:01,15:04,15:05,15:06,15:07,15:11
107,Mondays to Fridays,14:45,14:49,14:53,14:56,14:57,15:00,15:02,15:04,15:06,15:07,15:09,15:10,15:13,15:14,15:15,15:16,15:20
107,Mondays to Fridays,14:54,14:58,15:02,15:05,15:06,15:09,15:11,15:13,15:15,15:16,15:18,15:19,15:22,15:23,15:24,15:25,15:29
107,Mondays to Fridays,15:03,15:07,15:11,15:14,15:15,15:18,15:20,15:22,15:24,15:25,15:27,15:28,15:31,15:32,15:33,15:34,15:38
107,Mondays to Fridays,15:12,15:16,15:20,15:23,15:24,15:27,15:29,15:31,15:33,15:34,15:36,15:37,15:40,15:41,15:42,15:43,15:47
