route_number,day_type,Lisboa,Mauritius,Magnet,Kehrweider,Saxonsea Clinic,Goede Hoop,Hoogergeest,Valleyfield,Saxonsea Primary,Wesfleur Park,Atlantis Station
245,Sundays and Public Holidays,14:09,14:11,14:13,14:15,14:16,14:17,14:18,14:19,14:20,14:22,14:24
245,Sundays and Public Holidays,14:39,14:41,14:43,14:45,14:46,14:47,14:48,14:49,14:50,14:52,14:54
245,Sundays and Public Holidays,15:09,15:11,15:13,15:15,15:16,15:17,15:18,15:19,15:20,15:22,15:24
245,Sundays and Public Holidays,15:39,15:41,15:43,15:45,15:46,15:47,15:48,15:49,15:50,15:52,15:54
245,Sundays and Public Holidays,16:09,16:11,16:13,16:15,16:16,16:17,16:18,16:19,16:20,16:22,16:24
245,Sundays and Public Holidays,16:39,16:41,16:43,16:45,16:46,16:47,16:48,16:49,16:50,16:52,16:54
245,Sundays and Public Holidays,17:09,17:11,17:13,17:15,17:16,17:17,17:18,17:19,17:20,17:22,17:24
245,Sundays and Public Holidays,17:39,17:41,17:43,17:45,17:46,17:47,17:48,17:49,17:50,17:52,17:54
245,Sundays and Public Holidays,18:09,18:11,18:13,18:15,18:16,18:17,18:18,18:19,18:20,18:22,18:24
245,Sundays and Public Holidays,18:39,18:41,18:43,18:45,18:46,18:47,18:48,18:49,18:50,18:52,18:54
245,Sundays and Public Holidays,19:09,19:11,19:13,19:15,19:16,19:17,19:18,19:19,19:20,19:22,19:24
245,Sundays and Public Holidays,19:39,19:41,19:43,19:45,19:46,19:47,19:48,19:49,19:50,19:52,19:54
245,Sundays and Public Holidays,20:09,20:11,20:13,20:15,20:16,20:17,20:18,20:19,20:20,20:22,20:24
245,Sundays and Public Holidays,20:39,20:41,20:43,20:45,20:46,20:47,20:48,20:49,20:50,20:52,20:54
245,Sundays and Public Holidays,21:09,21:11,21:13,21:15,21:16,21:17,21:18,21:19,21:20,21:22,21:24
