trip_id,day_type,direction,route,CAPE TOWN,WOODSTOCK,SALT RIVER,KOEBERG RD,MAITLAND,WOLTEMADE,MUTUAL,THORNTON,GOODWOOD,VASCO,ELSIES RIVER,PAROW,TYGERBERG,BELLVILLE,STIKLAND,BRACKENFELL,EIKENFONTEIN,KRAAIFONTEIN
2531,MONDAYS TO FRIDAYS,outbound,S5,13:08,13:11,13:15,13:17,13:20,13:23,13:25,13:28,13:30,13:32,13:35,13:38,13:40,13:45,13:49,13:53,13:58,14:01
2533,MONDAYS TO FRIDAYS,outbound,S5,14:15,14:18,14:22,14:24,14:27,14:30,14:32,14:35,14:37,14:39,14:42,14:45,14:47,14:52,14:56,15:00,15:05,15:08
2535,MONDAYS TO FRIDAYS,outbound,S5,14:55,14:58,15:02,15:04,15:07,15:10,15:12,15:15,15:17,15:19,15:22,15:25,15:27,15:32,15:36,15:40,15:45,15:48
2537,MONDAYS TO FRIDAYS,outbound,S5,15:16,15:19,15:23,15:25,15:28,15:31,15:33,15:36,15:38,15:40,15:43,15:46,15:48,15:53,15:57,16:01,16:06,16:09
2539,MONDAYS TO FRIDAYS,outbound,S5,15:35,15:38,15:42,15:44,15:47,15:50,15:52,15:55,15:57,15:59,16:02,16:05,16:07,16:12,16:16,16:20,16:25,16:28
2541,MONDAYS TO FRIDAYS,outbound,S5,16:05,16:08,16:12,16:14,16:17,16:20,16:22,16:25,16:27,16:29,16:32,16:35,16:37,16:42,16:46,16:50,16:55,16:58
2543,MONDAYS TO FRIDAYS,outbound,S5,16:30,16:33,16:37,16:39,16:42,16:45,16:47,16:50,16:52,16:54,16:57,17:00,17:02,17:07,17:11,17:15,17:20,17:23
2545,MONDAYS TO FRIDAYS,outbound,S5,16:55,16:58,17:02,17:04,17:07,17:10,17:12,17:15,17:17,17:19,17:22,17:25,17:27,17:32,17:36,17:40,17:45,17:48
2547,MONDAYS TO FRIDAYS,outbound,S5,17:24,17:27,17:31,17:33,17:36,17:39,17:41,17:44,17:46,17:48,17:51,17:54,17:56,18:01,18:05,18:09,18:14,18:17
2549,MONDAYS TO FRIDAYS,outbound,S5,17:55,17:58,18:02,18:04,18:07,18:10,18:12,18:15,18:17,18:19,18:22,18:25,18:27,18:32,18:36,18:40,18:45,18:48
2551,MONDAYS TO FRIDAYS,outbound,S5,18:09,18:12,18:16,18:18,18:21,18:24,18:26,18:29,18:31,18:33,18:36,18:39,18:41,18:46,18:50,18:54,18:59,19:02
2553,MONDAYS TO FRIDAYS,outbound,S5,18:37,18:40,18:44,18:46,18:49,18:52,18:54,18:57,18:59,19:01,19:04,19:07,19:09,19:14,19:18,19:22,19:27,19:30
2555,MONDAYS TO FRIDAYS,outbound,S5,19:45,19:48,19:52,19:54,19:57,20:00,20:02,20:05,20:07,20:09,20:12,20:15,20:17,20:22,20:26,20:30,20:35,20:38
2559,MONDAYS TO FRIDAYS,outbound,S5,20:25,20:28,20:32,20:34,20:37,20:40,20:42,20:45,20:47,20:49,20:52,20:55,20:57,21:02,21:06,21:10,21:15,21:18
2515,MONDAYS TO FRIDAYS,outbound,S5,,,,,,,,,,,,,,10:15,10:19,10:23,10:28,10:31
2519,MONDAYS TO FRIDAYS,outbound,S5,,,,,,,,,,,,,,10:26,10:30,10:34,10:39,10:42
2567,MONDAYS TO FRIDAYS,outbound,S5,,,,,,,,,,,,,,13:30,13:34,13:38,13:43,13:46
2561,MONDAYS TO FRIDAYS,outbound,S5,,,,,,,,,,,,,,21:05,21:09,21:13,21:18,21:21
2565,MONDAYS TO FRIDAYS,outbound,S5,,,,,,,,,,,,,,17:00,17:04,17:08,17:13,17:16
2503,SATURDAYS,outbound,S5,04:57,05:00,05:04,05:06,05:09,05:12,05:14,05:17,05:19,05:21,05:24,05:27,05:29,05:34,05:38,05:42,05:47,05:50
2505,SATURDAYS,outbound,S5,06:36,06:39,06:43,06:45,06:48,06:51,06:53,06:56,06:58,07:00,07:03,07:06,07:08,07:13,07:17,07:21,07:26,07:29
2525,SATURDAYS,outbound,S5,17:15,17:18,17:22,17:24,17:27,17:30,17:32,17:35,17:37,17:39,17:42,17:45,17:47,17:52,17:56,18:00,18:05,18:08
2531,SATURDAYS,outbound,S5,,,,,,,,,,,,,,18:15,18:19,18:23,18:28,18:31
2501,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S5,06:10,06:13,06:17,06:19,06:22,06:25,06:27,06:30,06:32,06:34,06:37,06:40,06:42,06:47,06:51,06:55,07:00,07:03
2505,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S5,13:43,13:46,13:50,13:52,13:55,13:58,14:00,14:03,14:05,14:07,14:10,14:13,14:15,14:20,14:24,14:28,14:33,14:36
2507,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S5,18:45,18:48,18:52,18:54,18:57,19:00,19:02,19:05,19:07,19:09,19:12,19:15,19:17,19:22,19:26,19:30,19:35,19:38
2509,SUNDAYS AND PUBLIC HOLIDAYS,outbound,S5,,,,,,,,,,,,,,20:22,20:26,20:30,20:35,20:38
