trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,KENTEMADE,CENTURY CITY,AKASIA PARK,MONTE VISTA,DE GRENDEL,AVONDALE,OOSTERZEE,BELLVILLE,KUILS RIVER,BLACKHEATH,MELTONROSE,EERSTE RIVER
2805,SUNDAYS,outbound,S6,11:00,11:03,11:09,11:13,11:16,11:19,11:22,11:26,11:28,11:31,11:33,,,,
2862,MONDAYS TO FRIDAYS,inbound,S6,12:18,12:13,12:08,12:05,12:03,12:00,11:57,11:53,11:51,11:48,11:45,,,,
2816,SATURDAYS,inbound,S6,12:34,12:28,12:23,12:20,12:18,12:15,12:12,12:08,12:06,12:03,12:00,,,,
2804,SUNDAYS,inbound,S6,12:30,12:28,12:23,12:20,12:18,12:15,12:12,12:08,12:06,12:03,12:00,,,,
2855,MONDAYS TO FRIDAYS,outbound,S6,11:33,11:36,11:42,11:46,11:49,11:52,11:55,11:59,12:01,12:04,12:07,,,,
2856,MONDAYS TO FRIDAYS,inbound,S6,12:47,12:42,12:37,12:34,12:32,12:29,12:26,12:22,12:20,12:17,12:14,,,,
2817,SATURDAYS,outbound,S6,11:57,12:00,12:06,12:10,12:13,12:16,12:19,12:23,12:25,12:28,12:30,,,,
2818,SATURDAYS,inbound,S6,13:15,13:09,13:04,13:01,12:59,12:56,12:53,12:49,12:47,12:44,12:41,,,,
2819,SATURDAYS,outbound,S6,12:40,12:43,12:49,12:53,12:56,12:59,13:02,13:06,13:08,13:11,13:13,,,,
2820,SATURDAYS,inbound,S6,13:54,13:48,13:43,13:40,13:38,13:35,13:32,13:28,13:26,13:23,13:20,,,,
2567,MONDAYS TO FRIDAYS,outbound,S6,12:55,12:58,13:04,13:08,13:11,13:14,13:17,13:21,13:23,13:26,13:29,,,,
2807,SUNDAYS,outbound,S6,13:00,13:03,13:09,13:13,13:16,13:19,13:22,13:26,13:28,13:31,13:33,,,,
2863,MONDAYS TO FRIDAYS,outbound,S6,13:20,13:23,13:29,13:33,13:36,13:39,13:42,13:46,13:48,13:51,13:53,,,,
2821,SATURDAYS,outbound,S6,13:20,13:23,13:29,13:33,13:36,13:39,13:42,13:46,13:48,13:51,13:53,,,,
2806,SUNDAYS,inbound,S6,14:30,14:28,14:23,14:20,14:18,14:15,14:12,14:08,14:06,14:03,14:00,,,,
2822,SATURDAYS,inbound,S6,14:48,14:42,14:37,14:34,14:32,14:29,14:26,14:22,14:20,14:17,14:14,,,,
2864,MONDAYS TO FRIDAYS,inbound,S6,14:53,14:48,14:43,14:40,14:38,14:35,14:32,14:28,14:26,14:23,14:20,,,,
2829,MONDAYS TO FRIDAYS,outbound,S6,13:52,13:55,14:01,14:05,14:08,14:11,14:14,14:18,14:20,14:23,14:25,,,,
2828,MONDAYS TO FRIDAYS,inbound,S6,15:05,15:00,14:55,14:52,14:50,14:47,14:44,14:40,14:38,14:35,14:32,,,,
2831,MONDAYS TO FRIDAYS,outbound,S6,14:28,14:31,14:37,14:41,14:44,14:47,14:50,14:54,14:56,14:59,15:01,,,,
2830,MONDAYS TO FRIDAYS,inbound,S6,15:43,15:38,15:33,15:30,15:28,15:25,15:22,15:18,15:16,15:13,15:10,,,,
2851,MONDAYS TO FRIDAYS,outbound,S6,14:50,14:53,14:59,15:03,15:06,15:09,15:12,15:16,15:18,15:21,15:23,,,,
2831,SATURDAYS,outbound,S6,15:00,15:03,15:09,15:13,15:16,15:19,15:22,15:26,15:28,15:31,15:33,,,,
2809,SUNDAYS,outbound,S6,15:00,15:03,15:09,15:13,15:16,15:19,15:22,15:26,15:28,15:31,15:33,,,,
2852,MONDAYS TO FRIDAYS,inbound,S6,16:08,16:03,15:58,15:55,15:53,15:50,15:47,15:43,15:41,15:38,15:35,,,,
2830,SATURDAYS,inbound,S6,16:14,16:08,16:03,16:00,15:58,15:55,15:52,15:48,15:46,15:43,15:40,,,,
2833,MONDAYS TO FRIDAYS,outbound,S6,15:10,15:13,15:19,15:23,15:26,15:29,15:32,15:36,15:38,15:41,15:43,,,,
2832,MONDAYS TO FRIDAYS,inbound,S6,16:23,16:18,16:13,16:10,16:08,16:05,16:02,15:58,15:56,15:53,15:50,,,,
2808,SUNDAYS,inbound,S6,16:30,16:28,16:23,16:20,16:18,16:15,16:12,16:08,16:06,16:03,16:00,,,,
2835,MONDAYS TO FRIDAYS,outbound,S6,15:50,15:53,15:59,16:03,16:06,16:09,16:12,16:16,16:18,16:21,16:23,,,,
2834,MONDAYS TO FRIDAYS,inbound,S6,17:08,17:03,16:58,16:55,16:53,16:50,16:47,16:43,16:41,16:38,16:35,,,,
2837,MONDAYS TO FRIDAYS,outbound,S6,16:10,16:13,16:19,16:23,16:26,16:29,16:32,16:36,16:38,16:41,16:43,,,,
2836,MONDAYS TO FRIDAYS,inbound,S6,17:21,17:16,17:11,17:08,17:06,17:03,17:00,16:56,16:54,16:51,16:48,,,,
2839,MONDAYS TO FRIDAYS,outbound,S6,16:30,16:33,16:39,16:43,16:46,16:49,16:52,16:56,16:58,17:01,17:03,,,,
2833,SATURDAYS,outbound,S6,16:30,16:33,16:39,16:43,16:46,16:49,16:52,16:56,16:58,17:01,17:03,,,,
2832,SATURDAYS,inbound,S6,17:44,17:38,17:33,17:30,17:28,17:25,17:22,17:18,17:16,17:13,17:10,,,,
2838,MONDAYS TO FRIDAYS,inbound,S6,17:44,17:39,17:34,17:31,17:29,17:26,17:23,17:19,17:17,17:14,17:11,,,,
2867,MONDAYS TO FRIDAYS,outbound,S6,16:52,16:55,17:01,17:05,17:08,17:11,17:14,17:18,17:20,17:23,17:25,,,,
2868,MONDAYS TO FRIDAYS,inbound,S6,18:05,18:00,17:55,17:52,17:50,17:47,17:44,17:40,17:38,17:35,17:32,,,,
2811,SUNDAYS,outbound,S6,17:00,17:03,17:09,17:13,17:16,17:19,17:22,17:26,17:28,17:31,17:33,,,,
2841,MONDAYS TO FRIDAYS,outbound,S6,17:20,17:23,17:29,17:33,17:36,17:39,17:42,17:46,17:48,17:51,17:53,,,,
2810,SUNDAYS,inbound,S6,18:30,18:28,18:23,18:20,18:18,18:15,18:12,18:08,18:06,18:03,18:00,,,,
2840,MONDAYS TO FRIDAYS,inbound,S6,18:31,18:31,18:26,18:23,18:21,18:18,18:15,18:11,18:09,18:06,18:03,,,,
2835,SATURDAYS,outbound,S6,17:50,17:53,17:59,18:03,18:06,18:09,18:12,18:16,18:18,18:21,18:23,,,,
2834,SATURDAYS,inbound,S6,19:04,18:58,18:53,18:50,18:48,18:45,18:42,18:38,18:36,18:33,18:30,,,,
2817,SUNDAYS,outbound,S6,18:00,18:03,18:09,18:13,18:16,18:19,18:22,18:26,18:28,18:31,18:33,,,,
2845,MONDAYS TO FRIDAYS,outbound,S6,18:15,18:18,18:24,18:28,18:31,18:34,18:37,18:41,18:43,18:46,18:48,,,,
2816,SUNDAYS,inbound,S6,19:21,19:18,19:13,19:10,19:08,19:05,19:02,18:58,18:56,18:53,18:50,,,,
2844,MONDAYS TO FRIDAYS,inbound,S6,19:33,19:28,19:23,19:20,19:18,19:15,19:12,19:08,19:06,19:03,19:00,,,,
2869,MONDAYS TO FRIDAYS,outbound,S6,18:30,18:33,18:39,18:43,18:46,18:49,18:52,18:56,18:58,19:01,19:03,,,,
2870,MONDAYS TO FRIDAYS,inbound,S6,19:48,19:43,19:38,19:35,19:33,19:30,19:27,19:23,19:21,19:18,19:15,,,,
2837,SATURDAYS,outbound,S6,18:50,18:53,18:59,19:03,19:06,19:09,19:12,19:16,19:18,19:21,19:23,,,,
2550,MONDAYS TO FRIDAYS,inbound,S6,20:00,19:55,19:50,19:47,19:45,19:42,19:39,19:35,19:33,19:30,19:27,,,,
2836,SATURDAYS,inbound,S6,20:04,19:58,19:53,19:50,19:48,19:45,19:42,19:38,19:36,19:33,19:30,,,,
2819,SUNDAYS,outbound,S6,19:25,19:28,19:34,19:38,19:41,19:44,19:47,19:51,19:53,19:56,19:58,,,,
2818,SUNDAYS,inbound,S6,20:36,20:33,20:28,20:25,20:23,20:20,20:17,20:13,20:11,20:08,20:05,,,,
