trip_id,day_type,direction,route,CAPE TOWN,ESPLANADE,YSTERPLAAT,MUTUAL,LANGA,BONTEHEUWEL,LAVISTOWN,BELHAR,UNIBELL,PENTECH,SAREPTA,BELLVILLE
9002,MONDAYS TO FRIDAYS,inbound,S10,06:00,05:55,05:51,05:45,05:41,05:38,05:33,05:30,05:27,05:25,05:22,05:15
9010,MONDAYS TO FRIDAYS,inbound,S10,07:50,07:45,07:41,07:35,07:31,07:28,07:23,07:20,07:17,07:15,07:12,07:05
9020,MONDAYS TO FRIDAYS,inbound,S10,09:50,09:45,09:41,09:35,09:31,09:28,09:23,09:20,09:17,09:15,09:12,09:05
9022,MONDAYS TO FRIDAYS,inbound,S10,10:35,10:30,10:26,10:20,10:16,10:13,10:08,10:05,10:02,10:00,09:57,09:50
9024,MONDAYS TO FRIDAYS,inbound,S10,11:25,11:20,11:16,11:10,11:06,11:03,10:58,10:55,10:52,10:50,10:47,10:40
9026,MONDAYS TO FRIDAYS,inbound,S10,12:35,12:30,12:26,12:20,12:16,12:13,12:08,12:05,12:02,12:00,11:57,11:50
9028,MONDAYS TO FRIDAYS,inbound,S10,13:35,13:30,13:26,13:20,13:16,13:13,13:08,13:05,13:02,13:00,12:57,12:50
9030,MONDAYS TO FRIDAYS,inbound,S10,14:40,14:35,14:31,14:25,14:21,14:18,14:13,14:10,14:07,14:05,14:02,13:55
9032,MONDAYS TO FRIDAYS,inbound,S10,15:35,15:30,15:26,15:20,15:16,15:13,15:08,15:05,15:02,15:00,14:57,14:50
9034,MONDAYS TO FRIDAYS,inbound,S10,16:05,16:00,15:56,15:50,15:46,15:43,15:38,15:35,15:32,15:30,15:27,15:20
9036,MONDAYS TO FRIDAYS,inbound,S10,16:35,16:30,16:26,16:20,16:16,16:13,16:08,16:05,16:02,16:00,15:57,15:50
9038,MONDAYS TO FRIDAYS,inbound,S10,17:10,17:05,17:01,16:55,16:51,16:48,16:43,16:40,16:37,16:35,16:32,16:25
9040,MONDAYS TO FRIDAYS,inbound,S10,17:35,17:30,17:26,17:20,17:16,17:13,17:08,17:05,17:02,17:00,16:57,16:50
9042,MONDAYS TO FRIDAYS,inbound,S10,18:00,17:55,17:51,17:45,17:41,17:38,17:33,17:30,17:27,17:25,17:22,17:15
9044,MONDAYS TO FRIDAYS,inbound,S10,18:30,18:25,18:21,18:15,18:11,18:08,18:03,18:00,17:57,17:55,17:52,17:45
9046,MONDAYS TO FRIDAYS,inbound,S10,19:00,18:55,18:51,18:45,18:41,18:38,18:33,18:30,18:27,18:25,18:22,18:15
9048,MONDAYS TO FRIDAYS,inbound,S10,19:35,19:30,19:26,19:20,19:16,19:13,19:08,19:05,19:02,19:00,18:57,18:50
9003,MONDAYS TO FRIDAYS,outbound,S10,,,,05:25,05:30,05:34,05:36,05:40,05:43,05:46,05:49,05:55
9005,MONDAYS TO FRIDAYS,outbound,S10,,,,06:14,06:19,06:23,06:26,06:30,06:33,06:36,06:39,06:45
9007,SATURDAYS,outbound,S10,06:40,06:44,06:48,06:53,06:58,07:02,07:07,07:11,07:14,07:17,07:20,07:26
